817967-Estanislau Beserra-17678.81
498441-Emedlia Silvera-7572.04
295619-Henrique Bento-2362.77
202650-Ubaldo Mainha-14445.27
232192-Clara Alcantara-9652.75
217211-Neeamia Arruda-15084.36
98206-Delfim Higuera-1202.19
755773-Adelino Barra-8209.06
909250-Basilio Pedroso-3874.41
137879-Emedlia Silvera-9771.06
57540-Celeste Duarte-11809.24
295879-Cleusa Goes-13964.22
910666-Honorina Lira-17157.18
308916-Marilda Leio-15904.37
614711-Esperada Cardoso-13641.85
946686-Zulmira Becerra-129.19
933507-Quintino Alcantara-15590.17
737034-Angelica Aranha-7982.89
413836-Esperada Cardoso-16721.99
374904-Filomena Barrios-2228.53
20839-Micaela Chavez-7169.10
64160-Quintino Alcantara-437.23
827537-Marilda Leio-6106.33
867440-Henrique Bento-19409.42
434703-Delfina Perdigon-16410.73
276641-Odilia Bello-5495.36
587291-Odilia Camello-10314.70
600669-Guaraci Damasceno-19022.07
36128-Cleusa Goes-15191.37
912266-Rodolfo Paz-6740.28
410660-Domingos Pas-4275.66
832925-Leonidas Mafra-4001.46
677504-Jorgina Bogalho-13489.74
272719-Branco Saraba-13628.41
304869-Flor Portella-18862.76
38850-Letedcia Gago-17370.69
691874-Quintiliano Sousa de Arronches-2761.72
362147-Sidfnio Frois-19187.73
838147-Rebeca Neto-10433.25
29123-Rebeca Neto-1847.54
72956-Nuno Balsemeo-3201.65
27186-Daniel Vieyra-4829.98
704045-Moaci Mendoa-20696.75
14198-Zulmira Becerra-3534.64
299267-Emiliana Foquio-12197.69
657611-Melinda Roserio-17378.08
552268-Sofras Cuaresma-19205.00
433098-Delfim Higuera-11793.78
37134-Zulmira Becerra-3127.33
778214-Silvio Mata-9927.62
63945-Emedlia Silvera-12948.35
915167-Lurdes Cotrim-19358.62
912392-Tibofarcio Camacho-8120.83
399510-Eurico Siqueira-6816.13
243961-Leonidas Mafra-13379.12
364095-Quintino Alcantara-1270.86
69259-Odilia Camello-18936.38
946744-Neuza Francia-12265.88
113572-Anfnia Seixas-281.41
122222-Oliveira Carmona-19649.20
884960-Guida Juca-12685.00
296095-Anind Zarco-5139.32
737608-Armindo Castalo-1013.60
854299-Neuza Francia-13797.60
435239-Flamednia Leiria-14170.04
301649-Domingos Pas-20993.68
976028-Ermelinda Quintela-8689.54
182953-Filomena Barrios-1494.17
768221-Elisa Themes-18595.30
86331-Tibofarcio Camacho-6001.69
166405-Fulvio Villegas-8510.54
114105-Mercia Caeira-7848.66
923913-Elisa Themes-8846.04
816226-Lurdes Cotrim-10724.58
837947-Honorina Lira-17018.93
288342-Emedlio Pimentel-18451.95
308672-Regina Barcellos-10926.87
261-Celeste Duarte-13648.70
279855-Silvio Mata-16936.38
700941-Odilia Camello-2442.41
41732-Odilia Camello-1569.24
915229-Neuza Francia-5790.38
720248-Odete Vasques-12989.62
369181-Danilo Olaio-9812.94
810595-Celeste Duarte-3076.49
255746-Armindo Castalo-6159.37
585082-Ermelinda Quintela-20332.46
867862-Artur Grillo-107.62
83536-Lurdes Cotrim-700.42
829322-Flamednia Leiria-917.43
260148-Dulce Froes-20407.85
744621-Cleusa Goes-7432.17
611541-Domingos Pas-10079.37
565812-Mercia Caeira-7888.22
10791-Honorina Lira-14656.33
349012-Quintino Alcantara-1604.05
398477-Delfina Perdigon-11199.90
135214-Feledcia Peassego-9183.74
258528-Anfnia Seixas-18524.58
536642-Camila Gabeira-14868.03
