436092-Sofras Cuaresma-20489.02
567943-Angilica Galante-15195.86
992444-Lurdes Cotrim-7089.99
743067-Melinda Roserio-2013.83
379247-Zungela Ipiranga-12177.35
356149-Marilda Leio-5110.88
130579-Jussara Varanda-13835.63
328989-Henrique Bento-1903.99
223414-Quintino Alcantara-6752.82
927319-Quintino Alcantara-16433.37
466411-Jussara Varanda-8862.89
949649-Domingos Pas-15378.57
287456-Rebeca Neto-19868.49
232417-Antonio Viegas-17021.09
615281-Branco Saraba-1170.04
648532-Odilia Bello-15723.61
990596-Filomena Barrios-16864.91
801403-Dulce Froes-19278.20
623305-Antonio Viegas-14065.60
190683-Telma Villalobos-14584.87
119814-Manuel Capiperibe-8174.70
950869-Delfina Perdigon-13294.20
400651-Eurico Siqueira-19377.07
333331-Odete Vasques-10964.56
165293-Heleedsa Marins-8215.88
248962-Delfina Garcia de Gondim-507.52
904135-Emedlia Silvera-18387.43
639077-Sara Lameiras-10180.61
289660-Ximena Castilho-1702.00
706170-Domingos Pas-16413.91
492012-Oliveira Senchez-2430.27
50574-Celeste Duarte-1714.95
498855-Odilia Bello-7988.95
796596-Flor Portella-6867.45
719567-Ximena Castilho-364.26
163368-Emedlia Silvera-656.75
967796-Celeste Duarte-12855.80
263431-Marilda Leio-7847.35
411966-Antonio Viegas-9010.25
636815-Tibefarcio Colao-1622.47
348946-Tarrataca Soares-2117.39
531121-Angilica Galante-19357.90
649343-Polibe Olivares-4298.05
991067-Delfina Perdigon-19756.02
788711-Danilo Olaio-18328.38
690260-Silvio Mata-1185.17
344248-Elisa Themes-5524.85
257621-Leonidas Mafra-5262.65
231784-Ubaldo Mainha-19676.77
406394-Almerinda Palmeira-19883.14
488487-Clara Alcantara-20466.62
597876-Neeamia Arruda-8127.10
201783-Odete Vasques-17633.59
217211-Celeste Duarte-3938.67
977492-Telma Villalobos-20956.55
164271-Delfim Higuera-12478.62
26509-Lina Andrade-487.23
468343-Quintiliano Sousa de Arronches-3369.80
161553-Armindo Castalo-9832.12
879448-Melinda Roserio-101.35
360902-Lurdes Cotrim-12066.23
65225-Dulce Froes-5207.38
592046-Trajano Fagundes-2714.56
407517-Daniel Vieyra-12576.73
857290-Neeamia Arruda-20186.50
144580-Odilia Camello-4433.31
465459-Quintiliano Sousa de Arronches-8923.58
755019-Almerinda Palmeira-3563.42
825749-Melinda Roserio-17675.04
89614-Celeste Duarte-17319.00
183430-Melinda Roserio-4117.77
456143-Tabalipa Duarte-1663.58
438874-Taercio Mafra-7839.50
297319-Armanda Amorim-5468.74
22545-Oliveira Senchez-14307.32
919614-Anind Zarco-9733.93
195139-Almor Caiado-14408.58
677016-Feledcia Peassego-12381.29
655570-Sidfnio Frois-8914.71
846235-Delfim Higuera-2210.77
688108-Odilia Camello-12152.61
153324-Ubaldo Mainha-16257.17
356112-Melinda Roserio-1176.72
14607-Jorgina Bogalho-6019.70
862371-Rodolfo Paz-13249.92
876898-Tibefarcio Colao-874.28
222459-Antonio Castelo-2846.23
925562-Jorgina Bogalho-19653.00
970904-Flor Portella-11714.72
552740-Adelino Barra-10338.35
34168-Eurico Siqueira-15625.23
292441-Clara Alcantara-18166.76
425488-Quintino Alcantara-1695.49
509004-Judite Damasceno-11875.63
466858-Delfim Higuera-18334.26
672691-Artur Grillo-19783.03
271083-Eurico Siqueira-20655.25
243846-Emiliana Foquio-8399.67
345999-Zungela Ipiranga-8054.54
435995-Almerinda Palmeira-15820.07
603448-Artur Grillo-6065.57
31788-Zulmira Becerra-4383.66
209862-Zulmira Becerra-12437.92
543841-Judite Damasceno-16593.01
363747-Elisa Themes-842.84
175775-Antonio Viegas-969.57
415889-Guaraci Damasceno-5232.28
279230-Gaudancio Fiees-6564.72
475516-Jorgina Bogalho-17348.18
143967-Guida Juca-3547.70
647170-Basilio Pedroso-10323.73
189584-Cleusa Goes-6879.21
924534-Celeste Duarte-9471.31
208132-Oliveira Senchez-19276.75
571338-Silvio Mata-20840.39
360171-Tarrataca Soares-5937.31
967882-Oliveira Senchez-18391.47
133281-Liana Cardim-18099.43
749227-Flamednia Leiria-3239.34
335680-Clarindo Areosa-7000.78
445380-Honorina Lira-18247.26
112496-Odete Vasques-9654.31
145821-Almerinda Palmeira-20863.56
487194-Danilo Olaio-10620.80
645621-Zulmira Becerra-12276.52
87960-Flor Portella-1215.28
970549-Edgar Carvalheiro-18694.96
597176-Almerinda Palmeira-20946.29
211687-Tarrataca Soares-16368.95
643731-Flamednia Leiria-13017.47
845654-Carminda Morais-5237.09
937257-Dulce Froes-20568.21
950328-Quintiliano Sousa de Arronches-20444.83
94731-Jussara Varanda-17304.87
947009-Cleusa Goes-6266.49
838207-Micaela Chavez-9647.37
976804-Estanislau Beserra-6942.24
262336-Ubaldo Mainha-3383.37
6739-Quintiliano Sousa de Arronches-5535.49
201880-Flor Portella-9271.93
475375-Tibofarcio Camacho-18140.38
474394-Silvio Mata-20989.76
421225-Jussara Varanda-3224.42
240402-Nuno Balsemeo-17265.37
656409-Angelica Aranha-17964.84
724234-Jussara Varanda-4688.39
320399-Joaquim Rufino-4848.16
929138-Quintino Alcantara-15360.78
683733-Tibofarcio Camacho-11376.01
849763-Spnia ou Sonia Guerreiro-17608.03
279259-Ermelinda Quintela-19582.78
901250-Flor Portella-14072.69
377288-Rebeca Neto-10732.07
336843-Zulmira Becerra-8949.63
816165-Oliveira Carmona-19346.20
428172-Lurdes Cotrim-11248.60
809879-Adelino Barra-7346.97
899131-Delfina Perdigon-4861.43
842161-Urbano Rodrigues-3263.43
817952-Ubaldo Mainha-18921.92
19291-Neeamia Arruda-429.88
259128-Ermelinda Quintela-17448.89
991072-Emiliana Foquio-4647.83
165452-Elisa Themes-3946.36
393350-Trajano Fagundes-11174.52
621776-Eurico Siqueira-11123.97
688937-Sofras Cuaresma-13442.07
87990-Celeste Duarte-3596.22
564919-Ubaldo Mainha-6444.64
642815-Rebeca Neto-6047.99
556262-Oliveira Senchez-11678.18
747931-Odilia Bello-20000.77
724920-Leonidas Mafra-9055.84
908454-Tibefarcio Colao-3542.66
571639-Estanislau Beserra-20726.60
370885-Manuel Capiperibe-14147.98
30425-Armanda Amorim-9970.03
903362-Fulvio Villegas-13040.91
918836-Tibefarcio Colao-17246.56
276931-Tibefarcio Colao-12488.15
343762-Emedlia Silvera-16373.71
398589-Angelica Aranha-5536.36
859014-Henrique Bento-15523.61
102324-Zulmira Becerra-14117.85
981716-Guida Juca-10268.73
313355-Danilo Olaio-1847.61
74469-Filomena Barrios-103.07
525881-Adelina Quadros-12382.11
115779-Quintiliano Sousa de Arronches-596.46
686323-Nuno Balsemeo-10959.23
539115-Quintino Alcantara-19442.67
726150-Branco Saraba-5001.82
506557-Delfina Garcia de Gondim-6560.41
387759-Gaudancio Fiees-7291.43
18858-Aludsio Sosa-11141.25
342258-Zulmira Becerra-7809.54
463385-Nuno Balsemeo-8420.29
103879-Jonatas Felgueiras-4940.71
835379-Quintino Alcantara-967.03
739156-Dulce Froes-2943.89
