266986-Jonatas Felgueiras-5555.71
712199-Zungela Ipiranga-6987.83
695090-Adelina Quadros-4445.63
556640-Micaela Chavez-9044.96
319937-Ubaldo Mainha-2403.10
1444-Clara Alcantara-17964.71
103540-Quintiliano Sousa de Arronches-3417.08
715491-Filomena Barrios-8133.29
668407-Tibefarcio Colao-7718.60
797385-Liana Cardim-5288.66
905893-Mercia Caeira-10511.33
581401-Fulvio Villegas-7043.62
331752-Jussara Varanda-3445.73
338804-Manuel Capiperibe-7081.30
153770-Angelica Aranha-21424.50
999365-Estanislau Beserra-4479.68
383287-Nuno Balsemeo-9560.71
264964-Ermelinda Quintela-18467.87
897859-Rodolfo Paz-6859.72
565651-Rodolfo Paz-17967.69
344763-Basilio Pedroso-14741.91
694730-Almerinda Palmeira-5972.89
344227-Romo Paranage-8026.21
40382-Honorina Lira-9019.59
748645-Anfnia Seixas-12561.13
766751-Antonio Castelo-146.29
772042-Angelica Aranha-12350.12
485713-Estanislau Beserra-6237.94
45202-Sidfnio Frois-11936.91
465135-Armindo Castalo-7917.73
751416-Emedlio Pimentel-21151.18
171033-Melinda Roserio-14243.29
468887-Tibefarcio Colao-15656.73
340070-Daniel Vieyra-8362.30
857573-Regina Barcellos-1404.95
824982-Adelina Quadros-18662.62
276445-Lina Andrade-13675.50
799151-Sidfnio Frois-11335.52
624943-Mercia Caeira-19775.98
422227-Andreia Moita-3765.79
504740-Angilica Galante-11543.30
294728-Estanislau Beserra-10670.18
373592-Henrique Bento-8190.03
73085-Flor Portella-7548.60
248362-Spnia ou Sonia Guerreiro-15827.17
53195-Delfina Perdigon-11500.58
970595-Camila Gabeira-20523.35
416555-Odete Vasques-9506.50
656039-Delfim Higuera-18392.75
103258-Branco Saraba-11092.14
840216-Cleusa Goes-5572.35
695323-Neuza Francia-16575.30
396014-Adelina Quadros-7124.20
770164-Jorgina Bogalho-6720.09
890861-Edgar Carvalheiro-2907.74
506748-Flor Portella-8248.27
900930-Almerinda Palmeira-1413.14
361800-Armanda Amorim-16227.30
375071-Basilio Pedroso-15979.03
502298-Guida Juca-12605.22
208616-Cleusa Goes-14023.63
761792-Delfina Garcia de Gondim-19910.58
332861-Daniel Vieyra-1559.70
423413-Liana Cardim-17577.41
373518-Anind Zarco-11901.48
40750-Almor Caiado-7411.71
282795-Taercio Mafra-1295.88
892449-Trajano Fagundes-7229.50
636161-Dulce Froes-15073.25
687930-Dulce Froes-1653.44
953630-Urbano Rodrigues-13685.52
454354-Emedlia Silvera-19763.14
1182-Tarrataca Soares-9081.63
967708-Liana Cardim-11305.87
459719-Filomena Barrios-12509.60
725579-Odilia Camello-7045.17
818483-Spnia ou Sonia Guerreiro-6413.17
225377-Joaquim Rufino-9662.09
879170-Ermelinda Quintela-4823.62
952253-Odilia Camello-10290.49
547885-Polibe Olivares-15680.03
22633-Odilia Bello-5089.74
71820-Delfina Perdigon-16569.75
91461-Honorina Lira-14294.59
368072-Eurico Siqueira-4984.35
308866-Sara Lameiras-13021.61
904240-Celeste Duarte-3704.95
604179-Lina Andrade-21397.21
254131-Lurdes Cotrim-17901.16
745521-Tibefarcio Colao-9195.85
580646-Andreia Moita-7886.49
968122-Odilia Bello-6521.88
702447-Oliveira Carmona-3537.76
600128-Emedlia Silvera-493.84
84580-Basilio Pedroso-14967.52
45672-Delfina Perdigon-15910.61
524155-Cleusa Goes-10734.82
835528-Heleedsa Marins-736.02
355888-Ximena Castilho-14618.56
237750-Zulmira Becerra-3031.18
