425566-Zulmira Becerra-5855.65
45226-Flamednia Leiria-14109.40
688752-Trajano Fagundes-17896.24
650632-Nuno Balsemeo-356.51
447793-Leonidas Mafra-12272.35
867482-Zulmira Becerra-13226.95
495240-Taercio Mafra-7165.76
517702-Fulvio Villegas-8171.52
298477-Flamednia Leiria-7159.09
277386-Guaraci Damasceno-20139.80
711642-Artur Grillo-12759.22
483540-Clara Alcantara-18699.67
316783-Dulce Froes-14311.72
481728-Tibefarcio Colao-12773.39
556098-Liana Cardim-18467.87
195556-Henrique Bento-2001.71
452507-Jorgina Bogalho-5206.66
215401-Polibe Olivares-2837.00
813147-Eurico Siqueira-13579.99
170590-Gaudancio Fiees-1877.92
402989-Branco Saraba-9395.04
684204-Mercia Caeira-2835.04
937978-Celeste Duarte-2673.37
815310-Angilica Galante-10848.19
343802-Esperada Cardoso-19103.75
107461-Honorina Lira-14690.87
82211-Letedcia Gago-16555.39
149716-Micaela Chavez-4712.71
368844-Henrique Bento-17820.84
496885-Danilo Olaio-17397.71
637583-Tibefarcio Colao-1416.90
183800-Henrique Bento-18683.75
729819-Flor Portella-18883.12
448040-Carminda Morais-19911.28
21799-Tibefarcio Colao-649.88
898889-Celeste Duarte-16320.96
946793-Antonio Viegas-15726.94
660750-Adelina Quadros-6033.60
591167-Tarrataca Soares-16887.29
3817-Cassandra Varejo-12497.42
725143-Eurico Siqueira-13003.80
466787-Branco Saraba-9690.80
195938-Odilia Bello-21258.10
778434-Ermelinda Quintela-19067.74
179653-Aludsio Sosa-15893.12
472045-Edgar Carvalheiro-8727.28
367519-Oliveira Senchez-21046.74
318581-Emiliana Foquio-15108.51
540633-Tarrataca Soares-15224.43
846822-Romo Paranage-13499.63
956794-Andreia Moita-11812.04
240834-Elisa Themes-19556.71
415851-Rodolfo Paz-18093.83
936175-Celeste Duarte-10096.78
584412-Lina Andrade-6413.74
220716-Trajano Fagundes-4673.63
468900-Carminda Morais-19567.30
411175-Guaraci Damasceno-3225.65
229961-Telma Villalobos-3311.06
294103-Jussara Varanda-16169.52
100485-Marilda Leio-16249.09
803042-Antonio Viegas-4966.66
101928-Guida Juca-1005.99
210609-Odilia Bello-1775.35
609830-Heleedsa Marins-5711.19
837742-Cleusa Goes-13463.40
309588-Nuno Balsemeo-19878.09
455807-Ximena Castilho-19207.36
969855-Letedcia Gago-17484.83
442897-Tibofarcio Camacho-10122.93
878752-Carminda Morais-9619.10
35267-Romo Paranage-7502.29
379230-Guida Juca-13463.31
622930-Tarrataca Soares-5810.58
544802-Ubaldo Mainha-3611.84
357203-Moaci Mendoa-1285.39
15828-Tarrataca Soares-7558.48
437250-Estanislau Beserra-528.20
423700-Almor Caiado-16777.90
515809-Nuno Balsemeo-7107.49
560401-Danilo Olaio-6491.45
546972-Daniel Vieyra-5266.96
200006-Almor Caiado-1515.92
935354-Tibofarcio Camacho-13332.15
721896-Lina Andrade-7862.76
627691-Cleusa Goes-12996.33
389809-Delfina Garcia de Gondim-11931.65
960798-Eurico Siqueira-2761.19
300890-Angelica Aranha-10185.42
123693-Oliveira Carmona-16040.58
756016-Ubaldo Mainha-15021.35
298342-Emedlia Silvera-1901.98
586419-Letedcia Gago-3123.98
205823-Lurdes Cotrim-19693.34
399866-Mercia Caeira-10435.72
262026-Delfina Garcia de Gondim-2537.16
179103-Camila Gabeira-9461.06
944331-Manuel Capiperibe-8135.83
529871-Judite Damasceno-17768.84
421930-Angilica Galante-12895.24
