781875-Zulmira Becerra-10149.31
635814-Esperada Cardoso-9078.11
277102-Tibofarcio Camacho-21002.26
601342-Adelino Barra-5859.11
529453-Almor Caiado-18542.27
761207-Cleusa Goes-920.43
335336-Rodolfo Paz-20101.73
875281-Jussara Varanda-10689.57
310322-Polibe Olivares-2555.08
214749-Neuza Francia-19474.11
422742-Clara Alcantara-13127.09
115092-Dulce Froes-15253.45
938830-Romo Paranage-13461.38
684921-Sara Lameiras-20117.40
665875-Armanda Amorim-4797.85
444530-Neuza Francia-10895.47
326054-Augusta Paio-19048.82
443187-Silvio Mata-6992.74
202942-Daniel Vieyra-2581.00
521670-Emedlia Silvera-3733.15
984638-Cleusa Goes-12557.38
894513-Delfina Garcia de Gondim-17618.53
615244-Elisa Themes-5443.08
594278-Elisa Themes-195.09
968161-Ermelinda Quintela-1451.75
601725-Ximena Castilho-1486.20
761693-Flor Portella-14639.46
610709-Odilia Camello-19993.89
932747-Polibe Olivares-3911.08
762472-Regina Barcellos-4496.30
519360-Oliveira Carmona-14396.15
501636-Armanda Amorim-810.25
828764-Regina Barcellos-15766.41
810550-Clara Alcantara-15842.35
48335-Estanislau Beserra-6897.19
71572-Silvio Mata-7473.21
157821-Estanislau Beserra-18490.83
126066-Regina Barcellos-17102.10
884291-Marilda Leio-13996.59
742819-Basilio Pedroso-11729.38
916399-Lina Andrade-8299.74
827773-Branco Saraba-16834.75
624737-Nuno Balsemeo-9638.20
729769-Adelino Barra-171.47
827792-Trajano Fagundes-8551.96
617383-Antonio Viegas-18102.67
26722-Odilia Camello-18244.25
898213-Urbano Rodrigues-6550.67
158693-Carminda Morais-11489.52
43808-Artur Grillo-14166.95
558877-Celeste Duarte-18316.11
688537-Basilio Pedroso-15019.55
360007-Delfina Garcia de Gondim-420.96
672177-Telma Villalobos-1438.26
735679-Spnia ou Sonia Guerreiro-18266.54
518672-Anfnia Seixas-9407.88
139235-Joaquim Rufino-19298.14
359060-Lurdes Cotrim-19627.12
788856-Armindo Castalo-8913.87
394075-Edgar Carvalheiro-12544.31
453541-Almerinda Palmeira-13539.90
486614-Ximena Castilho-4821.95
994931-Delfina Perdigon-8675.55
356311-Domingos Pas-19392.27
348602-Polibe Olivares-9864.79
536489-Andreia Moita-8465.14
24250-Anind Zarco-1191.70
937002-Cleusa Goes-6535.29
433515-Emiliana Foquio-20123.18
881728-Andreia Moita-13002.28
540812-Joaquim Rufino-18376.82
810814-Ermelinda Quintela-1596.85
68563-Delfina Perdigon-971.96
906092-Honorina Lira-4665.52
85875-Almor Caiado-12849.01
919351-Delfina Garcia de Gondim-12599.54
56608-Eurico Siqueira-544.94
8016-Armanda Amorim-16404.31
704492-Trajano Fagundes-2303.81
788379-Adelino Barra-12682.63
303484-Henrique Bento-18758.04
325036-Artur Grillo-17371.31
57926-Lurdes Cotrim-2067.16
345807-Cassandra Varejo-16216.22
860858-Edgar Carvalheiro-18307.08
371462-Emiliana Foquio-5131.43
912642-Estanislau Beserra-7572.00
623635-Zulmira Becerra-1977.24
863499-Odilia Bello-7974.29
421092-Delfim Higuera-13002.17
239545-Ubaldo Mainha-8130.37
739696-Delfina Perdigon-6898.79
440862-Danilo Olaio-14129.36
821624-Basilio Pedroso-17022.82
270996-Elisa Themes-13496.59
621228-Adelino Barra-13415.47
441515-Delfina Perdigon-3769.76
756106-Odilia Camello-7226.00
502004-Antonio Viegas-8844.63
145428-Quintiliano Sousa de Arronches-7274.01
