300890-Joaquim Rufino-537.08
436478-Emedlia Silvera-13982.05
837974-Zungela Ipiranga-17101.16
745761-Sofras Cuaresma-8893.21
427322-Neeamia Arruda-7863.69
604792-Oliveira Carmona-18281.26
419658-Cleusa Goes-2035.69
869136-Letedcia Gago-12183.09
493673-Neeamia Arruda-18852.30
775523-Antonio Castelo-13304.34
929228-Domingos Pas-11552.52
139280-Filomena Barrios-21396.88
410515-Moaci Mendoa-5860.42
290566-Emiliana Foquio-17907.88
586003-Flamednia Leiria-1507.32
972325-Flor Portella-4923.37
774499-Angelica Aranha-20927.56
822875-Ubaldo Mainha-19371.42
766532-Regina Barcellos-19766.35
797553-Manuel Capiperibe-3339.27
6365-Ermelinda Quintela-4728.56
439547-Tibofarcio Camacho-13709.96
77889-Camila Gabeira-6769.23
348408-Liana Cardim-20902.13
939542-Clara Alcantara-9713.16
899285-Quintiliano Sousa de Arronches-10562.88
17982-Flamednia Leiria-4535.79
189788-Ximena Castilho-8424.02
703335-Cleusa Goes-5086.84
446816-Oliveira Carmona-12564.82
624578-Joaquim Rufino-6670.05
570215-Manuel Capiperibe-9414.44
236558-Spnia ou Sonia Guerreiro-13305.22
428877-Domingos Pas-13968.71
925636-Delfina Garcia de Gondim-20298.10
670510-Adelina Quadros-18682.26
235587-Clara Alcantara-5927.60
589582-Odilia Bello-5544.66
85279-Judite Damasceno-8241.70
249055-Feledcia Peassego-11396.16
823729-Taercio Mafra-6837.57
771233-Taercio Mafra-6118.44
714495-Emedlia Silvera-9160.80
96734-Sofras Cuaresma-350.26
208516-Polibe Olivares-19069.51
635845-Jorgina Bogalho-2401.38
867397-Basilio Pedroso-19693.74
161319-Neuza Francia-5974.80
889543-Jussara Varanda-2090.81
785897-Antonio Viegas-6333.30
680639-Flamednia Leiria-566.70
580133-Flamednia Leiria-10994.42
440279-Judite Damasceno-8376.73
338966-Filomena Barrios-20957.69
108251-Camila Gabeira-5214.94
204028-Aludsio Sosa-13811.30
41933-Domingos Pas-14359.97
639950-Esperada Cardoso-11396.75
704218-Quintiliano Sousa de Arronches-13345.65
454425-Odilia Bello-3818.67
821035-Heleedsa Marins-16855.47
461330-Antonio Castelo-16176.44
945525-Neuza Francia-11196.01
510180-Armanda Amorim-15219.40
616874-Daniel Vieyra-20740.48
674893-Domingos Pas-5107.68
871097-Sofras Cuaresma-8478.10
473779-Liana Cardim-15304.50
39817-Delfina Garcia de Gondim-9656.71
203547-Ubaldo Mainha-21251.25
697671-Jorgina Bogalho-18534.62
862272-Urbano Rodrigues-8344.40
468583-Camila Gabeira-18273.86
263804-Liana Cardim-14534.12
344668-Honorina Lira-18950.29
919693-Odete Vasques-7642.20
141076-Polibe Olivares-4486.08
359861-Regina Barcellos-7700.82
770072-Andreia Moita-1786.38
261252-Jonatas Felgueiras-10308.41
619300-Trajano Fagundes-18125.39
524853-Lurdes Cotrim-4329.18
107102-Angelica Aranha-1389.03
773620-Sara Lameiras-17681.66
412431-Romo Paranage-9740.27
99082-Rebeca Neto-4254.63
70305-Odilia Camello-15036.04
851682-Gaudancio Fiees-13494.81
599514-Tarrataca Soares-11027.67
18019-Dulce Froes-20980.28
594327-Fulvio Villegas-4221.64
633121-Dulce Froes-20556.89
112082-Joaquim Rufino-263.12
9440-Domingos Pas-18960.86
319023-Polibe Olivares-5970.15
174057-Carminda Morais-3506.30
249436-Spnia ou Sonia Guerreiro-16677.00
932609-Carminda Morais-11010.69
213708-Cleusa Goes-1811.84
132549-Elisa Themes-20212.02
