183213-Guida Juca-19658.93
573920-Emiliana Foquio-9501.26
827549-Heleedsa Marins-2223.17
496193-Cleusa Goes-4384.88
441445-Angelica Aranha-9205.30
500329-Zungela Ipiranga-18884.01
151925-Adelino Barra-18935.13
791758-Delfim Higuera-1482.45
543724-Lina Andrade-7273.98
486384-Tibofarcio Camacho-9042.26
893073-Neeamia Arruda-19494.09
528373-Neeamia Arruda-13964.99
913260-Fulvio Villegas-10588.43
411609-Augusta Paio-788.56
303785-Taercio Mafra-13472.97
360191-Rodolfo Paz-17747.97
85043-Antonio Castelo-4954.66
208044-Cleusa Goes-3787.74
541524-Filomena Barrios-1288.34
215184-Guaraci Damasceno-15443.20
980827-Branco Saraba-4687.30
639796-Liana Cardim-10602.58
424766-Henrique Bento-12061.71
42663-Spnia ou Sonia Guerreiro-10230.99
148831-Clara Alcantara-539.19
785025-Silvio Mata-387.96
339006-Oliveira Senchez-1668.81
922117-Oliveira Carmona-17600.89
750142-Heleedsa Marins-4471.47
492836-Lina Andrade-2258.78
461135-Flor Portella-3858.59
838252-Jorgina Bogalho-7454.99
747163-Odete Vasques-1074.40
499066-Adelino Barra-8414.83
106505-Branco Saraba-12386.32
10927-Quintiliano Sousa de Arronches-719.33
745365-Rebeca Neto-13772.72
429040-Quintino Alcantara-6057.10
402766-Adelino Barra-529.77
210267-Lurdes Cotrim-4464.70
337927-Guida Juca-5429.31
711523-Sara Lameiras-1442.86
859429-Sofras Cuaresma-6470.33
662200-Henrique Bento-9625.32
596853-Zulmira Becerra-11696.38
934471-Odete Vasques-4681.66
584300-Henrique Bento-6329.11
598679-Henrique Bento-118.56
218358-Trajano Fagundes-11312.59
501211-Odilia Bello-19724.69
146072-Silvio Mata-19323.24
166472-Andreia Moita-14795.51
685856-Tabalipa Duarte-16744.11
645341-Tabalipa Duarte-15755.90
603943-Filomena Barrios-587.03
194141-Delfina Garcia de Gondim-14726.37
717312-Delfim Higuera-15612.21
28814-Camila Gabeira-4913.36
50764-Polibe Olivares-230.71
49657-Judite Damasceno-6035.72
34681-Antonio Castelo-3112.35
434268-Flamednia Leiria-16794.01
635725-Andreia Moita-11586.04
869865-Camila Gabeira-10037.65
635754-Sofras Cuaresma-20563.69
556248-Clarindo Areosa-12600.80
642276-Armindo Castalo-8343.13
155555-Sara Lameiras-88.58
8774-Manuel Capiperibe-15369.09
637402-Jorgina Bogalho-11764.75
251708-Celeste Duarte-15215.10
705971-Anfnia Seixas-9674.61
711715-Letedcia Gago-18060.96
161072-Gaudancio Fiees-3894.82
199890-Domingos Pas-19751.18
941376-Angilica Galante-12901.91
319999-Urbano Rodrigues-9503.49
952765-Honorina Lira-15885.05
922000-Clara Alcantara-10690.30
446062-Almor Caiado-5231.84
58868-Artur Grillo-19234.36
906489-Urbano Rodrigues-7596.58
671750-Aludsio Sosa-6588.86
556859-Quintino Alcantara-11480.47
207157-Letedcia Gago-16552.47
226587-Sofras Cuaresma-917.05
358346-Taercio Mafra-775.41
803394-Angelica Aranha-10264.94
106897-Urbano Rodrigues-12824.16
319619-Tabalipa Duarte-8683.78
523923-Feledcia Peassego-3879.53
754489-Moaci Mendoa-1523.76
445585-Anfnia Seixas-18410.48
749290-Odilia Camello-1701.21
51820-Rebeca Neto-4383.28
472577-Lurdes Cotrim-4070.71
600515-Taercio Mafra-13364.30
77909-Fulvio Villegas-19132.33
576667-Flamednia Leiria-21463.40
105563-Anind Zarco-14251.76
