881732-Almor Caiado-12752.13
900276-Oliveira Senchez-9951.00
71698-Fulvio Villegas-19891.39
724113-Neuza Francia-17127.52
390852-Emedlia Silvera-7441.14
88775-Elisa Themes-2388.22
239959-Jussara Varanda-20672.87
252654-Tabalipa Duarte-21429.26
32537-Silvio Mata-3898.17
49076-Oliveira Carmona-12011.94
470165-Nuno Balsemeo-5975.92
480320-Anind Zarco-14074.93
95195-Andreia Moita-9950.81
295592-Rebeca Neto-18758.05
861360-Antonio Viegas-17807.12
223796-Neuza Francia-19708.01
335029-Moaci Mendoa-11335.57
70736-Urbano Rodrigues-9383.26
734224-Heleedsa Marins-9368.75
751362-Lurdes Cotrim-16339.24
139236-Andreia Moita-8399.11
773159-Quintino Alcantara-10553.91
990967-Heleedsa Marins-15474.86
380924-Sofras Cuaresma-19357.82
522603-Daniel Vieyra-8091.59
294966-Eurico Siqueira-5229.00
888886-Mercia Caeira-4177.51
285704-Guaraci Damasceno-10828.22
608500-Branco Saraba-500.72
264301-Artur Grillo-5108.24
630714-Delfina Perdigon-1304.79
589472-Antonio Castelo-1842.52
40850-Feledcia Peassego-16672.43
89251-Melinda Roserio-1261.41
458788-Guaraci Damasceno-15686.63
56665-Quintino Alcantara-2964.74
455305-Filomena Barrios-8433.63
927372-Tibofarcio Camacho-9816.49
241872-Branco Saraba-7067.74
431341-Andreia Moita-4085.55
61207-Rodolfo Paz-12881.85
601636-Branco Saraba-17957.75
532948-Odilia Bello-11913.32
983041-Honorina Lira-4699.38
214805-Silvio Mata-15073.96
605952-Spnia ou Sonia Guerreiro-17894.53
412982-Delfim Higuera-11394.25
970925-Carminda Morais-6908.68
866868-Marilda Leio-13821.10
318685-Armindo Castalo-20025.42
110442-Danilo Olaio-20386.03
381376-Manuel Capiperibe-1827.21
904645-Adelino Barra-17852.54
187569-Telma Villalobos-19512.37
611072-Neuza Francia-4689.68
697759-Manuel Capiperibe-2950.90
775298-Artur Grillo-19525.03
216225-Estanislau Beserra-15639.91
306244-Spnia ou Sonia Guerreiro-2123.74
686560-Quintiliano Sousa de Arronches-952.09
621473-Oliveira Carmona-17233.19
258051-Angilica Galante-9322.17
669414-Feledcia Peassego-536.38
929115-Melinda Roserio-7548.26
642757-Urbano Rodrigues-10144.37
752777-Rodolfo Paz-2536.51
315840-Adelino Barra-9164.26
336306-Fulvio Villegas-16986.42
708845-Manuel Capiperibe-14344.65
224385-Micaela Chavez-8306.68
281562-Antonio Viegas-2958.06
457936-Emedlia Silvera-11180.64
355143-Andreia Moita-7982.49
22484-Flor Portella-5276.95
443000-Angilica Galante-7763.38
831497-Domingos Pas-9040.90
826630-Honorina Lira-5529.23
325031-Heleedsa Marins-8622.59
330329-Flor Portella-3754.84
709391-Zungela Ipiranga-4747.08
297256-Regina Barcellos-10149.90
720718-Melinda Roserio-18874.48
361153-Manuel Capiperibe-11273.19
155910-Delfim Higuera-5198.58
776206-Adelino Barra-20163.01
833114-Adelino Barra-17906.49
540744-Trajano Fagundes-1379.92
190747-Flor Portella-11583.17
482996-Eurico Siqueira-21206.47
272793-Celeste Duarte-10898.73
213992-Basilio Pedroso-3086.87
477124-Guaraci Damasceno-15004.08
803888-Celeste Duarte-13022.85
896402-Edgar Carvalheiro-19154.41
683781-Urbano Rodrigues-19472.17
808783-Anind Zarco-2645.67
24184-Honorina Lira-14161.07
678530-Quintino Alcantara-20232.98
108126-Elisa Themes-16372.98
505466-Regina Barcellos-16925.70
127639-Emedlio Pimentel-8723.01
739855-Manuel Capiperibe-16197.78
316402-Trajano Fagundes-7580.98
728775-Emedlia Silvera-12329.94
999460-Edgar Carvalheiro-14246.78
571456-Gaudancio Fiees-21094.87
825316-Jorgina Bogalho-20440.28
71320-Leonidas Mafra-17812.22
634498-Armanda Amorim-358.47
361531-Liana Cardim-14783.52
478164-Zungela Ipiranga-1409.96
765300-Augusta Paio-13337.36
492714-Carminda Morais-5015.69
505207-Quintino Alcantara-9192.98
475043-Mercia Caeira-9592.97
178427-Telma Villalobos-4903.85
448473-Henrique Bento-13032.10
342278-Tibefarcio Colao-13882.82
50589-Lina Andrade-19039.16
56401-Gaudancio Fiees-6757.94
148861-Odete Vasques-9412.72
58312-Almor Caiado-8615.54
745527-Ermelinda Quintela-19370.46
47098-Guaraci Damasceno-11750.68
343077-Neuza Francia-4910.59
833596-Gaudancio Fiees-18322.38
327438-Tibefarcio Colao-11682.03
365141-Angelica Aranha-20625.45
141585-Nuno Balsemeo-961.12
764898-Micaela Chavez-12011.68
740544-Quintiliano Sousa de Arronches-6278.34
228868-Tabalipa Duarte-13958.92
453371-Moaci Mendoa-8301.54
246809-Almor Caiado-18362.01
854308-Sara Lameiras-13520.60
758976-Filomena Barrios-8024.10
48622-Oliveira Carmona-1492.54
581266-Ermelinda Quintela-14366.19
879172-Tarrataca Soares-32.77
125894-Ubaldo Mainha-1800.42
166612-Lurdes Cotrim-12977.83
479489-Tibefarcio Colao-13500.11
862529-Heleedsa Marins-16704.65
808447-Letedcia Gago-6132.28
822450-Taercio Mafra-12450.82
895933-Delfim Higuera-2303.58
723675-Honorina Lira-2069.23
270502-Mercia Caeira-3305.04
878691-Neeamia Arruda-19893.83
598833-Neeamia Arruda-6450.25
487328-Moaci Mendoa-12681.92
725741-Quintino Alcantara-5051.88
856033-Artur Grillo-13650.50
656435-Liana Cardim-14898.59
174044-Melinda Roserio-20546.81
751939-Gaudancio Fiees-14030.93
740066-Almerinda Palmeira-13673.33
498569-Cleusa Goes-9681.20
876237-Odete Vasques-1205.15
47358-Armindo Castalo-10681.14
744128-Camila Gabeira-7171.18
739794-Armindo Castalo-18428.44
263224-Tarrataca Soares-15462.16
251439-Armanda Amorim-6573.89
983950-Emiliana Foquio-10125.63
798715-Taercio Mafra-18163.15
487413-Rodolfo Paz-17235.71
582315-Nuno Balsemeo-8835.86
697391-Almerinda Palmeira-7329.79
195463-Cassandra Varejo-12750.26
235128-Micaela Chavez-5422.87
982998-Aludsio Sosa-19800.26
402211-Delfina Perdigon-4958.06
904352-Tabalipa Duarte-20550.57
265165-Tibefarcio Colao-8285.58
823451-Spnia ou Sonia Guerreiro-2088.73
475145-Adelino Barra-4263.60
492978-Emedlio Pimentel-16879.42
114748-Anind Zarco-291.56
768203-Esperada Cardoso-17343.52
535823-Adelino Barra-10061.03
937640-Letedcia Gago-12600.86
