448145-Guaraci Damasceno-16783.68
983068-Guaraci Damasceno-5097.20
516825-Feledcia Peassego-4144.62
291271-Adelina Quadros-7499.74
831468-Jorgina Bogalho-9818.68
684230-Guaraci Damasceno-19027.00
251124-Dulce Froes-1056.06
950223-Honorina Lira-21409.54
127390-Joaquim Rufino-11878.81
474583-Antonio Viegas-11537.05
45705-Artur Grillo-5526.69
69752-Anfnia Seixas-4451.69
666752-Ximena Castilho-12136.86
999645-Manuel Capiperibe-3674.93
788845-Domingos Pas-68.41
657950-Filomena Barrios-13765.25
108198-Dulce Froes-8922.93
144829-Ermelinda Quintela-17512.43
388932-Regina Barcellos-9978.87
767337-Carminda Morais-12013.61
350747-Jonatas Felgueiras-3939.23
334514-Micaela Chavez-2015.10
521623-Guaraci Damasceno-9631.76
687073-Joaquim Rufino-11851.76
826135-Quintiliano Sousa de Arronches-4514.81
349517-Sidfnio Frois-14021.39
573360-Basilio Pedroso-5317.64
920043-Clarindo Areosa-3634.25
220580-Odilia Bello-19638.14
434813-Jorgina Bogalho-6200.97
837632-Telma Villalobos-5089.65
426240-Edgar Carvalheiro-11612.99
183705-Quintino Alcantara-9393.37
143204-Branco Saraba-2575.40
596008-Andreia Moita-20133.67
373585-Tibefarcio Colao-7462.32
709222-Regina Barcellos-5063.22
337690-Zulmira Becerra-13992.42
209214-Adelina Quadros-12709.79
238-Estanislau Beserra-13094.14
636291-Quintiliano Sousa de Arronches-5207.68
712134-Romo Paranage-16051.94
297518-Antonio Viegas-7128.94
575549-Marilda Leio-12050.37
29518-Almor Caiado-13016.33
964624-Armindo Castalo-10095.23
555168-Sara Lameiras-17052.33
909348-Urbano Rodrigues-21335.70
688346-Taercio Mafra-18982.96
797446-Aludsio Sosa-19972.96
520337-Guaraci Damasceno-14844.49
691415-Sara Lameiras-7536.77
194249-Cleusa Goes-64.91
517759-Celeste Duarte-2060.67
898074-Oliveira Senchez-3900.96
161329-Carminda Morais-10100.61
657043-Edgar Carvalheiro-13206.16
474926-Tabalipa Duarte-18535.25
51375-Antonio Viegas-8247.30
123321-Odete Vasques-1980.44
609225-Oliveira Senchez-5935.64
379425-Armindo Castalo-3727.72
343808-Celeste Duarte-6969.66
202432-Rebeca Neto-3580.00
614853-Angilica Galante-17608.98
177081-Angilica Galante-4765.76
262700-Delfim Higuera-15462.33
97284-Ubaldo Mainha-11812.24
18525-Antonio Viegas-7807.92
751987-Cleusa Goes-16159.15
297910-Oliveira Senchez-7010.41
292585-Trajano Fagundes-7044.20
480850-Armanda Amorim-10837.64
160224-Telma Villalobos-4044.83
389903-Taercio Mafra-20190.98
232110-Delfim Higuera-7867.91
651469-Jonatas Felgueiras-20120.54
686796-Antonio Castelo-9576.68
763791-Fulvio Villegas-19046.86
87154-Guida Juca-3089.54
937978-Regina Barcellos-3152.52
869305-Silvio Mata-12605.45
572550-Honorina Lira-17510.26
241962-Heleedsa Marins-17931.86
911652-Joaquim Rufino-15930.92
512398-Emedlio Pimentel-15408.41
172825-Odilia Bello-4990.09
582681-Tibefarcio Colao-19356.95
733244-Telma Villalobos-12619.76
675889-Oliveira Senchez-14500.63
50289-Clara Alcantara-5505.17
465670-Almor Caiado-13043.86
817808-Spnia ou Sonia Guerreiro-19369.59
934159-Taercio Mafra-9977.17
533508-Letedcia Gago-9921.45
747060-Delfina Perdigon-15336.58
268248-Oliveira Senchez-9513.47
843420-Melinda Roserio-7914.46
602565-Heleedsa Marins-876.95
564207-Tabalipa Duarte-17683.71
