713369-Silvio Mata-19818.61
602198-Zulmira Becerra-10590.94
311426-Zungela Ipiranga-17619.49
516644-Estanislau Beserra-13517.68
335556-Cleusa Goes-7095.27
304827-Camila Gabeira-8403.61
350865-Quintino Alcantara-3818.86
433721-Neeamia Arruda-7802.64
267126-Heleedsa Marins-4966.52
62867-Camila Gabeira-11105.46
829858-Odete Vasques-17222.59
201045-Jonatas Felgueiras-3223.78
340595-Honorina Lira-3456.89
626294-Ermelinda Quintela-9742.06
858033-Tabalipa Duarte-13135.41
54057-Odete Vasques-3643.63
654328-Estanislau Beserra-1622.30
585706-Clara Alcantara-6736.63
711075-Emiliana Foquio-17049.31
901976-Rebeca Neto-11465.10
387046-Flor Portella-20913.40
249370-Anind Zarco-10950.57
205626-Zungela Ipiranga-14233.98
627078-Silvio Mata-4215.40
332567-Quintiliano Sousa de Arronches-119.15
564655-Zungela Ipiranga-18809.69
158026-Silvio Mata-11431.39
153917-Ubaldo Mainha-4732.42
413692-Romo Paranage-2914.69
325126-Emedlio Pimentel-15573.71
298757-Adelino Barra-3072.74
531602-Marilda Leio-6705.24
658562-Neeamia Arruda-15587.29
474713-Odilia Camello-4388.73
496699-Antonio Viegas-8102.05
576428-Andreia Moita-12347.70
18727-Edgar Carvalheiro-4054.44
690814-Micaela Chavez-8515.98
26409-Daniel Vieyra-12060.12
325343-Armindo Castalo-19653.37
617779-Guida Juca-20926.36
282633-Aludsio Sosa-11626.84
4596-Emedlia Silvera-16453.42
640617-Urbano Rodrigues-17388.17
816990-Polibe Olivares-2698.30
908101-Liana Cardim-6994.07
484358-Odilia Bello-12444.25
716443-Honorina Lira-20671.16
190060-Odilia Camello-16936.59
132638-Clara Alcantara-18289.84
446151-Quintiliano Sousa de Arronches-14721.18
550351-Ermelinda Quintela-5669.17
178256-Lina Andrade-2084.38
51843-Ximena Castilho-18200.79
798192-Elisa Themes-15284.12
749868-Ximena Castilho-14928.37
987880-Feledcia Peassego-14468.37
670252-Zungela Ipiranga-3860.70
467255-Moaci Mendoa-9312.60
276229-Delfina Garcia de Gondim-12263.93
938651-Clara Alcantara-6813.55
753280-Guida Juca-17509.06
251718-Clarindo Areosa-8106.00
125230-Neuza Francia-15666.52
815827-Jussara Varanda-1629.67
336560-Ubaldo Mainha-17047.17
