408736-Romo Paranage-2694.71
92245-Silvio Mata-11707.96
375716-Delfim Higuera-12894.33
976548-Nuno Balsemeo-17741.30
104374-Leonidas Mafra-20308.96
636933-Basilio Pedroso-12864.00
945512-Honorina Lira-9785.92
173946-Manuel Capiperibe-12944.94
6631-Rodolfo Paz-11587.29
265658-Andreia Moita-3428.01
650962-Aludsio Sosa-20692.10
271744-Ermelinda Quintela-9288.19
456630-Tarrataca Soares-2147.11
381458-Camila Gabeira-13076.87
812928-Guaraci Damasceno-14437.92
2438-Telma Villalobos-18564.29
558155-Mercia Caeira-998.90
638758-Zulmira Becerra-15560.64
401972-Elisa Themes-8235.87
763853-Quintino Alcantara-973.69
531310-Armanda Amorim-1990.20
253914-Tibofarcio Camacho-3362.92
289303-Esperada Cardoso-4787.49
757992-Silvio Mata-12541.30
873110-Anind Zarco-7234.59
400358-Marilda Leio-15414.62
843800-Dulce Froes-12395.36
879667-Flor Portella-21401.75
925817-Trajano Fagundes-640.93
701051-Adelino Barra-20778.57
793881-Nuno Balsemeo-21373.88
96693-Sidfnio Frois-5121.59
734436-Delfina Garcia de Gondim-5204.48
82827-Romo Paranage-13042.06
634765-Melinda Roserio-3425.96
978273-Emedlio Pimentel-18139.96
266636-Basilio Pedroso-5623.56
445367-Jorgina Bogalho-18612.36
204764-Marilda Leio-5626.78
551457-Rebeca Neto-21203.79
783810-Andreia Moita-4346.89
520081-Fulvio Villegas-18697.86
64717-Tarrataca Soares-9120.37
357997-Quintino Alcantara-20711.20
781379-Quintiliano Sousa de Arronches-2122.71
180495-Silvio Mata-10742.49
41431-Ubaldo Mainha-710.32
955047-Clarindo Areosa-15974.77
560101-Neeamia Arruda-7671.98
258564-Camila Gabeira-5512.66
330643-Heleedsa Marins-10470.50
307648-Daniel Vieyra-3060.86
443494-Ermelinda Quintela-8121.51
543835-Delfina Perdigon-8965.09
850313-Ermelinda Quintela-18132.90
752390-Mercia Caeira-21384.71
166776-Sofras Cuaresma-12660.29
453623-Clara Alcantara-4355.00
976247-Cleusa Goes-17870.60
176816-Emedlia Silvera-10898.35
789087-Anind Zarco-4216.82
90588-Marilda Leio-19199.90
178013-Emiliana Foquio-18019.50
818502-Jussara Varanda-5880.10
94883-Judite Damasceno-17298.60
641921-Heleedsa Marins-12751.29
954240-Oliveira Senchez-10378.12
782125-Adelina Quadros-15802.66
119999-Rebeca Neto-4687.58
139923-Oliveira Carmona-4134.51
942410-Armanda Amorim-13872.41
311271-Honorina Lira-16773.31
250234-Emedlio Pimentel-10060.25
856720-Letedcia Gago-2853.60
972375-Flamednia Leiria-15864.55
411282-Carminda Morais-8266.14
321231-Polibe Olivares-12275.68
776358-Letedcia Gago-7128.66
731710-Sidfnio Frois-8799.86
747389-Regina Barcellos-3486.43
631015-Augusta Paio-18175.85
680528-Silvio Mata-20388.96
752631-Oliveira Carmona-13186.63
774468-Micaela Chavez-4690.36
322577-Tibofarcio Camacho-3865.25
730920-Esperada Cardoso-7369.36
784591-Quintiliano Sousa de Arronches-15112.57
650368-Feledcia Peassego-18280.34
298225-Jonatas Felgueiras-21227.65
220761-Ubaldo Mainha-20350.29
78442-Ximena Castilho-5071.76
209409-Branco Saraba-1083.73
155196-Polibe Olivares-6111.26
159222-Jussara Varanda-16699.00
523639-Lurdes Cotrim-17252.23
343330-Almerinda Palmeira-3594.70
292920-Odilia Camello-9952.55
810297-Honorina Lira-3754.21
193938-Tibofarcio Camacho-802.36
596547-Odilia Bello-5784.57
