839799-Jonatas Felgueiras-1193.05
639139-Guaraci Damasceno-2049.73
762345-Quintino Alcantara-7581.38
957535-Anind Zarco-20879.28
281725-Flor Portella-2618.10
824423-Clarindo Areosa-15050.25
95999-Jussara Varanda-1865.83
335440-Sofras Cuaresma-5527.80
735571-Leonidas Mafra-8861.03
252827-Estanislau Beserra-11151.53
773220-Melinda Roserio-16469.93
29876-Tibofarcio Camacho-17296.32
114623-Clarindo Areosa-16879.11
260653-Romo Paranage-4783.85
251361-Lina Andrade-1191.83
989206-Gaudancio Fiees-10610.07
570481-Sara Lameiras-5556.19
613989-Esperada Cardoso-5589.55
644374-Anfnia Seixas-3832.07
994033-Neeamia Arruda-909.76
711724-Regina Barcellos-3017.49
217588-Dulce Froes-11847.79
696180-Rebeca Neto-7594.10
828955-Manuel Capiperibe-11756.71
405789-Clara Alcantara-21409.22
792901-Leonidas Mafra-19264.28
721600-Tibefarcio Colao-785.14
716683-Mercia Caeira-1871.28
7873-Moaci Mendoa-20257.73
918534-Flor Portella-17562.83
465903-Filomena Barrios-21259.95
38836-Neeamia Arruda-11067.29
243767-Cassandra Varejo-10509.41
392098-Polibe Olivares-5692.87
408660-Trajano Fagundes-17496.93
124234-Neeamia Arruda-5590.02
846892-Danilo Olaio-6497.23
188985-Odilia Bello-609.56
485952-Flor Portella-14929.64
506070-Almerinda Palmeira-15368.83
502166-Sidfnio Frois-13078.65
247461-Judite Damasceno-3054.20
771830-Anfnia Seixas-2591.80
222602-Camila Gabeira-7095.72
344078-Neeamia Arruda-21349.81
420324-Celeste Duarte-3596.22
924193-Odilia Camello-7394.69
942519-Lina Andrade-16826.58
605643-Odilia Camello-16006.60
41587-Celeste Duarte-8766.82
277089-Odilia Bello-17491.85
23873-Antonio Castelo-2249.48
15880-Celeste Duarte-17837.20
949289-Quintiliano Sousa de Arronches-7424.59
169407-Fulvio Villegas-4243.19
598376-Guaraci Damasceno-8227.40
545449-Filomena Barrios-17166.64
215874-Oliveira Carmona-10371.23
326335-Antonio Castelo-11187.29
433760-Camila Gabeira-18397.70
423981-Flamednia Leiria-6615.64
795605-Domingos Pas-18575.88
587468-Zungela Ipiranga-921.20
559689-Nuno Balsemeo-7110.69
104366-Cleusa Goes-21362.38
662863-Henrique Bento-18223.53
326711-Celeste Duarte-3284.15
975505-Antonio Castelo-4516.31
798232-Urbano Rodrigues-1054.73
280843-Neeamia Arruda-7829.07
962113-Dulce Froes-18733.31
344208-Camila Gabeira-3896.43
158238-Silvio Mata-9322.31
725089-Filomena Barrios-16127.90
751012-Leonidas Mafra-9934.11
96436-Almor Caiado-12090.74
698039-Ximena Castilho-4719.17
963660-Micaela Chavez-16688.92
868524-Celeste Duarte-402.07
501920-Tarrataca Soares-14814.88
421789-Esperada Cardoso-4269.66
421572-Trajano Fagundes-7733.11
8791-Branco Saraba-5979.85
715677-Romo Paranage-16847.10
7871-Micaela Chavez-4809.78
54782-Lina Andrade-17060.74
454785-Camila Gabeira-18877.72
786034-Emiliana Foquio-5952.52
748051-Rodolfo Paz-10131.21
183524-Cleusa Goes-21126.23
526213-Rebeca Neto-14385.61
232804-Flamednia Leiria-17999.82
66197-Henrique Bento-7595.07
646566-Taercio Mafra-5567.39
17248-Judite Damasceno-19027.47
315314-Zulmira Becerra-4913.18
203626-Emiliana Foquio-2922.90
8897-Romo Paranage-16340.76
706631-Almerinda Palmeira-6733.40
127764-Taercio Mafra-18105.23
