266067-Trajano Fagundes-4756.94
446147-Letedcia Gago-7169.80
585559-Marilda Leio-5497.02
146329-Judite Damasceno-6153.46
828410-Danilo Olaio-10454.99
185789-Emedlia Silvera-2377.37
914459-Odete Vasques-11539.46
16295-Leonidas Mafra-18567.45
731809-Gaudancio Fiees-401.41
320542-Clara Alcantara-2411.29
381393-Eurico Siqueira-4903.95
862786-Spnia ou Sonia Guerreiro-14788.41
256095-Tibofarcio Camacho-7979.43
116910-Adelina Quadros-4636.05
91765-Delfina Perdigon-2519.50
495943-Leonidas Mafra-3841.36
798830-Heleedsa Marins-10200.50
718053-Jorgina Bogalho-12430.67
274363-Lina Andrade-7293.15
816610-Heleedsa Marins-3511.52
645232-Andreia Moita-8165.33
684324-Lina Andrade-1369.12
703763-Oliveira Senchez-12061.68
424855-Clarindo Areosa-12152.85
492055-Romo Paranage-7928.93
574136-Delfina Perdigon-3029.06
392894-Emedlio Pimentel-13797.05
674196-Telma Villalobos-19024.22
700249-Judite Damasceno-192.13
384061-Armanda Amorim-11180.30
680110-Augusta Paio-7521.92
887167-Andreia Moita-15448.76
935028-Tibofarcio Camacho-20655.80
441955-Estanislau Beserra-7165.21
554279-Joaquim Rufino-2605.29
616761-Lina Andrade-17431.03
331542-Honorina Lira-11070.13
96731-Urbano Rodrigues-16536.87
928621-Aludsio Sosa-9449.03
591727-Oliveira Carmona-11682.88
406591-Polibe Olivares-4174.84
754607-Judite Damasceno-13303.71
14912-Urbano Rodrigues-10908.22
959955-Trajano Fagundes-4967.81
706646-Ximena Castilho-118.51
346750-Telma Villalobos-20354.68
892563-Quintiliano Sousa de Arronches-5093.16
142914-Armanda Amorim-7484.13
848562-Guida Juca-18483.41
251166-Trajano Fagundes-2434.49
200040-Adelino Barra-5798.56
856768-Delfina Perdigon-15266.11
389323-Sidfnio Frois-10731.42
17819-Zungela Ipiranga-4256.18
167113-Trajano Fagundes-7993.25
361962-Adelina Quadros-8396.72
660152-Henrique Bento-8495.64
487281-Domingos Pas-612.23
517545-Sidfnio Frois-3770.72
451193-Moaci Mendoa-18163.23
672287-Estanislau Beserra-12020.40
893640-Odete Vasques-14338.96
486069-Mercia Caeira-19092.86
417306-Carminda Morais-3988.20
645657-Camila Gabeira-19139.87
209051-Carminda Morais-2728.65
756951-Dulce Froes-15135.25
620901-Anfnia Seixas-3005.29
413984-Henrique Bento-4350.47
548468-Antonio Viegas-7144.98
648786-Manuel Capiperibe-1596.86
605177-Domingos Pas-13355.80
688600-Oliveira Carmona-12775.82
913968-Ermelinda Quintela-10765.16
757587-Micaela Chavez-12291.62
442457-Jussara Varanda-17473.71
798976-Henrique Bento-3716.44
236059-Delfim Higuera-19062.65
380269-Heleedsa Marins-6571.95
112871-Basilio Pedroso-6202.60
168681-Odete Vasques-20389.09
296795-Moaci Mendoa-11980.31
804926-Emiliana Foquio-17717.19
631452-Lurdes Cotrim-5381.50
277841-Trajano Fagundes-704.23
427558-Delfina Garcia de Gondim-11678.66
442565-Artur Grillo-3751.81
983016-Judite Damasceno-6894.17
568895-Quintino Alcantara-243.14
201396-Oliveira Senchez-9044.27
331712-Leonidas Mafra-8511.12
148483-Camila Gabeira-10664.09
61701-Dulce Froes-8367.30
73788-Armanda Amorim-20713.61
602049-Elisa Themes-8741.56
808494-Marilda Leio-13065.83
385822-Neeamia Arruda-14940.26
123688-Emedlia Silvera-8025.25
126643-Clara Alcantara-16800.94
841373-Elisa Themes-2668.12
