137735-Guaraci Damasceno-1908.97
687006-Feledcia Peassego-8463.60
322263-Henrique Bento-14401.78
24414-Quintino Alcantara-18706.23
204968-Rodolfo Paz-4561.06
496172-Judite Damasceno-8621.82
742500-Quintiliano Sousa de Arronches-7407.05
928539-Joaquim Rufino-14095.48
821421-Taercio Mafra-20677.05
52994-Honorina Lira-3883.63
613207-Sara Lameiras-4005.00
144806-Quintino Alcantara-13891.87
441547-Trajano Fagundes-420.26
505549-Almerinda Palmeira-5780.50
340727-Angilica Galante-1597.72
364861-Tibofarcio Camacho-7432.68
16867-Carminda Morais-715.27
700296-Antonio Viegas-1774.55
338148-Melinda Roserio-17912.77
91042-Ubaldo Mainha-18383.30
997246-Lurdes Cotrim-13634.59
800181-Silvio Mata-2931.20
963259-Odilia Camello-2620.78
820804-Oliveira Senchez-15895.84
817458-Ximena Castilho-13554.41
920565-Flamednia Leiria-763.22
205756-Telma Villalobos-7623.39
711928-Quintiliano Sousa de Arronches-12970.39
282190-Ermelinda Quintela-3498.94
557654-Estanislau Beserra-16629.85
712001-Joaquim Rufino-4344.98
366615-Odete Vasques-11502.99
208501-Telma Villalobos-3617.78
76274-Antonio Castelo-16565.99
510701-Antonio Castelo-4629.33
716750-Odilia Bello-15318.53
190594-Adelina Quadros-14305.75
191084-Quintiliano Sousa de Arronches-8998.04
646761-Almor Caiado-13490.86
411750-Clarindo Areosa-5511.60
506341-Tarrataca Soares-10418.72
60093-Emedlio Pimentel-10742.39
250517-Guaraci Damasceno-20374.47
519159-Antonio Castelo-18260.40
371570-Ermelinda Quintela-10180.67
181181-Polibe Olivares-19207.83
829205-Polibe Olivares-9824.90
299806-Aludsio Sosa-4221.98
842335-Oliveira Senchez-4173.61
762238-Adelina Quadros-6117.73
183261-Quintino Alcantara-6962.79
102650-Cassandra Varejo-20343.39
836939-Artur Grillo-6241.06
349386-Emedlia Silvera-10226.25
977149-Leonidas Mafra-5245.13
537686-Sara Lameiras-4852.11
467915-Judite Damasceno-9810.40
973591-Anfnia Seixas-6268.56
799348-Quintino Alcantara-7196.98
227375-Henrique Bento-16094.61
298975-Antonio Castelo-6641.60
275205-Branco Saraba-4657.79
973625-Feledcia Peassego-171.32
151792-Polibe Olivares-18274.82
369627-Rodolfo Paz-11109.75
170537-Cassandra Varejo-4780.29
271272-Micaela Chavez-14604.97
378778-Carminda Morais-11939.87
167788-Letedcia Gago-5783.03
834118-Silvio Mata-9625.30
273168-Polibe Olivares-7503.46
991279-Neuza Francia-9836.21
81249-Joaquim Rufino-5891.11
760890-Oliveira Carmona-16042.63
582066-Ximena Castilho-15601.49
916347-Angilica Galante-14748.35
977620-Sidfnio Frois-11216.23
78737-Jorgina Bogalho-14830.02
35856-Celeste Duarte-8336.86
207666-Branco Saraba-17385.20
840052-Spnia ou Sonia Guerreiro-5143.10
148980-Augusta Paio-48.17
237100-Neeamia Arruda-968.99
457704-Moaci Mendoa-14146.59
160178-Tibofarcio Camacho-6857.58
870728-Leonidas Mafra-5821.91
94335-Heleedsa Marins-15891.68
331620-Moaci Mendoa-3927.63
72525-Polibe Olivares-19147.99
116398-Aludsio Sosa-4325.23
690615-Adelina Quadros-18503.63
126855-Delfina Garcia de Gondim-3900.29
183970-Andreia Moita-8122.66
868291-Cleusa Goes-9867.23
815258-Anfnia Seixas-5934.00
427201-Taercio Mafra-7432.71
391011-Henrique Bento-19143.65
977960-Flor Portella-12722.13
83179-Gaudancio Fiees-108.02
874455-Artur Grillo-8559.18
