793724-Flamednia Leiria-20949.46
843544-Almerinda Palmeira-12745.09
189929-Tibefarcio Colao-14580.45
222696-Zungela Ipiranga-2015.23
515107-Tarrataca Soares-11242.08
416348-Odilia Camello-12741.04
222256-Oliveira Carmona-20971.11
440330-Basilio Pedroso-12120.30
137615-Sofras Cuaresma-6447.39
998841-Zungela Ipiranga-5426.00
364673-Eurico Siqueira-10263.94
562016-Eurico Siqueira-14172.37
591270-Telma Villalobos-3079.44
478462-Sara Lameiras-5471.66
866461-Taercio Mafra-6286.81
943250-Emedlio Pimentel-15420.98
97076-Elisa Themes-16113.20
73550-Angilica Galante-17237.60
510218-Letedcia Gago-3704.14
130704-Ximena Castilho-14304.13
13155-Armindo Castalo-20537.78
841395-Odilia Camello-19158.56
695288-Manuel Capiperibe-1719.64
110930-Guaraci Damasceno-6534.42
532913-Estanislau Beserra-14383.09
195959-Edgar Carvalheiro-12077.68
447095-Regina Barcellos-2083.82
841680-Liana Cardim-20814.55
783040-Judite Damasceno-13524.82
946797-Telma Villalobos-7901.29
227046-Honorina Lira-10551.42
417511-Regina Barcellos-20949.84
845384-Rebeca Neto-8891.95
216946-Tibefarcio Colao-10433.06
754893-Artur Grillo-6113.55
490685-Tibofarcio Camacho-7175.51
840669-Flor Portella-4885.15
510749-Zungela Ipiranga-20213.57
457609-Daniel Vieyra-856.56
818863-Judite Damasceno-17686.03
109705-Estanislau Beserra-11703.46
694808-Odete Vasques-14647.64
652540-Flamednia Leiria-19216.09
57819-Trajano Fagundes-7013.42
421811-Lina Andrade-4986.14
610977-Emiliana Foquio-19421.04
84921-Jussara Varanda-1314.61
424365-Anind Zarco-9729.72
735565-Almerinda Palmeira-18954.30
45090-Fulvio Villegas-11217.65
999996-Emiliana Foquio-823.91
97087-Spnia ou Sonia Guerreiro-8310.86
694110-Daniel Vieyra-9887.38
486353-Anfnia Seixas-7273.12
101098-Telma Villalobos-7002.51
71258-Letedcia Gago-1983.78
592792-Tibefarcio Colao-4294.63
145499-Quintiliano Sousa de Arronches-16018.87
54708-Clarindo Areosa-15021.39
136162-Edgar Carvalheiro-14827.01
820307-Zulmira Becerra-1862.17
366893-Cleusa Goes-8153.14
193433-Esperada Cardoso-11700.08
145310-Oliveira Senchez-21394.94
923119-Clarindo Areosa-4721.12
347161-Adelino Barra-10741.83
875418-Zungela Ipiranga-3682.92
864911-Augusta Paio-9904.38
826388-Guida Juca-6670.09
250164-Odete Vasques-16311.45
922396-Flamednia Leiria-13564.82
501847-Judite Damasceno-10133.65
683323-Clarindo Areosa-20665.58
603014-Zulmira Becerra-21427.04
835089-Cleusa Goes-19431.43
317713-Jonatas Felgueiras-19664.90
694566-Edgar Carvalheiro-20073.66
534217-Lina Andrade-497.47
261033-Urbano Rodrigues-13615.73
643281-Gaudancio Fiees-13958.24
242405-Almor Caiado-12742.62
58400-Leonidas Mafra-10792.80
704706-Fulvio Villegas-16419.64
842729-Flamednia Leiria-18035.67
507880-Antonio Castelo-1439.18
801256-Feledcia Peassego-16582.36
761412-Telma Villalobos-1024.47
530196-Heleedsa Marins-2009.81
736757-Ximena Castilho-14082.42
468505-Lurdes Cotrim-9314.02
345252-Oliveira Carmona-2531.61
220007-Elisa Themes-17072.19
976017-Neuza Francia-18139.24
290363-Branco Saraba-17432.83
824706-Jonatas Felgueiras-14873.07
534869-Liana Cardim-15181.08
735311-Delfina Perdigon-7623.86
817801-Basilio Pedroso-17359.16
647250-Emedlio Pimentel-11341.69
566400-Feledcia Peassego-17716.38
