479534-Jorgina Bogalho-70.17
76694-Letedcia Gago-9776.12
209293-Romo Paranage-14874.84
715078-Clara Alcantara-13762.51
982141-Emedlio Pimentel-1009.77
445020-Eurico Siqueira-2152.61
554661-Andreia Moita-6298.92
320000-Odete Vasques-944.03
575957-Ermelinda Quintela-2890.12
723623-Liana Cardim-5469.17
870351-Ermelinda Quintela-21303.96
191256-Adelina Quadros-7369.89
597714-Trajano Fagundes-6277.15
269148-Anfnia Seixas-8564.30
830170-Telma Villalobos-3509.29
768158-Honorina Lira-4973.74
787898-Gaudancio Fiees-5619.28
692256-Oliveira Carmona-8492.48
163227-Delfim Higuera-9018.24
342716-Augusta Paio-3900.64
275576-Tarrataca Soares-3864.51
225213-Antonio Viegas-10016.42
303666-Clarindo Areosa-9157.56
866459-Augusta Paio-13710.25
196720-Adelina Quadros-9033.72
504362-Letedcia Gago-17481.40
73013-Clarindo Areosa-7864.44
533159-Tarrataca Soares-8661.37
396133-Melinda Roserio-20773.00
787313-Marilda Leio-10721.59
95280-Melinda Roserio-2109.51
799570-Oliveira Carmona-16481.76
9580-Zulmira Becerra-20664.80
450955-Clara Alcantara-8058.62
806070-Basilio Pedroso-13900.59
606122-Celeste Duarte-17725.64
296131-Cleusa Goes-211.53
398054-Emedlia Silvera-10606.86
264595-Odilia Camello-6905.99
955360-Delfina Garcia de Gondim-13473.86
710323-Antonio Castelo-14304.81
432539-Lina Andrade-9227.97
796914-Oliveira Carmona-5613.23
433864-Guida Juca-9737.74
96187-Ubaldo Mainha-8690.96
130403-Aludsio Sosa-5982.19
337376-Danilo Olaio-6585.15
472300-Anind Zarco-16119.13
260135-Delfina Garcia de Gondim-126.94
380461-Anind Zarco-10576.49
143289-Celeste Duarte-8418.76
373253-Aludsio Sosa-18993.09
779213-Odete Vasques-9366.22
697539-Filomena Barrios-10170.56
961988-Emedlia Silvera-13641.52
318335-Judite Damasceno-7337.99
238239-Jorgina Bogalho-8741.36
311065-Liana Cardim-4241.25
586326-Lina Andrade-2499.01
460154-Celeste Duarte-2812.82
236214-Anfnia Seixas-15904.25
493436-Emedlio Pimentel-933.15
64092-Quintino Alcantara-17330.94
957764-Sidfnio Frois-21337.91
141758-Delfina Perdigon-21012.70
422145-Quintiliano Sousa de Arronches-8781.04
921399-Judite Damasceno-2368.59
452005-Edgar Carvalheiro-1986.86
895664-Ximena Castilho-18242.73
33324-Clarindo Areosa-15092.49
336697-Telma Villalobos-6010.02
516106-Antonio Castelo-5300.11
520442-Urbano Rodrigues-715.92
662972-Celeste Duarte-19345.50
861208-Silvio Mata-6502.08
211337-Silvio Mata-13826.30
876467-Quintiliano Sousa de Arronches-4350.68
677621-Silvio Mata-6135.20
119805-Odilia Bello-13824.15
463154-Micaela Chavez-6069.65
571777-Odilia Bello-14923.02
138020-Carminda Morais-5853.34
18783-Leonidas Mafra-19328.55
993279-Manuel Capiperibe-290.34
275401-Delfim Higuera-1858.95
859839-Silvio Mata-16201.07
32226-Guida Juca-7704.99
579855-Marilda Leio-6586.93
813793-Taercio Mafra-17088.13
836718-Heleedsa Marins-20232.76
625135-Jorgina Bogalho-18833.64
898907-Marilda Leio-7320.19
700526-Mercia Caeira-8100.38
94084-Flor Portella-17030.31
553698-Domingos Pas-12498.23
737478-Andreia Moita-15516.82
551216-Guaraci Damasceno-13392.31
432664-Manuel Capiperibe-8493.27
833827-Emedlia Silvera-2806.57
166721-Marilda Leio-14574.94
