782124-Dulce Froes-12983.04
156436-Sara Lameiras-10462.46
285994-Guaraci Damasceno-15029.66
968405-Fulvio Villegas-10138.34
607872-Angilica Galante-19989.41
463894-Rebeca Neto-5279.89
192047-Cleusa Goes-18673.40
206106-Jorgina Bogalho-12466.67
625673-Filomena Barrios-19012.70
914668-Sofras Cuaresma-20798.44
316271-Jussara Varanda-12771.42
812002-Quintiliano Sousa de Arronches-20342.99
241537-Odilia Camello-16851.01
78084-Branco Saraba-19380.69
512129-Neeamia Arruda-13571.94
746488-Almor Caiado-6231.74
109867-Adelina Quadros-17893.66
436043-Delfim Higuera-9440.88
425597-Lina Andrade-20737.14
422439-Camila Gabeira-761.45
935524-Adelino Barra-2834.61
268779-Odilia Bello-13742.73
364208-Tarrataca Soares-18015.15
941434-Antonio Castelo-12601.09
836451-Leonidas Mafra-11941.38
705472-Zungela Ipiranga-10284.01
563175-Estanislau Beserra-9440.27
277327-Silvio Mata-10914.63
657954-Leonidas Mafra-12428.88
340766-Zulmira Becerra-17733.11
867285-Antonio Viegas-13757.63
52338-Oliveira Senchez-13485.48
52362-Quintino Alcantara-5904.28
669703-Micaela Chavez-6043.70
356414-Sofras Cuaresma-2567.23
753072-Taercio Mafra-15464.28
839923-Oliveira Senchez-7065.08
292663-Guaraci Damasceno-17517.85
350101-Neuza Francia-16339.59
121559-Delfina Garcia de Gondim-1068.16
554409-Armanda Amorim-13976.84
448571-Rebeca Neto-3412.52
132399-Judite Damasceno-11193.05
331077-Basilio Pedroso-11219.75
155394-Delfina Perdigon-1398.47
117479-Artur Grillo-16776.00
996526-Rebeca Neto-20634.40
418753-Odilia Bello-9392.49
303852-Carminda Morais-13965.99
77420-Sidfnio Frois-12142.37
678248-Spnia ou Sonia Guerreiro-4683.08
558212-Delfim Higuera-15897.57
502443-Romo Paranage-16578.89
875149-Spnia ou Sonia Guerreiro-3267.36
617765-Liana Cardim-10038.92
83094-Jonatas Felgueiras-5885.26
492961-Polibe Olivares-1090.39
926892-Antonio Castelo-5094.57
145864-Ubaldo Mainha-7337.61
840535-Filomena Barrios-20248.38
351672-Zulmira Becerra-18610.33
546559-Quintino Alcantara-16181.08
510238-Andreia Moita-4971.27
778720-Armindo Castalo-12360.02
538060-Marilda Leio-1441.36
144671-Fulvio Villegas-17732.19
351627-Aludsio Sosa-12272.28
31555-Neeamia Arruda-13601.55
960766-Elisa Themes-17763.01
5713-Nuno Balsemeo-19621.42
287955-Angelica Aranha-20244.93
394606-Angilica Galante-12135.56
257884-Henrique Bento-20180.66
526542-Flamednia Leiria-12623.61
531655-Judite Damasceno-684.16
428619-Antonio Castelo-7235.60
367616-Rodolfo Paz-6104.28
345172-Tibofarcio Camacho-17924.60
780041-Camila Gabeira-9139.37
492427-Rodolfo Paz-15189.43
43397-Augusta Paio-5267.47
660255-Lurdes Cotrim-5531.42
384862-Fulvio Villegas-10404.00
236013-Heleedsa Marins-14989.26
605208-Moaci Mendoa-1079.74
110214-Angelica Aranha-189.19
350477-Odilia Camello-18202.87
818958-Guida Juca-13261.48
958902-Telma Villalobos-11934.45
916172-Ximena Castilho-84.53
531305-Liana Cardim-19434.97
639621-Delfina Garcia de Gondim-2696.74
820382-Elisa Themes-9000.58
100179-Regina Barcellos-368.11
225028-Romo Paranage-10634.16
282046-Jonatas Felgueiras-19765.26
899552-Fulvio Villegas-2543.93
461878-Antonio Castelo-14192.12
484226-Odete Vasques-3886.87
960068-Letedcia Gago-10866.03
