635665-Antonio Viegas-1464.69
277322-Sidfnio Frois-12482.06
753050-Domingos Pas-7188.19
874209-Artur Grillo-18253.42
774843-Rebeca Neto-11505.73
693352-Leonidas Mafra-4941.68
44539-Romo Paranage-18699.26
915001-Henrique Bento-3945.36
320515-Guida Juca-3307.20
500264-Gaudancio Fiees-17225.56
270387-Antonio Castelo-9677.08
967597-Delfina Perdigon-10389.86
935634-Sidfnio Frois-3252.55
990716-Almerinda Palmeira-696.46
798831-Antonio Castelo-229.37
802862-Nuno Balsemeo-1746.30
542572-Jorgina Bogalho-7596.75
295054-Clarindo Areosa-8295.90
814305-Anfnia Seixas-2974.27
917305-Angilica Galante-19499.27
612903-Nuno Balsemeo-15517.14
261315-Jussara Varanda-11721.97
631644-Taercio Mafra-3406.50
337780-Filomena Barrios-7046.40
385782-Silvio Mata-5459.55
522746-Romo Paranage-19087.58
827216-Branco Saraba-9858.17
574421-Judite Damasceno-5776.29
857344-Antonio Viegas-5599.59
860554-Domingos Pas-2493.93
936461-Esperada Cardoso-8730.06
237084-Guaraci Damasceno-4297.83
523391-Telma Villalobos-1679.32
64786-Heleedsa Marins-8062.69
251828-Flor Portella-20226.55
375714-Guida Juca-6726.94
129796-Delfina Perdigon-15455.21
74966-Micaela Chavez-686.12
609872-Letedcia Gago-9314.70
571383-Liana Cardim-1698.46
976113-Armanda Amorim-16537.83
610803-Edgar Carvalheiro-20560.20
443050-Guida Juca-2680.60
441192-Ximena Castilho-9101.25
79594-Delfina Perdigon-19043.76
673438-Angelica Aranha-11262.68
541938-Joaquim Rufino-8979.15
227668-Camila Gabeira-19789.89
58385-Delfina Perdigon-9041.16
848394-Gaudancio Fiees-1182.03
31353-Quintiliano Sousa de Arronches-15711.79
220165-Tibofarcio Camacho-3723.07
708849-Ximena Castilho-19887.50
612698-Tarrataca Soares-3187.07
302195-Manuel Capiperibe-3617.87
679476-Adelino Barra-5164.60
234583-Emedlio Pimentel-5440.02
827435-Telma Villalobos-14302.30
32453-Neuza Francia-16052.88
223335-Delfina Perdigon-16291.37
744281-Almor Caiado-17511.68
80810-Sofras Cuaresma-6969.05
437302-Moaci Mendoa-10436.13
853499-Flamednia Leiria-8117.43
910541-Manuel Capiperibe-8075.61
860255-Carminda Morais-9062.41
594708-Artur Grillo-17804.75
727344-Domingos Pas-6808.19
882186-Domingos Pas-19708.51
152754-Odilia Camello-1395.91
626783-Clara Alcantara-17993.35
796739-Tabalipa Duarte-139.32
273424-Honorina Lira-11343.70
16242-Micaela Chavez-11337.40
466385-Quintino Alcantara-9221.67
703447-Augusta Paio-2565.43
917218-Tabalipa Duarte-2631.38
133285-Ubaldo Mainha-18398.65
579315-Anind Zarco-5232.64
830045-Jonatas Felgueiras-15124.17
733871-Esperada Cardoso-6305.60
322145-Domingos Pas-15963.56
815033-Polibe Olivares-4871.46
437736-Celeste Duarte-14391.62
802953-Armanda Amorim-4761.45
729231-Letedcia Gago-1073.65
412399-Antonio Castelo-8492.82
570687-Lurdes Cotrim-10984.16
64234-Ximena Castilho-1375.11
925495-Eurico Siqueira-17193.41
377803-Mercia Caeira-10305.91
165441-Sidfnio Frois-19699.13
401923-Danilo Olaio-9392.45
8199-Marilda Leio-11296.83
870473-Sofras Cuaresma-12054.86
899285-Angelica Aranha-19742.15
987594-Gaudancio Fiees-471.44
697405-Clarindo Areosa-14997.14
788766-Augusta Paio-5702.95
660216-Andreia Moita-13772.20
