508219-Daniel Vieyra-11090.98
916390-Zulmira Becerra-4319.29
593274-Adelina Quadros-20487.29
616676-Quintiliano Sousa de Arronches-9781.66
757172-Romo Paranage-20010.89
323758-Cleusa Goes-17895.78
904592-Silvio Mata-3854.17
177358-Moaci Mendoa-20265.12
194815-Emedlio Pimentel-3500.33
139351-Flor Portella-936.02
357016-Tabalipa Duarte-12931.10
481541-Cassandra Varejo-13440.26
313791-Taercio Mafra-15386.20
584443-Zungela Ipiranga-6007.53
299220-Armanda Amorim-3050.26
110655-Tibofarcio Camacho-15393.50
321579-Angelica Aranha-18032.54
950617-Anfnia Seixas-1129.48
742584-Flor Portella-10381.43
860420-Domingos Pas-7017.99
58165-Emedlia Silvera-7491.56
870205-Sara Lameiras-6461.54
610777-Angelica Aranha-14724.67
79771-Aludsio Sosa-18100.52
747223-Delfim Higuera-8348.67
504135-Liana Cardim-17279.78
354978-Sidfnio Frois-10348.16
622784-Moaci Mendoa-15197.67
918594-Melinda Roserio-5550.26
247438-Branco Saraba-18688.86
694320-Emiliana Foquio-12594.60
251107-Flor Portella-19833.31
834191-Ximena Castilho-1774.58
553197-Trajano Fagundes-380.54
541153-Antonio Viegas-3958.01
555232-Elisa Themes-11043.05
919192-Emedlio Pimentel-18056.60
53976-Anind Zarco-7377.99
653294-Melinda Roserio-20747.18
879259-Tibefarcio Colao-18714.82
936628-Esperada Cardoso-2216.92
633363-Tarrataca Soares-5659.44
59-Branco Saraba-21007.78
834157-Neeamia Arruda-20698.47
752802-Flor Portella-10739.05
22512-Angelica Aranha-15654.60
302998-Ubaldo Mainha-7888.96
399486-Odilia Bello-5474.66
262594-Flamednia Leiria-9541.19
667610-Aludsio Sosa-8995.15
474954-Sofras Cuaresma-10854.52
742792-Odilia Camello-1136.01
374033-Andreia Moita-7776.01
946751-Sofras Cuaresma-2549.52
89772-Carminda Morais-3557.05
517617-Esperada Cardoso-19147.27
767123-Adelina Quadros-2175.46
193270-Estanislau Beserra-5939.46
935194-Odilia Bello-2687.25
395137-Neuza Francia-19443.92
853241-Eurico Siqueira-10473.84
3826-Delfina Garcia de Gondim-9846.43
614352-Delfim Higuera-15920.17
2657-Sara Lameiras-8994.80
270994-Feledcia Peassego-10925.70
444166-Melinda Roserio-4196.04
77404-Sofras Cuaresma-21323.71
122604-Tibefarcio Colao-15940.80
150095-Fulvio Villegas-16900.16
780467-Lina Andrade-1999.27
442035-Romo Paranage-11427.80
71428-Urbano Rodrigues-4453.01
302008-Ubaldo Mainha-8209.15
133835-Gaudancio Fiees-754.34
917418-Celeste Duarte-2787.05
405559-Armindo Castalo-3571.49
653476-Regina Barcellos-18762.27
931461-Nuno Balsemeo-13298.65
671706-Almor Caiado-14130.16
620451-Quintiliano Sousa de Arronches-9323.12
994364-Eurico Siqueira-7872.71
752046-Romo Paranage-20633.42
668994-Delfina Garcia de Gondim-5791.61
602889-Dulce Froes-14072.94
533187-Delfina Perdigon-5077.28
33308-Tibefarcio Colao-3836.50
653573-Armanda Amorim-8023.04
644754-Tabalipa Duarte-19812.35
232824-Angilica Galante-2194.23
352979-Zulmira Becerra-805.60
400356-Daniel Vieyra-13615.54
744549-Dulce Froes-8148.23
389383-Gaudancio Fiees-15724.92
949212-Guaraci Damasceno-9316.11
943043-Mercia Caeira-19391.44
158224-Zulmira Becerra-13926.94
6217-Letedcia Gago-18593.47
113481-Quintiliano Sousa de Arronches-11765.08
86269-Aludsio Sosa-9382.58
74676-Emiliana Foquio-6871.27
