110691-Filomena Barrios-12444.68
175962-Jonatas Felgueiras-12572.23
843579-Fulvio Villegas-24.31
137309-Flor Portella-12727.61
888782-Mercia Caeira-10051.31
418679-Clarindo Areosa-1029.65
467421-Oliveira Senchez-1405.94
801271-Marilda Leio-3894.01
830169-Celeste Duarte-11315.04
571416-Tibofarcio Camacho-8427.92
762745-Silvio Mata-15579.02
627339-Oliveira Senchez-18420.79
387495-Sofras Cuaresma-6604.38
367941-Odilia Bello-13615.76
475937-Tarrataca Soares-15544.65
234204-Sofras Cuaresma-7064.00
66579-Manuel Capiperibe-10988.67
327054-Odilia Camello-4351.85
565369-Urbano Rodrigues-4780.15
705990-Armanda Amorim-12235.86
609481-Odete Vasques-10298.65
980668-Trajano Fagundes-21044.93
607195-Taercio Mafra-13063.96
148580-Jonatas Felgueiras-10812.81
967304-Guida Juca-14427.57
916694-Cleusa Goes-13365.07
830579-Neeamia Arruda-13505.74
855193-Ermelinda Quintela-10404.17
764467-Oliveira Senchez-16719.83
693963-Rodolfo Paz-1842.05
931627-Sidfnio Frois-9178.14
71798-Delfim Higuera-8223.11
806791-Moaci Mendoa-11549.19
980185-Heleedsa Marins-19180.67
245641-Camila Gabeira-895.51
491942-Urbano Rodrigues-9694.67
137766-Jorgina Bogalho-3658.15
166887-Melinda Roserio-5666.70
864224-Ximena Castilho-19614.34
92651-Celeste Duarte-13866.44
423584-Danilo Olaio-18325.76
619769-Almor Caiado-5621.64
824896-Clarindo Areosa-15649.71
942814-Oliveira Senchez-12064.68
341464-Edgar Carvalheiro-8482.30
13134-Emedlia Silvera-20447.21
192030-Camila Gabeira-12073.76
461083-Taercio Mafra-15825.42
663700-Tarrataca Soares-14579.23
848897-Zungela Ipiranga-13115.32
239018-Sidfnio Frois-2194.72
959896-Odete Vasques-13590.92
992199-Zulmira Becerra-3924.33
459474-Augusta Paio-7733.76
510302-Odilia Camello-14357.17
595634-Daniel Vieyra-16747.30
181222-Ubaldo Mainha-6794.39
64940-Joaquim Rufino-19479.00
618334-Elisa Themes-780.80
638575-Nuno Balsemeo-10369.29
303274-Tibefarcio Colao-7136.84
60410-Emiliana Foquio-261.60
981781-Odilia Camello-19441.53
390532-Delfim Higuera-11801.29
783199-Urbano Rodrigues-17996.39
405424-Adelina Quadros-17447.51
265501-Emedlia Silvera-19849.32
501196-Andreia Moita-7385.13
795748-Oliveira Senchez-7196.48
529733-Filomena Barrios-17422.87
312156-Edgar Carvalheiro-8981.06
50248-Carminda Morais-196.83
396482-Letedcia Gago-18166.65
692108-Neeamia Arruda-14115.72
363587-Emedlio Pimentel-108.71
752383-Tarrataca Soares-6102.77
387984-Melinda Roserio-9595.42
978771-Rebeca Neto-1185.60
469476-Regina Barcellos-18173.55
556503-Anind Zarco-10714.01
572397-Manuel Capiperibe-13397.14
272530-Danilo Olaio-6942.80
133149-Clarindo Areosa-4941.93
662806-Jorgina Bogalho-11318.85
837327-Elisa Themes-12332.49
167015-Telma Villalobos-865.18
247504-Ubaldo Mainha-15139.06
776368-Heleedsa Marins-18998.84
334899-Almerinda Palmeira-10448.70
541431-Tarrataca Soares-11744.27
550891-Sidfnio Frois-11779.99
666553-Delfim Higuera-17692.71
465179-Letedcia Gago-8269.21
444903-Filomena Barrios-2951.00
512608-Mercia Caeira-13539.38
451493-Oliveira Senchez-15081.05
666983-Mercia Caeira-3548.68
424579-Romo Paranage-20266.45
258180-Daniel Vieyra-8194.96
447182-Carminda Morais-17480.37
