436387-Ubaldo Mainha-14699.45
881451-Heleedsa Marins-7326.03
193464-Odilia Camello-19803.45
25767-Jussara Varanda-13599.46
336727-Flamednia Leiria-2736.97
408804-Daniel Vieyra-10823.15
739285-Domingos Pas-15866.30
23208-Ubaldo Mainha-1717.30
408547-Urbano Rodrigues-9684.94
846654-Armindo Castalo-9446.43
538885-Spnia ou Sonia Guerreiro-20770.79
466332-Jorgina Bogalho-1244.77
697033-Emiliana Foquio-12976.71
903606-Tarrataca Soares-862.13
450461-Rodolfo Paz-19415.49
611656-Marilda Leio-1584.75
916234-Anind Zarco-1822.14
895164-Antonio Castelo-9052.37
450411-Elisa Themes-15926.46
773007-Basilio Pedroso-5200.09
744520-Silvio Mata-4570.64
177008-Anind Zarco-18515.30
212761-Ubaldo Mainha-3917.44
625847-Adelina Quadros-11086.47
985189-Sofras Cuaresma-2016.14
41170-Oliveira Senchez-11502.26
412033-Adelino Barra-13961.42
445593-Sidfnio Frois-5515.53
693004-Moaci Mendoa-6320.04
950389-Almerinda Palmeira-9237.77
850705-Oliveira Senchez-20405.21
863043-Edgar Carvalheiro-11572.15
836152-Clara Alcantara-11539.44
996199-Nuno Balsemeo-18635.70
368951-Rebeca Neto-3510.71
807489-Fulvio Villegas-11851.12
720616-Urbano Rodrigues-11530.41
847617-Armanda Amorim-18414.86
211702-Tibofarcio Camacho-12746.96
737768-Daniel Vieyra-4211.62
788823-Edgar Carvalheiro-2255.30
903750-Guaraci Damasceno-6173.93
548883-Delfina Garcia de Gondim-17212.29
453957-Jonatas Felgueiras-5397.41
6228-Odilia Camello-14541.10
172507-Armanda Amorim-21109.18
80804-Sidfnio Frois-5211.55
647353-Adelino Barra-11620.02
250965-Oliveira Carmona-6437.30
374756-Emedlio Pimentel-5589.84
791733-Jussara Varanda-14277.73
730066-Branco Saraba-15596.77
399465-Sidfnio Frois-6587.42
529045-Heleedsa Marins-12641.96
228301-Camila Gabeira-1897.19
515126-Polibe Olivares-19318.91
914338-Henrique Bento-11984.88
354322-Taercio Mafra-15331.36
313375-Estanislau Beserra-13399.03
968149-Andreia Moita-12507.94
785385-Gaudancio Fiees-421.02
648492-Esperada Cardoso-19018.32
387810-Armanda Amorim-15447.48
388546-Urbano Rodrigues-1247.94
130547-Anind Zarco-16530.22
982766-Delfina Garcia de Gondim-380.53
269042-Jonatas Felgueiras-7599.68
226345-Ermelinda Quintela-6768.38
185939-Sara Lameiras-16301.52
392230-Tarrataca Soares-5996.36
66636-Delfina Garcia de Gondim-1539.38
547034-Silvio Mata-5185.87
704472-Lurdes Cotrim-1634.91
604185-Rodolfo Paz-8098.79
216481-Almor Caiado-8500.10
547590-Aludsio Sosa-17379.93
286370-Ubaldo Mainha-12897.78
29978-Anind Zarco-265.21
909415-Heleedsa Marins-12577.07
208350-Eurico Siqueira-13320.99
301539-Neuza Francia-8086.82
13419-Tabalipa Duarte-11152.29
557705-Clarindo Areosa-16639.33
366566-Honorina Lira-9660.54
485400-Delfim Higuera-2857.87
626155-Celeste Duarte-19603.34
303959-Antonio Viegas-14791.37
982206-Flamednia Leiria-406.83
982515-Basilio Pedroso-13255.93
167316-Odete Vasques-2313.17
472056-Manuel Capiperibe-1561.35
231176-Estanislau Beserra-11421.49
576817-Tarrataca Soares-7962.23
413140-Cleusa Goes-6631.06
645043-Trajano Fagundes-8675.91
370371-Almor Caiado-9152.17
120944-Emedlio Pimentel-8440.38
649454-Gaudancio Fiees-14140.20
698598-Odilia Bello-11545.19
970666-Honorina Lira-16956.86
