356311-Quintino Alcantara-8337.81
304969-Basilio Pedroso-5342.30
787514-Danilo Olaio-5421.40
475958-Odete Vasques-13984.33
263935-Jorgina Bogalho-10394.05
244830-Urbano Rodrigues-9528.18
675769-Rebeca Neto-19120.95
130877-Danilo Olaio-6786.81
522464-Nuno Balsemeo-11052.27
736023-Cleusa Goes-7279.80
357085-Gaudancio Fiees-15483.37
569063-Armindo Castalo-4421.58
262131-Anind Zarco-10859.46
965209-Angelica Aranha-979.38
741932-Rodolfo Paz-9082.02
758686-Manuel Capiperibe-20534.47
393234-Adelina Quadros-14426.39
31313-Honorina Lira-17337.70
731140-Quintino Alcantara-568.09
641710-Guaraci Damasceno-290.61
907786-Regina Barcellos-9594.18
470885-Rodolfo Paz-8305.03
747198-Ximena Castilho-2102.82
680358-Clarindo Areosa-13742.47
46764-Emedlio Pimentel-15419.89
334897-Regina Barcellos-12852.64
957612-Trajano Fagundes-16246.57
675512-Emedlia Silvera-7132.05
74063-Feledcia Peassego-824.52
732094-Clara Alcantara-20320.94
854241-Eurico Siqueira-16185.18
829521-Celeste Duarte-18229.89
479255-Sofras Cuaresma-10322.53
558252-Antonio Viegas-19359.33
91527-Neuza Francia-16374.96
343015-Antonio Castelo-11763.47
41196-Feledcia Peassego-15053.05
894541-Sofras Cuaresma-2414.97
33929-Cassandra Varejo-2110.87
465470-Camila Gabeira-3718.19
474245-Jussara Varanda-14516.74
900985-Polibe Olivares-7040.20
347459-Urbano Rodrigues-7184.99
75796-Danilo Olaio-4335.73
51207-Odilia Bello-20946.65
531975-Neuza Francia-1675.24
793138-Cleusa Goes-10005.66
711580-Fulvio Villegas-17414.60
351317-Rodolfo Paz-19764.94
443489-Marilda Leio-17624.76
146160-Emiliana Foquio-11284.66
367115-Dulce Froes-10338.84
609943-Dulce Froes-1617.48
105491-Emedlia Silvera-8698.23
534117-Camila Gabeira-2373.91
491642-Branco Saraba-19539.23
796610-Marilda Leio-8622.32
922987-Honorina Lira-7344.60
546284-Basilio Pedroso-1363.28
740565-Jonatas Felgueiras-12977.71
786980-Tibefarcio Colao-19559.18
990714-Artur Grillo-15818.01
246698-Guaraci Damasceno-19984.11
485129-Delfina Perdigon-20905.16
813317-Branco Saraba-16465.67
806435-Elisa Themes-1565.75
840204-Spnia ou Sonia Guerreiro-9443.72
439468-Daniel Vieyra-12202.95
15119-Regina Barcellos-12258.41
601088-Cleusa Goes-11720.98
179196-Rodolfo Paz-14308.85
223688-Aludsio Sosa-13063.92
668255-Odete Vasques-15026.38
860354-Domingos Pas-5906.40
875783-Angelica Aranha-11514.53
798453-Delfina Garcia de Gondim-9847.76
643986-Anind Zarco-2581.33
721873-Delfina Garcia de Gondim-21195.72
292750-Rebeca Neto-18681.04
675230-Adelina Quadros-14802.21
829154-Guida Juca-5709.17
933387-Augusta Paio-2686.57
838692-Regina Barcellos-16073.25
671363-Oliveira Senchez-4537.02
53245-Silvio Mata-19725.77
2103-Ermelinda Quintela-21063.76
525931-Trajano Fagundes-6615.36
421340-Neuza Francia-6477.74
127668-Augusta Paio-6520.67
191199-Almerinda Palmeira-8107.42
352499-Sofras Cuaresma-2740.88
914900-Anfnia Seixas-9980.21
869115-Estanislau Beserra-2693.76
494548-Cleusa Goes-865.64
243623-Fulvio Villegas-3926.17
962361-Camila Gabeira-6866.19
457199-Quintino Alcantara-11251.45
601044-Manuel Capiperibe-5050.83
833364-Heleedsa Marins-467.27
169280-Armindo Castalo-9759.18
242582-Sidfnio Frois-1697.87
232468-Ubaldo Mainha-12067.02
395329-Ximena Castilho-10980.87
883068-Augusta Paio-13465.82
588745-Rebeca Neto-3953.42
871790-Gaudancio Fiees-15433.04
47008-Urbano Rodrigues-14802.78
274738-Spnia ou Sonia Guerreiro-4643.95
276853-Ximena Castilho-6152.29
346102-Liana Cardim-16533.98
674067-Celeste Duarte-7641.57
89904-Romo Paranage-6659.06
526999-Marilda Leio-16273.01
340396-Eurico Siqueira-9607.00
234164-Flor Portella-12672.89
228843-Leonidas Mafra-2246.77
359241-Oliveira Carmona-20867.24
151289-Emedlia Silvera-10725.15
509976-Armanda Amorim-21247.92
112026-Branco Saraba-16006.55
632285-Anind Zarco-3108.45
939606-Neuza Francia-6769.35
465241-Anind Zarco-15494.62
78304-Branco Saraba-10503.19
789697-Clarindo Areosa-14135.53
843041-Carminda Morais-8842.98
717051-Polibe Olivares-1491.74
385278-Odete Vasques-3333.25
932413-Odete Vasques-19418.35
224525-Daniel Vieyra-7264.63
430894-Gaudancio Fiees-19580.96
794102-Cleusa Goes-15115.52
579322-Guida Juca-5935.33
665531-Odilia Camello-3021.28
968500-Antonio Viegas-19839.18
560624-Taercio Mafra-17392.77
830043-Carminda Morais-11115.10
856471-Emiliana Foquio-15808.96
881942-Quintiliano Sousa de Arronches-14643.44
732365-Gaudancio Fiees-13770.85
753842-Joaquim Rufino-8250.33
104089-Branco Saraba-5723.43
422065-Clarindo Areosa-12849.22
685713-Silvio Mata-2951.04
784487-Ximena Castilho-7110.73
952549-Almerinda Palmeira-16526.33
935096-Antonio Castelo-11969.80
575015-Fulvio Villegas-14308.36
56301-Ximena Castilho-12792.34
372578-Daniel Vieyra-7194.83
668576-Guida Juca-13522.37
60229-Daniel Vieyra-13408.58
36198-Polibe Olivares-13622.80
29022-Liana Cardim-8184.82
666060-Filomena Barrios-7597.82
737009-Adelino Barra-4522.51
84912-Jussara Varanda-7801.86
975875-Delfina Perdigon-18927.62
246120-Henrique Bento-19758.18
893469-Emedlio Pimentel-8237.07
626095-Basilio Pedroso-13103.75
391243-Esperada Cardoso-10989.52
15720-Odilia Bello-17009.88
562496-Cleusa Goes-15625.33
729807-Marilda Leio-9857.16
969801-Aludsio Sosa-19544.53
843102-Eurico Siqueira-19130.54
728810-Flor Portella-19730.30
934339-Henrique Bento-15677.92
407041-Silvio Mata-142.02
362929-Gaudancio Fiees-8368.28
555846-Eurico Siqueira-5657.36
122584-Edgar Carvalheiro-19207.52
485208-Gaudancio Fiees-18918.30
329433-Cleusa Goes-7740.77
956096-Antonio Castelo-14260.46
350452-Marilda Leio-12054.06
414893-Ermelinda Quintela-13091.35
273489-Emedlio Pimentel-10205.85
466191-Andreia Moita-16189.92
365577-Cassandra Varejo-16763.55
156576-Rebeca Neto-3974.28
899416-Anfnia Seixas-12705.50
146648-Tabalipa Duarte-13630.35
443646-Oliveira Senchez-14933.65
456470-Augusta Paio-2738.37
438481-Letedcia Gago-3041.88
990944-Manuel Capiperibe-2171.19
89734-Angelica Aranha-19053.93
497322-Flamednia Leiria-9023.75
107179-Antonio Viegas-1792.57
545400-Clarindo Areosa-10464.13
719579-Odilia Bello-3078.29
161788-Quintino Alcantara-18119.76
950877-Neuza Francia-6789.36
333004-Jussara Varanda-419.09
761619-Ubaldo Mainha-18553.47
112528-Rebeca Neto-15898.55
598190-Andreia Moita-12184.61
185648-Oliveira Senchez-1614.74
765592-Clara Alcantara-5805.81
733654-Fulvio Villegas-11651.27
612978-Emedlio Pimentel-3333.63
558850-Delfim Higuera-60.41
56480-Melinda Roserio-20749.92
435301-Clarindo Areosa-8718.41
135056-Augusta Paio-21176.03
538903-Aludsio Sosa-5752.32
61735-Rebeca Neto-18488.30
977040-Quintiliano Sousa de Arronches-5165.32
783715-Judite Damasceno-3448.14
363689-Sara Lameiras-8625.47
840834-Tibofarcio Camacho-3196.77
663622-Estanislau Beserra-21342.36
978701-Branco Saraba-12268.08
229717-Zulmira Becerra-12382.44
389492-Honorina Lira-2948.95
412860-Edgar Carvalheiro-8484.34
290764-Jussara Varanda-9684.96
145644-Delfim Higuera-4129.89
991173-Ubaldo Mainha-842.89
901827-Moaci Mendoa-1616.53
455710-Moaci Mendoa-16914.94
372401-Neeamia Arruda-6866.74
846392-Andreia Moita-11066.53
312209-Tarrataca Soares-14828.82
619208-Romo Paranage-18572.72
561711-Dulce Froes-19376.85
735895-Manuel Capiperibe-11664.92
739950-Silvio Mata-7621.54
792230-Domingos Pas-8861.45
174677-Antonio Castelo-21190.47
588243-Danilo Olaio-13310.19
194962-Neuza Francia-10029.08
37331-Lina Andrade-11407.54
720888-Celeste Duarte-16720.66
131878-Oliveira Carmona-13212.02
954412-Tabalipa Duarte-582.80
727395-Moaci Mendoa-6060.16
479858-Tibefarcio Colao-5182.72
737896-Estanislau Beserra-3115.80
285226-Micaela Chavez-3307.55
485537-Jorgina Bogalho-14383.43
696016-Filomena Barrios-18065.38
96636-Oliveira Senchez-14220.92
633396-Moaci Mendoa-15118.13
85069-Neeamia Arruda-11664.61
808444-Sara Lameiras-6809.32
732732-Tibefarcio Colao-9036.59
665050-Jonatas Felgueiras-6556.56
751042-Heleedsa Marins-3499.10
981881-Cassandra Varejo-707.11
292098-Emedlia Silvera-21271.97
621051-Marilda Leio-17684.09
857493-Oliveira Senchez-18285.06
880520-Polibe Olivares-12666.56
453287-Judite Damasceno-15657.41
260408-Heleedsa Marins-2880.66
830892-Tabalipa Duarte-15187.98
933336-Emedlio Pimentel-21294.63
307692-Elisa Themes-7347.31
262542-Anfnia Seixas-3682.29
488914-Oliveira Carmona-10015.21
58701-Angilica Galante-18181.42
683217-Polibe Olivares-16735.16
399792-Taercio Mafra-17083.96
445668-Domingos Pas-14473.66
469075-Armindo Castalo-641.43
424424-Quintiliano Sousa de Arronches-19119.74
555464-Filomena Barrios-11544.23
825701-Almerinda Palmeira-4572.48
522086-Filomena Barrios-1320.26
929847-Rodolfo Paz-5095.15
50873-Clara Alcantara-8805.74
97532-Anfnia Seixas-9042.57
166461-Basilio Pedroso-20026.57
891055-Antonio Viegas-13926.19
872737-Melinda Roserio-2406.04
919951-Marilda Leio-13750.29
281780-Henrique Bento-14045.84
623274-Delfina Perdigon-9849.26
695476-Almor Caiado-4659.65
996619-Tibofarcio Camacho-20658.95
335152-Edgar Carvalheiro-14694.62
815774-Estanislau Beserra-4450.76
845035-Telma Villalobos-8212.42
270751-Lurdes Cotrim-17171.33
578913-Anind Zarco-4035.22
29930-Dulce Froes-14634.42
971045-Moaci Mendoa-21207.24
335595-Angilica Galante-2098.64
463976-Emiliana Foquio-7605.59
102379-Lina Andrade-19935.56
772422-Lina Andrade-6154.07
16455-Ximena Castilho-5917.39
34046-Filomena Barrios-14485.84
224988-Ubaldo Mainha-5993.72
34949-Silvio Mata-16389.51
449357-Rebeca Neto-3364.97
408988-Jorgina Bogalho-7514.68
469307-Adelino Barra-18908.04
456014-Daniel Vieyra-20642.67
407548-Celeste Duarte-14038.86
286460-Neuza Francia-4191.75
627273-Taercio Mafra-21381.91
43870-Aludsio Sosa-10227.42
702712-Neeamia Arruda-12229.67
527560-Ubaldo Mainha-19840.02
358446-Jonatas Felgueiras-13989.67
664377-Anfnia Seixas-8428.93
694430-Antonio Viegas-17203.62
588231-Spnia ou Sonia Guerreiro-7213.34
557609-Flamednia Leiria-4592.58
599182-Danilo Olaio-8525.45
531750-Melinda Roserio-12231.72
236497-Guida Juca-20162.16
9401-Odilia Bello-19054.35
186622-Gaudancio Fiees-4604.79
798017-Quintiliano Sousa de Arronches-2323.54
938925-Adelina Quadros-5370.18
31335-Rebeca Neto-13477.12
443545-Oliveira Senchez-7268.17
639532-Cassandra Varejo-15823.75
238027-Daniel Vieyra-16129.74
11454-Jussara Varanda-14340.22
8970-Jussara Varanda-16372.58
231919-Carminda Morais-15237.84
937991-Flor Portella-16929.71
162137-Moaci Mendoa-16362.85
870066-Moaci Mendoa-16902.24
470767-Heleedsa Marins-4587.72
949898-Marilda Leio-19802.15
763473-Esperada Cardoso-18763.71
351745-Ubaldo Mainha-15511.26
484822-Almerinda Palmeira-14236.54
789977-Liana Cardim-14846.62
827432-Neuza Francia-6094.11
332604-Adelina Quadros-208.65
800348-Heleedsa Marins-17030.27
138166-Oliveira Senchez-6124.14
977733-Ermelinda Quintela-18868.84
562534-Ubaldo Mainha-8043.51
964449-Esperada Cardoso-2336.30
741087-Lina Andrade-6339.82
7982-Tabalipa Duarte-7104.67
813236-Emiliana Foquio-16862.57
393347-Aludsio Sosa-12826.01
757716-Micaela Chavez-14049.33
125668-Marilda Leio-3662.50
778869-Edgar Carvalheiro-5463.88
656244-Neuza Francia-3348.82
821833-Almerinda Palmeira-10794.45
719181-Manuel Capiperibe-13594.09
504171-Mercia Caeira-6096.67
414831-Gaudancio Fiees-4431.91
11671-Honorina Lira-1465.21
754605-Trajano Fagundes-13569.14
940961-Esperada Cardoso-13031.88
476026-Edgar Carvalheiro-16783.14
554642-Tibefarcio Colao-19710.93
46874-Ermelinda Quintela-17242.65
939843-Neuza Francia-13966.03
183445-Urbano Rodrigues-8208.39
573859-Augusta Paio-18733.43
946478-Basilio Pedroso-18102.74
786125-Andreia Moita-20552.86
399128-Taercio Mafra-19455.57
129273-Zungela Ipiranga-20904.98
792812-Cleusa Goes-3634.90
706444-Camila Gabeira-6150.45
524688-Anfnia Seixas-13100.92
225277-Elisa Themes-405.48
370745-Filomena Barrios-19057.31
441893-Clara Alcantara-6968.22
179808-Elisa Themes-13427.68
625176-Mercia Caeira-2590.71
74881-Leonidas Mafra-12794.70
954976-Antonio Castelo-13915.99
539527-Flamednia Leiria-20003.92
954204-Melinda Roserio-13246.15
461522-Lina Andrade-20581.39
750431-Honorina Lira-2408.81
159116-Eurico Siqueira-12472.52
406758-Eurico Siqueira-21416.94
30232-Moaci Mendoa-13863.90
928017-Nuno Balsemeo-15720.15
111784-Judite Damasceno-6976.06
885195-Antonio Castelo-1200.77
672858-Rodolfo Paz-11426.17
950801-Taercio Mafra-11485.71
273666-Guida Juca-21090.33
204678-Quintino Alcantara-14532.99
683682-Angelica Aranha-5779.75
410474-Danilo Olaio-3038.98
958914-Jussara Varanda-3569.28
791832-Antonio Castelo-3998.56
695354-Adelino Barra-3404.84
68608-Mercia Caeira-21243.70
557220-Lurdes Cotrim-13995.59
954001-Antonio Viegas-6770.26
481747-Romo Paranage-5718.16
665147-Silvio Mata-2465.37
213126-Antonio Viegas-18892.21
45484-Tibefarcio Colao-9631.48
571410-Angilica Galante-3126.23
3417-Eurico Siqueira-12804.15
966681-Anfnia Seixas-19781.10
536082-Daniel Vieyra-15376.95
182950-Honorina Lira-13507.69
446811-Rebeca Neto-12702.39
314573-Daniel Vieyra-4732.37
215056-Judite Damasceno-10179.02
931394-Armanda Amorim-9976.32
622704-Heleedsa Marins-16596.77
212096-Zungela Ipiranga-8507.65
729804-Emiliana Foquio-21047.68
