289383-Quintiliano Sousa de Arronches-8469.31
636915-Emedlia Silvera-19577.48
885386-Heleedsa Marins-16497.61
641421-Delfim Higuera-10252.02
368690-Marilda Leio-11025.20
513926-Danilo Olaio-13651.81
89172-Antonio Castelo-13034.56
595368-Delfina Perdigon-2947.03
465782-Manuel Capiperibe-8610.21
665123-Emedlia Silvera-21451.74
513929-Clara Alcantara-18019.80
723058-Mercia Caeira-13691.33
961393-Antonio Castelo-20890.19
478042-Odilia Camello-11311.76
484421-Sidfnio Frois-19145.45
898537-Cleusa Goes-17345.75
798315-Armindo Castalo-20386.64
803526-Regina Barcellos-4127.76
759956-Manuel Capiperibe-7492.42
999170-Rodolfo Paz-9829.07
702305-Sidfnio Frois-20844.21
336327-Andreia Moita-5726.60
750846-Armindo Castalo-16326.22
925857-Ubaldo Mainha-11416.16
819582-Artur Grillo-20011.01
233367-Melinda Roserio-6105.15
344043-Spnia ou Sonia Guerreiro-7603.14
426808-Quintino Alcantara-9451.17
695788-Almor Caiado-7093.94
502651-Zungela Ipiranga-7523.93
999932-Polibe Olivares-12640.95
993368-Armanda Amorim-9439.48
636226-Taercio Mafra-17496.99
297539-Nuno Balsemeo-10361.41
651434-Mercia Caeira-19759.60
66601-Almerinda Palmeira-13767.10
573317-Joaquim Rufino-6035.71
260756-Regina Barcellos-9599.97
724286-Micaela Chavez-5932.09
429689-Carminda Morais-3642.28
558440-Dulce Froes-2707.45
108117-Odete Vasques-21147.38
834481-Anfnia Seixas-8228.91
698927-Jonatas Felgueiras-6317.05
179497-Silvio Mata-5248.72
276965-Sara Lameiras-2694.55
406219-Delfina Garcia de Gondim-16000.29
332871-Delfina Perdigon-1128.06
409503-Nuno Balsemeo-5155.30
363368-Augusta Paio-14099.60
226340-Urbano Rodrigues-16315.18
700723-Fulvio Villegas-11171.43
122846-Celeste Duarte-4394.93
243555-Tabalipa Duarte-12311.92
537764-Feledcia Peassego-3388.88
792350-Adelina Quadros-19111.65
757034-Cleusa Goes-1160.88
324914-Jonatas Felgueiras-89.37
373743-Delfim Higuera-3873.46
148365-Emedlio Pimentel-19607.10
151432-Ermelinda Quintela-11864.53
899228-Angilica Galante-14761.53
901474-Leonidas Mafra-16262.76
794395-Ermelinda Quintela-12390.36
908235-Camila Gabeira-13505.74
894428-Antonio Castelo-17893.66
335928-Polibe Olivares-17846.39
322404-Marilda Leio-19399.64
114613-Angelica Aranha-10678.54
436840-Camila Gabeira-19090.03
235128-Neeamia Arruda-5326.71
67917-Urbano Rodrigues-15045.70
43324-Nuno Balsemeo-4969.88
512183-Zungela Ipiranga-4802.98
689772-Flor Portella-20862.07
755590-Estanislau Beserra-15446.17
502954-Neeamia Arruda-12724.70
338082-Melinda Roserio-7223.09
110197-Jussara Varanda-69.40
228804-Antonio Castelo-17893.76
573622-Zungela Ipiranga-10371.28
887343-Neuza Francia-15291.96
354340-Antonio Castelo-877.55
613810-Adelino Barra-14472.68
425661-Quintino Alcantara-3964.74
811305-Emedlio Pimentel-15692.29
79444-Clara Alcantara-4342.49
503465-Basilio Pedroso-14025.87
408282-Cleusa Goes-1882.13
167637-Cleusa Goes-14734.42
962600-Joaquim Rufino-7765.32
911899-Henrique Bento-14314.19
947468-Odilia Camello-6192.90
487131-Domingos Pas-21139.04
808933-Lina Andrade-7118.46
370163-Rodolfo Paz-20586.57
548899-Liana Cardim-15012.53
713773-Neuza Francia-8242.73
187190-Danilo Olaio-19676.81
