468575-Romo Paranage-19267.45
171222-Almerinda Palmeira-8874.70
852941-Oliveira Senchez-3260.56
178205-Jorgina Bogalho-9102.83
40033-Neuza Francia-2683.47
17723-Leonidas Mafra-14608.58
727491-Antonio Viegas-4808.40
277163-Quintiliano Sousa de Arronches-9423.11
563509-Tarrataca Soares-13856.86
46137-Sidfnio Frois-16907.88
543621-Artur Grillo-10897.73
631403-Sofras Cuaresma-5734.60
42957-Feledcia Peassego-5628.30
554485-Odilia Bello-8880.08
378038-Elisa Themes-20810.48
598658-Henrique Bento-2325.82
808516-Tibefarcio Colao-13873.09
262726-Lina Andrade-12341.03
31803-Esperada Cardoso-7251.83
466145-Tibofarcio Camacho-16682.29
793381-Cassandra Varejo-16987.72
865295-Oliveira Carmona-11949.20
923432-Nuno Balsemeo-944.80
37773-Odilia Bello-9780.34
951197-Liana Cardim-1049.28
695030-Neeamia Arruda-4435.27
329932-Clarindo Areosa-13323.36
288824-Tibofarcio Camacho-7211.15
74837-Neeamia Arruda-5026.63
63027-Emedlia Silvera-20251.29
839019-Clarindo Areosa-5794.39
904091-Armindo Castalo-2398.20
429465-Armindo Castalo-18937.44
300788-Henrique Bento-15722.98
179912-Daniel Vieyra-1857.66
623223-Leonidas Mafra-1499.77
132092-Angilica Galante-7783.07
983067-Silvio Mata-4041.12
936959-Neeamia Arruda-21171.87
589980-Guida Juca-8607.66
471915-Anfnia Seixas-4731.22
642738-Basilio Pedroso-20440.26
250204-Anind Zarco-18519.71
820917-Cleusa Goes-4597.89
942068-Esperada Cardoso-9029.69
508045-Emiliana Foquio-9675.92
84804-Artur Grillo-8862.40
513563-Carminda Morais-20462.23
57050-Armindo Castalo-13866.77
779771-Emedlia Silvera-17802.67
631519-Delfim Higuera-6002.55
438380-Marilda Leio-16928.97
65649-Basilio Pedroso-19581.48
953109-Letedcia Gago-14904.85
138533-Manuel Capiperibe-12679.43
605823-Esperada Cardoso-13954.52
533657-Antonio Viegas-1690.53
284672-Henrique Bento-10685.66
664043-Heleedsa Marins-5201.40
230257-Regina Barcellos-11739.19
562692-Delfim Higuera-7600.67
533071-Melinda Roserio-20055.06
45486-Andreia Moita-8550.88
45754-Augusta Paio-13500.41
834663-Taercio Mafra-7676.96
592125-Nuno Balsemeo-14413.01
941363-Henrique Bento-13733.52
563526-Fulvio Villegas-13421.53
408976-Tibofarcio Camacho-17518.17
931026-Angilica Galante-4245.63
752358-Guaraci Damasceno-3686.42
828537-Neuza Francia-20571.75
802301-Ermelinda Quintela-10917.37
956558-Neuza Francia-14717.83
595874-Edgar Carvalheiro-15096.18
695020-Odete Vasques-21082.10
245690-Neuza Francia-20876.67
365392-Feledcia Peassego-1867.47
51337-Leonidas Mafra-5991.56
876928-Dulce Froes-4166.04
138288-Heleedsa Marins-14193.56
466935-Telma Villalobos-20601.85
817603-Neeamia Arruda-18845.03
772293-Honorina Lira-7029.76
767761-Heleedsa Marins-60.88
975245-Odilia Bello-10617.83
484216-Antonio Viegas-9705.45
861037-Oliveira Senchez-20489.11
390378-Basilio Pedroso-10704.78
252636-Emedlia Silvera-7028.72
194420-Melinda Roserio-21200.10
262069-Dulce Froes-17869.93
537711-Joaquim Rufino-17093.27
550480-Dulce Froes-5946.16
862484-Emedlio Pimentel-19403.84
792033-Armindo Castalo-718.75
963957-Regina Barcellos-7253.59
803267-Tibofarcio Camacho-9792.21
906194-Tibofarcio Camacho-281.27
165362-Cassandra Varejo-17713.80
