608256-Letedcia Gago-3847.50
466921-Almor Caiado-20987.91
340480-Tibefarcio Colao-19550.38
555338-Tibofarcio Camacho-5646.74
671713-Branco Saraba-15031.74
432811-Feledcia Peassego-1047.07
169981-Emedlia Silvera-15922.83
99310-Branco Saraba-18908.71
763523-Adelina Quadros-3410.89
76465-Emedlia Silvera-12023.73
853476-Moaci Mendoa-12699.81
195234-Moaci Mendoa-20704.48
404189-Oliveira Senchez-4093.05
71334-Manuel Capiperibe-6368.60
553125-Basilio Pedroso-1550.48
200194-Almerinda Palmeira-15884.81
951336-Armanda Amorim-7201.68
434523-Nuno Balsemeo-4027.83
45240-Quintino Alcantara-15805.47
679092-Andreia Moita-19396.23
599880-Emedlia Silvera-5739.93
271046-Estanislau Beserra-2937.05
249065-Clarindo Areosa-6161.09
781892-Ximena Castilho-8301.80
988754-Sofras Cuaresma-5402.50
885423-Emedlia Silvera-15514.50
489577-Mercia Caeira-9289.17
376490-Lurdes Cotrim-17623.52
167612-Dulce Froes-6819.14
531590-Micaela Chavez-14645.93
301247-Polibe Olivares-18781.93
535783-Odilia Camello-1599.80
251174-Lina Andrade-5562.29
271550-Edgar Carvalheiro-7270.11
668599-Domingos Pas-12370.00
597684-Oliveira Senchez-14418.85
524320-Jussara Varanda-14463.75
618487-Antonio Castelo-6952.68
12201-Anind Zarco-10794.35
952632-Heleedsa Marins-7924.83
548949-Nuno Balsemeo-10367.84
621926-Ermelinda Quintela-9348.37
915851-Nuno Balsemeo-4096.04
318563-Guaraci Damasceno-20178.76
901396-Danilo Olaio-21015.44
250178-Rodolfo Paz-8156.58
48753-Armindo Castalo-18961.83
281161-Emedlia Silvera-17683.17
865572-Neeamia Arruda-8348.46
879932-Ximena Castilho-6763.15
3333-Celeste Duarte-10848.64
319303-Edgar Carvalheiro-4870.02
131593-Camila Gabeira-13239.18
172915-Andreia Moita-20642.37
225162-Tibefarcio Colao-13906.54
277088-Melinda Roserio-19909.04
246821-Angilica Galante-11214.70
591234-Telma Villalobos-18587.51
203169-Oliveira Carmona-16701.33
766590-Taercio Mafra-12375.29
813088-Armanda Amorim-20255.32
160261-Angilica Galante-16173.68
343894-Angelica Aranha-1730.16
131512-Neeamia Arruda-3961.89
827369-Rebeca Neto-8664.14
67362-Basilio Pedroso-6732.07
481878-Antonio Castelo-12584.54
78885-Moaci Mendoa-19210.45
25928-Gaudancio Fiees-12087.65
302502-Liana Cardim-2010.48
410297-Letedcia Gago-18378.61
898261-Antonio Viegas-7135.38
388320-Letedcia Gago-20578.81
796327-Camila Gabeira-19855.29
957196-Taercio Mafra-3668.73
288675-Leonidas Mafra-14509.40
40944-Flamednia Leiria-17584.22
779107-Augusta Paio-10380.18
267973-Anfnia Seixas-10580.43
405820-Trajano Fagundes-5058.62
588931-Branco Saraba-577.89
304288-Almerinda Palmeira-7986.87
420250-Emiliana Foquio-10680.76
35707-Delfina Perdigon-423.88
356278-Taercio Mafra-19333.45
90772-Odilia Camello-16891.50
32630-Domingos Pas-13007.08
945025-Odilia Camello-18894.87
419193-Ubaldo Mainha-10192.71
174654-Cassandra Varejo-3601.93
461647-Taercio Mafra-11497.82
125964-Delfina Perdigon-11186.03
844218-Ermelinda Quintela-18840.23
960304-Odete Vasques-14715.75
605734-Judite Damasceno-2774.48
640580-Melinda Roserio-13155.39
615854-Camila Gabeira-9640.88
46136-Dulce Froes-4815.49
977609-Neeamia Arruda-17889.68
468905-Delfina Garcia de Gondim-18001.43
