607547-Emedlia Silvera-14247.34
683863-Tarrataca Soares-12684.21
400341-Clara Alcantara-20850.78
735154-Basilio Pedroso-14143.06
58597-Leonidas Mafra-8695.97
28348-Andreia Moita-18547.71
213079-Telma Villalobos-19342.44
375054-Melinda Roserio-6531.28
197284-Gaudancio Fiees-15493.78
23303-Delfim Higuera-5304.65
279957-Antonio Viegas-1985.88
182145-Delfina Perdigon-19962.72
228486-Cassandra Varejo-4341.89
216109-Joaquim Rufino-20089.24
895877-Leonidas Mafra-6924.99
896136-Sofras Cuaresma-19065.27
25993-Flor Portella-8012.57
876983-Manuel Capiperibe-6881.48
662299-Carminda Morais-7943.46
46645-Neeamia Arruda-8913.69
528724-Moaci Mendoa-7811.65
261486-Quintino Alcantara-4828.64
414716-Dulce Froes-12750.92
162736-Tibofarcio Camacho-9118.25
733141-Guida Juca-2042.37
900799-Andreia Moita-20411.33
355684-Feledcia Peassego-13096.75
570881-Emedlia Silvera-7250.69
913643-Lurdes Cotrim-11467.31
151014-Filomena Barrios-6252.94
852883-Regina Barcellos-19408.23
143149-Basilio Pedroso-756.00
222027-Telma Villalobos-5930.15
6211-Odilia Camello-12831.78
714502-Sofras Cuaresma-14129.11
438202-Silvio Mata-18518.12
689307-Dulce Froes-1596.84
713600-Lina Andrade-4182.55
402487-Estanislau Beserra-11331.68
920548-Melinda Roserio-17063.20
323790-Melinda Roserio-5206.89
408522-Honorina Lira-20698.32
840538-Judite Damasceno-19075.70
881028-Gaudancio Fiees-4680.93
262453-Danilo Olaio-19078.07
880691-Leonidas Mafra-4767.62
631877-Oliveira Carmona-2289.68
91060-Clarindo Areosa-19656.81
102520-Marilda Leio-20800.84
877612-Neeamia Arruda-13665.20
430276-Liana Cardim-7163.61
321940-Honorina Lira-9107.69
330444-Clara Alcantara-2851.26
837798-Aludsio Sosa-1145.23
555796-Eurico Siqueira-13107.86
184875-Quintino Alcantara-19306.67
625833-Oliveira Senchez-18678.15
267059-Cleusa Goes-2844.22
163082-Lina Andrade-530.41
743897-Urbano Rodrigues-1729.19
644166-Clara Alcantara-12693.49
749478-Clara Alcantara-9881.87
202981-Lurdes Cotrim-15525.18
226703-Rodolfo Paz-14078.72
859559-Judite Damasceno-18374.28
299699-Nuno Balsemeo-21066.12
18029-Augusta Paio-19197.55
703856-Cassandra Varejo-14365.38
587132-Zulmira Becerra-10752.18
70344-Tabalipa Duarte-19689.61
74040-Angelica Aranha-15291.22
954714-Branco Saraba-2763.88
604536-Carminda Morais-2805.91
380398-Cleusa Goes-13018.17
196031-Danilo Olaio-16606.77
797537-Almerinda Palmeira-11174.93
581959-Melinda Roserio-1490.27
181174-Sidfnio Frois-11317.31
718946-Tibofarcio Camacho-17363.19
297797-Taercio Mafra-18953.89
795337-Melinda Roserio-8279.79
158196-Basilio Pedroso-13979.34
708313-Ximena Castilho-2210.55
776132-Rodolfo Paz-18774.35
748509-Polibe Olivares-391.48
148535-Clara Alcantara-3119.45
677437-Ximena Castilho-3315.27
993753-Delfina Garcia de Gondim-19657.08
331838-Flamednia Leiria-12039.44
920181-Almerinda Palmeira-2467.58
469975-Adelino Barra-14145.53
658092-Moaci Mendoa-16817.11
234008-Neuza Francia-20364.20
400706-Carminda Morais-18837.12
901239-Almerinda Palmeira-4839.77
595168-Celeste Duarte-18221.25
782190-Adelina Quadros-15623.19
996688-Aludsio Sosa-16243.13
458868-Angilica Galante-12971.61
239512-Angilica Galante-16560.81
