687281-Clara Alcantara-10801.52
570025-Tabalipa Duarte-10987.41
459448-Honorina Lira-8055.10
464078-Romo Paranage-9666.61
399173-Ubaldo Mainha-5425.15
522757-Camila Gabeira-10385.41
137695-Tabalipa Duarte-18880.73
957884-Flor Portella-12038.63
296620-Almor Caiado-2835.79
859701-Neeamia Arruda-20515.97
122659-Romo Paranage-13818.00
475482-Odilia Bello-2418.87
514322-Rodolfo Paz-13443.46
940025-Zulmira Becerra-11503.27
270359-Jorgina Bogalho-2492.42
311454-Nuno Balsemeo-13747.65
207873-Camila Gabeira-3734.19
161661-Jorgina Bogalho-4123.77
530657-Neuza Francia-18226.74
252613-Sofras Cuaresma-18905.33
704882-Emedlia Silvera-7041.72
825116-Antonio Viegas-2761.64
685888-Emiliana Foquio-10766.78
572821-Eurico Siqueira-17766.19
637272-Carminda Morais-20268.89
700025-Angilica Galante-3447.17
820247-Telma Villalobos-15399.25
529417-Leonidas Mafra-10306.03
101770-Ximena Castilho-16.50
769090-Esperada Cardoso-4459.02
33275-Estanislau Beserra-17806.07
130662-Odilia Camello-7909.48
598573-Romo Paranage-7231.51
929159-Basilio Pedroso-2352.40
586500-Anfnia Seixas-2938.77
2471-Letedcia Gago-14415.77
183479-Quintino Alcantara-4219.14
783569-Melinda Roserio-12704.43
276979-Anind Zarco-8960.61
443977-Melinda Roserio-17298.30
176967-Jussara Varanda-15283.80
565906-Manuel Capiperibe-16735.11
635332-Lurdes Cotrim-2596.26
383214-Romo Paranage-7785.55
265930-Oliveira Senchez-856.58
553839-Fulvio Villegas-5776.60
558397-Manuel Capiperibe-14818.44
3827-Urbano Rodrigues-10241.44
568144-Aludsio Sosa-17644.21
265652-Almor Caiado-12303.81
381668-Quintiliano Sousa de Arronches-13125.58
104723-Micaela Chavez-5676.40
292637-Delfim Higuera-14192.75
631299-Adelina Quadros-6491.75
209881-Odilia Camello-339.57
182009-Branco Saraba-16005.11
731354-Trajano Fagundes-13985.86
194517-Esperada Cardoso-9681.06
617265-Artur Grillo-13396.74
101370-Neuza Francia-3674.56
932273-Feledcia Peassego-6448.38
659602-Cassandra Varejo-18049.43
897667-Sidfnio Frois-3437.52
277746-Lurdes Cotrim-12793.83
212646-Celeste Duarte-5521.09
805219-Odilia Bello-6032.91
57937-Odilia Bello-7270.22
670630-Zungela Ipiranga-13452.17
943220-Clarindo Areosa-15808.34
636334-Zulmira Becerra-1824.52
226654-Filomena Barrios-10273.84
374795-Manuel Capiperibe-13490.44
679368-Carminda Morais-6734.58
775704-Delfim Higuera-14077.36
530665-Basilio Pedroso-354.65
759238-Augusta Paio-9372.70
15262-Cassandra Varejo-3958.44
857134-Telma Villalobos-20405.15
805034-Quintiliano Sousa de Arronches-4529.74
459809-Emedlia Silvera-16926.11
54407-Branco Saraba-5473.54
3202-Henrique Bento-4772.45
894564-Judite Damasceno-20499.24
53835-Joaquim Rufino-2422.16
595962-Heleedsa Marins-21457.47
763530-Camila Gabeira-13520.23
705845-Clarindo Areosa-16090.38
703317-Antonio Castelo-204.11
401407-Camila Gabeira-18492.16
966437-Armanda Amorim-19926.76
983424-Lurdes Cotrim-8182.47
384641-Letedcia Gago-11182.50
829691-Odilia Camello-4026.61
248945-Trajano Fagundes-11627.15
920150-Domingos Pas-3828.27
55951-Leonidas Mafra-7625.91
461569-Heleedsa Marins-7578.13
711293-Oliveira Carmona-10955.16
508456-Sofras Cuaresma-9734.34
763574-Jorgina Bogalho-19724.00
