655604-Cleusa Goes-17287.10
429374-Branco Saraba-14816.79
800771-Trajano Fagundes-1168.96
465023-Delfina Garcia de Gondim-16103.73
80736-Oliveira Senchez-10876.94
860456-Letedcia Gago-21240.30
126783-Telma Villalobos-9871.80
293012-Artur Grillo-6564.44
810344-Tibofarcio Camacho-13951.80
176601-Andreia Moita-19671.83
292513-Polibe Olivares-1093.55
276937-Liana Cardim-16597.85
507006-Sara Lameiras-19845.86
928399-Honorina Lira-13655.67
344079-Esperada Cardoso-8961.64
163755-Sidfnio Frois-8735.41
132412-Celeste Duarte-2161.84
2654-Rodolfo Paz-3404.77
993068-Delfim Higuera-16712.87
830212-Rebeca Neto-10939.80
679117-Emiliana Foquio-17232.73
754545-Basilio Pedroso-10820.66
25056-Basilio Pedroso-18635.73
675340-Flor Portella-13750.18
731643-Anind Zarco-15153.62
481833-Edgar Carvalheiro-3260.42
261717-Estanislau Beserra-15821.74
253890-Leonidas Mafra-20561.77
173471-Odilia Camello-18486.87
306151-Tarrataca Soares-10550.33
622230-Nuno Balsemeo-4102.28
293664-Eurico Siqueira-16429.83
266180-Basilio Pedroso-19400.08
340549-Tibefarcio Colao-14182.00
498145-Zungela Ipiranga-16879.31
819706-Lurdes Cotrim-16894.13
682038-Spnia ou Sonia Guerreiro-13991.91
728278-Mercia Caeira-18044.45
767788-Mercia Caeira-14141.35
610914-Regina Barcellos-16234.41
434255-Lurdes Cotrim-1045.80
530326-Eurico Siqueira-12618.73
725118-Oliveira Senchez-3126.56
492935-Almerinda Palmeira-13889.96
278527-Cassandra Varejo-15614.95
458678-Clarindo Areosa-17263.14
680791-Urbano Rodrigues-6095.13
77278-Lina Andrade-5747.57
167145-Ubaldo Mainha-19625.25
459812-Elisa Themes-16.52
301844-Adelino Barra-810.87
372358-Sofras Cuaresma-17766.17
942250-Henrique Bento-18753.42
520225-Basilio Pedroso-933.51
814327-Polibe Olivares-21006.30
556199-Trajano Fagundes-8226.05
227674-Heleedsa Marins-8802.86
90471-Spnia ou Sonia Guerreiro-17083.63
431183-Artur Grillo-10680.46
906930-Judite Damasceno-8080.23
823863-Henrique Bento-19833.25
836916-Odilia Bello-7092.13
723401-Micaela Chavez-7761.56
782204-Tibefarcio Colao-19766.76
837520-Zungela Ipiranga-14340.06
903848-Emedlia Silvera-8360.79
284542-Antonio Castelo-18723.07
694343-Basilio Pedroso-16469.13
861531-Mercia Caeira-19643.45
70245-Emiliana Foquio-20912.52
447751-Fulvio Villegas-15035.92
395602-Augusta Paio-3059.45
476826-Emiliana Foquio-19076.69
900191-Dulce Froes-1789.67
191336-Angelica Aranha-8038.05
628787-Rodolfo Paz-10487.08
671222-Romo Paranage-4925.09
515785-Angelica Aranha-18922.04
723402-Armindo Castalo-15275.82
493921-Henrique Bento-13611.68
803507-Almerinda Palmeira-13946.16
437652-Nuno Balsemeo-17090.12
801419-Tibofarcio Camacho-19334.88
804354-Branco Saraba-17959.05
515737-Marilda Leio-13896.12
749895-Anfnia Seixas-6677.58
63028-Zulmira Becerra-4529.45
199162-Romo Paranage-16254.61
248768-Ximena Castilho-15987.01
675733-Lurdes Cotrim-14407.11
354283-Polibe Olivares-19595.14
140985-Taercio Mafra-8434.69
872755-Silvio Mata-9492.70
305699-Odilia Camello-9055.91
189316-Heleedsa Marins-5416.23
877479-Antonio Castelo-12913.73
306740-Guida Juca-18434.36
728938-Clarindo Areosa-19226.35
871120-Honorina Lira-10284.00
111169-Jorgina Bogalho-11250.76
