770572-Silvio Mata-2008.17
790506-Carminda Morais-17569.77
467843-Branco Saraba-1425.26
553527-Feledcia Peassego-13861.34
333345-Angelica Aranha-10622.02
309788-Odete Vasques-5672.13
671039-Augusta Paio-3809.49
637516-Neeamia Arruda-4525.72
975465-Jussara Varanda-5914.33
621363-Jonatas Felgueiras-21461.31
459993-Taercio Mafra-684.18
294431-Urbano Rodrigues-11752.09
496950-Andreia Moita-751.93
997567-Rebeca Neto-19147.46
577960-Guida Juca-20540.80
127666-Odete Vasques-16579.06
790189-Fulvio Villegas-21395.77
304904-Edgar Carvalheiro-5747.31
806773-Elisa Themes-11767.06
97080-Delfina Perdigon-10468.44
967288-Ximena Castilho-7368.20
137783-Odilia Bello-8801.15
801179-Taercio Mafra-16266.12
506436-Tibofarcio Camacho-5231.26
345767-Sofras Cuaresma-7807.04
387116-Carminda Morais-16378.31
157739-Tibefarcio Colao-531.38
877336-Rodolfo Paz-8344.43
169168-Spnia ou Sonia Guerreiro-3097.66
894201-Jonatas Felgueiras-17348.63
783282-Clara Alcantara-18188.30
574279-Mercia Caeira-7624.84
90404-Artur Grillo-3228.02
799498-Delfina Garcia de Gondim-6423.08
771442-Judite Damasceno-9596.54
339579-Ubaldo Mainha-1895.58
330051-Quintiliano Sousa de Arronches-10467.15
897543-Augusta Paio-17645.93
712277-Delfim Higuera-6482.78
749716-Odilia Bello-4366.89
631225-Andreia Moita-11284.72
333147-Celeste Duarte-6445.63
666267-Neuza Francia-1601.69
611181-Honorina Lira-18979.69
198162-Judite Damasceno-13302.57
488816-Odilia Camello-5111.13
127163-Dulce Froes-10984.43
903392-Quintiliano Sousa de Arronches-9368.57
122408-Tibofarcio Camacho-6010.85
107335-Antonio Viegas-12678.35
987959-Liana Cardim-18364.66
698864-Tibefarcio Colao-8963.16
894185-Delfina Garcia de Gondim-14749.82
407805-Marilda Leio-9041.09
713457-Flor Portella-18543.08
705963-Andreia Moita-8113.13
739737-Neuza Francia-15604.40
5220-Oliveira Senchez-20073.43
379750-Marilda Leio-8389.82
32493-Basilio Pedroso-5126.06
374004-Fulvio Villegas-6155.94
703915-Clara Alcantara-8192.93
596507-Camila Gabeira-18861.87
658536-Guida Juca-19915.95
205851-Spnia ou Sonia Guerreiro-17778.24
9896-Guaraci Damasceno-570.47
442953-Odete Vasques-13137.87
318721-Emedlia Silvera-1523.08
567449-Antonio Castelo-4846.88
901412-Clara Alcantara-8117.20
586680-Trajano Fagundes-15700.94
254478-Rodolfo Paz-17407.98
721600-Judite Damasceno-19683.95
203371-Edgar Carvalheiro-2655.70
794619-Neuza Francia-6777.75
209858-Carminda Morais-2403.02
937906-Liana Cardim-16117.45
622277-Carminda Morais-15955.80
166364-Domingos Pas-11286.64
208927-Silvio Mata-8120.81
340949-Taercio Mafra-19136.68
583095-Neeamia Arruda-19749.22
117876-Joaquim Rufino-18921.60
355830-Odete Vasques-9928.80
704762-Taercio Mafra-1811.91
394482-Armanda Amorim-13114.01
130953-Sidfnio Frois-8998.55
170264-Rodolfo Paz-5069.94
1284-Rebeca Neto-21401.60
36466-Tarrataca Soares-1958.85
791952-Edgar Carvalheiro-16292.26
158098-Jorgina Bogalho-6133.26
838819-Delfim Higuera-1149.60
430624-Odete Vasques-20203.16
75695-Spnia ou Sonia Guerreiro-18785.37
12589-Armindo Castalo-14674.48
767554-Fulvio Villegas-8440.95
267190-Leonidas Mafra-13222.65
346571-Emedlia Silvera-9067.83
122202-Estanislau Beserra-823.36
462791-Tibefarcio Colao-18081.28
504076-Fulvio Villegas-12118.02
467829-Odilia Camello-341.58
108356-Sidfnio Frois-2435.88
145380-Anfnia Seixas-21056.64
373519-Basilio Pedroso-20031.93
2632-Rodolfo Paz-1764.77
3329-Liana Cardim-3847.44
997887-Cleusa Goes-20760.90
669022-Jonatas Felgueiras-20842.13
742013-Tibofarcio Camacho-12211.92
525105-Daniel Vieyra-14006.96
666802-Domingos Pas-3026.80
252276-Liana Cardim-19667.88
670060-Emedlia Silvera-9434.50
141269-Jorgina Bogalho-17088.24
576737-Daniel Vieyra-12793.43
107419-Spnia ou Sonia Guerreiro-5548.62
419930-Odilia Bello-423.77
515554-Liana Cardim-18820.46
463462-Telma Villalobos-19747.88
539254-Urbano Rodrigues-19498.29
417379-Edgar Carvalheiro-2730.12
969361-Quintiliano Sousa de Arronches-13542.64
109472-Adelino Barra-7714.51
429759-Ximena Castilho-4031.09
942813-Polibe Olivares-17166.85
448890-Sofras Cuaresma-12613.09
698830-Edgar Carvalheiro-3592.45
555554-Judite Damasceno-20647.61
141266-Tabalipa Duarte-177.41
918756-Delfina Garcia de Gondim-3212.80
908452-Oliveira Senchez-20396.97
94537-Fulvio Villegas-9121.83
69014-Regina Barcellos-14772.93
493615-Sara Lameiras-15457.22
774564-Polibe Olivares-9731.81
398141-Tabalipa Duarte-20836.30
884026-Romo Paranage-9668.46
746458-Sara Lameiras-18464.01
687164-Gaudancio Fiees-3640.59
415453-Marilda Leio-20359.77
489133-Antonio Castelo-18204.02
575008-Odilia Bello-200.13
441706-Andreia Moita-7490.82
759286-Fulvio Villegas-6560.92
185369-Almor Caiado-14498.67
813046-Honorina Lira-1147.81
266086-Delfina Perdigon-15006.65
964421-Armindo Castalo-13549.28
423604-Melinda Roserio-15596.15
139802-Clara Alcantara-19420.31
135917-Sofras Cuaresma-1570.36
345680-Sofras Cuaresma-7726.11
738452-Zungela Ipiranga-8480.53
940057-Elisa Themes-11548.12
380254-Rebeca Neto-20959.97
1857-Camila Gabeira-10933.27
286460-Emedlia Silvera-15555.93
900189-Manuel Capiperibe-16945.57
947655-Almerinda Palmeira-14274.97
537419-Guaraci Damasceno-7721.53
137293-Danilo Olaio-498.06
139379-Micaela Chavez-13001.51
670916-Leonidas Mafra-11404.06
284568-Tarrataca Soares-10478.63
990301-Tarrataca Soares-4207.59
79032-Emedlio Pimentel-2322.77
432550-Celeste Duarte-4185.64
483937-Delfim Higuera-19464.64
463299-Ermelinda Quintela-2199.28
574154-Jorgina Bogalho-20454.65
231953-Silvio Mata-8691.19
925831-Zungela Ipiranga-6587.75
230796-Neuza Francia-14344.46
104906-Taercio Mafra-17977.30
791095-Quintino Alcantara-2572.37
991085-Cassandra Varejo-4103.16
34273-Clarindo Areosa-2242.65
670394-Mercia Caeira-11997.49
380221-Moaci Mendoa-3967.29
103710-Emedlio Pimentel-15223.03
980663-Zungela Ipiranga-760.51
663349-Gaudancio Fiees-5099.77
13800-Letedcia Gago-14492.08
770468-Tabalipa Duarte-15943.13
906114-Cassandra Varejo-21001.04
800992-Sidfnio Frois-7676.11
973313-Henrique Bento-8376.45
225888-Andreia Moita-17183.16
942555-Liana Cardim-8092.12
587321-Cassandra Varejo-16853.16
730309-Emiliana Foquio-8238.13
476108-Rebeca Neto-4219.93
513154-Odilia Camello-17800.06
512363-Oliveira Carmona-17432.93
758303-Nuno Balsemeo-13597.16
724923-Honorina Lira-10500.33
523959-Andreia Moita-10465.23
587961-Andreia Moita-17677.49
917218-Danilo Olaio-8652.08
458678-Anfnia Seixas-7063.11
335550-Angilica Galante-11890.42
747084-Judite Damasceno-10350.34
651815-Jorgina Bogalho-9030.64
764189-Cassandra Varejo-800.92
705463-Andreia Moita-3638.51
266733-Emiliana Foquio-20115.76
955436-Quintiliano Sousa de Arronches-11386.16
773141-Liana Cardim-1167.20
939298-Ximena Castilho-1456.37
317776-Liana Cardim-16220.96
528637-Rebeca Neto-17734.32
552544-Antonio Castelo-6756.95
569198-Ximena Castilho-9863.47
108751-Zungela Ipiranga-20071.11
458023-Andreia Moita-10373.33
39480-Silvio Mata-1771.16
654114-Quintino Alcantara-1940.71
307943-Edgar Carvalheiro-19258.45
710503-Andreia Moita-6483.00
837052-Angilica Galante-14656.18
274911-Anind Zarco-17681.46
270742-Urbano Rodrigues-2322.15
300653-Guida Juca-15747.85
394151-Feledcia Peassego-11334.10
96302-Heleedsa Marins-6513.84
649059-Telma Villalobos-14884.24
293697-Mercia Caeira-3995.94
554176-Ermelinda Quintela-5789.02
534808-Andreia Moita-16466.13
669165-Adelino Barra-1729.66
899573-Emiliana Foquio-11592.41
77933-Antonio Castelo-14995.12
951329-Silvio Mata-813.29
687930-Basilio Pedroso-21027.23
51923-Neeamia Arruda-12013.35
748773-Judite Damasceno-20359.85
561563-Judite Damasceno-1757.95
445731-Ximena Castilho-10543.49
207120-Ubaldo Mainha-4934.00
752326-Fulvio Villegas-7860.69
431827-Leonidas Mafra-14069.69
774262-Manuel Capiperibe-19820.47
332173-Odilia Bello-10395.14
191112-Sidfnio Frois-17132.02
976180-Honorina Lira-17152.54
145402-Quintino Alcantara-20830.03
738256-Almerinda Palmeira-8460.81
441562-Judite Damasceno-3460.43
530559-Artur Grillo-3612.50
264806-Eurico Siqueira-15400.02
965003-Tibofarcio Camacho-10529.50
906062-Oliveira Senchez-6682.41
875076-Tarrataca Soares-6180.90
172700-Sidfnio Frois-3297.97
709437-Almor Caiado-9367.73
581588-Ubaldo Mainha-9429.19
470918-Honorina Lira-18366.57
638420-Tarrataca Soares-18700.98
