899390-Armindo Castalo-7601.32
274378-Urbano Rodrigues-7643.54
484034-Gaudancio Fiees-8220.22
115461-Flor Portella-4867.34
682768-Almor Caiado-14337.39
130103-Fulvio Villegas-7208.90
589641-Rebeca Neto-4477.97
564395-Ermelinda Quintela-20560.40
458047-Emiliana Foquio-7629.61
740711-Camila Gabeira-4392.91
37836-Filomena Barrios-16571.90
920302-Antonio Viegas-21044.65
60798-Esperada Cardoso-13674.65
625597-Polibe Olivares-16485.81
536941-Micaela Chavez-20652.63
746544-Mercia Caeira-1769.10
535141-Camila Gabeira-21124.99
584772-Estanislau Beserra-1935.80
406509-Silvio Mata-5130.38
133344-Daniel Vieyra-13917.79
731262-Andreia Moita-2963.33
977556-Armanda Amorim-4182.53
577619-Letedcia Gago-16253.14
199957-Melinda Roserio-18239.40
555933-Esperada Cardoso-1959.93
683550-Basilio Pedroso-16337.40
184618-Silvio Mata-1277.91
999388-Joaquim Rufino-2163.76
853927-Melinda Roserio-11157.82
186014-Eurico Siqueira-20889.16
325391-Jorgina Bogalho-13031.63
655096-Mercia Caeira-16661.41
965861-Edgar Carvalheiro-17947.19
741718-Taercio Mafra-3634.35
130834-Zulmira Becerra-65.07
783273-Zulmira Becerra-101.91
345489-Estanislau Beserra-10953.75
439827-Jorgina Bogalho-15623.75
597979-Quintiliano Sousa de Arronches-13197.45
310696-Urbano Rodrigues-11304.47
802336-Domingos Pas-14337.73
143441-Celeste Duarte-17394.28
737961-Domingos Pas-20043.94
646693-Ximena Castilho-14486.52
527940-Guida Juca-17207.83
885938-Henrique Bento-5910.82
499936-Nuno Balsemeo-3839.44
905075-Dulce Froes-10643.84
202481-Odete Vasques-6784.98
282310-Daniel Vieyra-18868.09
277906-Clara Alcantara-17861.28
469589-Augusta Paio-6727.87
802210-Nuno Balsemeo-11125.25
369740-Flamednia Leiria-4356.88
372137-Almerinda Palmeira-4662.16
398038-Emedlia Silvera-14001.02
98288-Anind Zarco-5761.19
690211-Lurdes Cotrim-2695.40
656842-Taercio Mafra-6967.42
884813-Oliveira Carmona-8260.25
76490-Flamednia Leiria-5988.19
40912-Judite Damasceno-13182.89
949527-Quintiliano Sousa de Arronches-3556.07
768197-Taercio Mafra-16529.77
754992-Honorina Lira-12788.65
524395-Zulmira Becerra-13872.63
892382-Rodolfo Paz-19883.62
204442-Tibefarcio Colao-20300.52
900404-Emedlia Silvera-9272.25
610950-Ermelinda Quintela-21471.10
646776-Ximena Castilho-3777.03
810220-Zulmira Becerra-13477.44
277426-Anfnia Seixas-3542.10
270003-Armanda Amorim-15489.78
467350-Jorgina Bogalho-20857.33
881053-Sidfnio Frois-15377.74
397052-Aludsio Sosa-4961.82
547985-Emiliana Foquio-14923.87
722577-Angilica Galante-12958.04
156013-Flor Portella-5849.31
130602-Cleusa Goes-12465.78
924251-Marilda Leio-7719.04
6549-Romo Paranage-19811.82
212410-Honorina Lira-16919.68
395222-Armanda Amorim-3399.52
959828-Cassandra Varejo-5388.33
787912-Antonio Viegas-15412.30
10468-Taercio Mafra-17757.78
285003-Sara Lameiras-15120.17
301062-Daniel Vieyra-14466.89
943458-Tibefarcio Colao-2583.36
288682-Dulce Froes-6932.60
893998-Guida Juca-19222.67
192580-Celeste Duarte-59.96
501683-Flamednia Leiria-8923.91
543595-Odete Vasques-15653.50
391767-Zungela Ipiranga-12646.55
905877-Micaela Chavez-19786.65
323072-Lina Andrade-14424.67
60107-Cassandra Varejo-5832.84
