60866-Henrique Bento-18083.16
166681-Armindo Castalo-18525.06
977896-Jorgina Bogalho-2810.63
224025-Elisa Themes-1076.49
441462-Honorina Lira-12857.48
59061-Danilo Olaio-19745.35
797750-Urbano Rodrigues-3282.37
26576-Feledcia Peassego-14249.67
852343-Tibofarcio Camacho-2549.12
781302-Neuza Francia-15548.52
194633-Trajano Fagundes-6424.29
884183-Emedlio Pimentel-2411.12
632949-Zulmira Becerra-18030.90
293702-Adelina Quadros-12908.31
837187-Odete Vasques-6447.88
776439-Danilo Olaio-20628.47
68017-Regina Barcellos-271.62
446513-Zungela Ipiranga-12541.88
20706-Odete Vasques-4065.57
279849-Delfim Higuera-4873.38
515269-Adelino Barra-21225.33
66563-Jonatas Felgueiras-21059.33
156851-Anind Zarco-10400.83
794049-Telma Villalobos-1498.93
596501-Elisa Themes-8527.30
147272-Telma Villalobos-600.23
749398-Zulmira Becerra-5610.91
588979-Elisa Themes-3360.53
911530-Armanda Amorim-21120.74
146153-Taercio Mafra-13288.70
749132-Lurdes Cotrim-19283.86
781333-Marilda Leio-14239.69
925790-Mercia Caeira-16681.25
676750-Odilia Camello-7944.36
258240-Moaci Mendoa-10580.32
144426-Honorina Lira-15971.80
394368-Aludsio Sosa-914.45
805818-Odete Vasques-11640.34
405352-Ximena Castilho-19449.46
78016-Odilia Bello-5416.08
88762-Neuza Francia-6563.58
632223-Regina Barcellos-7841.39
141639-Filomena Barrios-11660.65
733606-Judite Damasceno-14577.41
734531-Camila Gabeira-8025.16
465249-Almor Caiado-19926.60
702200-Estanislau Beserra-6485.71
546105-Andreia Moita-10923.77
959828-Almerinda Palmeira-2832.99
447725-Jorgina Bogalho-7753.77
322349-Emedlio Pimentel-9084.65
582618-Aludsio Sosa-6576.14
844150-Antonio Castelo-21287.56
231092-Cassandra Varejo-20670.06
53846-Neeamia Arruda-6222.56
425265-Ximena Castilho-7947.22
492620-Trajano Fagundes-4969.40
5311-Liana Cardim-2900.03
552317-Quintino Alcantara-5099.63
561519-Armindo Castalo-11214.10
695424-Manuel Capiperibe-13057.33
186812-Emedlia Silvera-8438.32
817017-Zungela Ipiranga-11596.76
28180-Celeste Duarte-17739.07
980700-Oliveira Carmona-13334.77
965521-Delfina Perdigon-8964.19
610718-Sidfnio Frois-20599.11
343363-Urbano Rodrigues-6204.33
969275-Emedlio Pimentel-20369.85
377453-Judite Damasceno-18120.63
678618-Clara Alcantara-4872.75
961532-Angilica Galante-8664.62
858420-Flamednia Leiria-15862.79
510919-Clarindo Areosa-16653.07
201693-Adelino Barra-4138.04
148919-Fulvio Villegas-7817.69
817848-Lurdes Cotrim-4668.97
943384-Eurico Siqueira-1177.56
555280-Ermelinda Quintela-8267.25
646069-Jorgina Bogalho-7296.19
663475-Ximena Castilho-6018.14
413497-Almerinda Palmeira-13517.76
995105-Polibe Olivares-14896.34
768800-Domingos Pas-9966.62
965675-Sidfnio Frois-19398.63
155928-Lina Andrade-6465.29
764825-Angelica Aranha-588.63
284986-Mercia Caeira-6738.06
754427-Jonatas Felgueiras-6338.78
725464-Ximena Castilho-4490.40
275969-Anfnia Seixas-12407.04
617718-Andreia Moita-196.33
904821-Celeste Duarte-19246.29
986997-Jonatas Felgueiras-16729.14
892428-Ermelinda Quintela-10383.96
118164-Ermelinda Quintela-13545.52
597024-Ermelinda Quintela-13703.17
488782-Oliveira Carmona-9981.18
136802-Tibefarcio Colao-8583.89
510358-Domingos Pas-8406.30
19607-Urbano Rodrigues-6094.23
343168-Lina Andrade-6520.40
442573-Regina Barcellos-18349.45
692594-Adelino Barra-14494.49
120503-Adelina Quadros-11608.58
927992-Delfina Garcia de Gondim-13829.76
747629-Domingos Pas-7500.89
946318-Clara Alcantara-18765.78
467445-Feledcia Peassego-5852.31
349937-Polibe Olivares-19977.41
788919-Sidfnio Frois-4012.77
931516-Leonidas Mafra-6926.20
707576-Angelica Aranha-20760.63
144908-Almor Caiado-17462.72
495961-Delfina Garcia de Gondim-6999.09
242762-Neeamia Arruda-8768.37
57590-Emedlia Silvera-7761.01
705272-Emedlio Pimentel-4565.63
470794-Esperada Cardoso-5920.31
141287-Honorina Lira-18163.81
442215-Odete Vasques-2836.86
165899-Antonio Castelo-15296.18
930058-Daniel Vieyra-12788.42
672216-Silvio Mata-14559.86
863019-Heleedsa Marins-15864.82
427599-Andreia Moita-5612.41
967768-Trajano Fagundes-18822.99
113256-Adelina Quadros-4775.21
836492-Joaquim Rufino-16399.92
306982-Trajano Fagundes-19331.33
35085-Judite Damasceno-500.91
524056-Romo Paranage-8952.57
666120-Spnia ou Sonia Guerreiro-8257.04
871145-Joaquim Rufino-16763.76
864431-Quintino Alcantara-6017.55
766481-Mercia Caeira-9101.83
21638-Zulmira Becerra-18371.51
377531-Adelino Barra-19852.64
296832-Honorina Lira-10836.17
763336-Tarrataca Soares-18649.24
610630-Filomena Barrios-20319.59
660336-Taercio Mafra-19859.99
327618-Anfnia Seixas-2721.82
352757-Spnia ou Sonia Guerreiro-11140.53
880661-Tarrataca Soares-19629.17
890940-Ermelinda Quintela-13712.00
142707-Angelica Aranha-2157.38
726257-Dulce Froes-14201.16
830510-Guida Juca-11459.29
926262-Adelina Quadros-21326.92
671151-Ermelinda Quintela-19018.19
23745-Romo Paranage-7369.96
117239-Guida Juca-1678.40
947100-Antonio Castelo-14731.93
636488-Andreia Moita-18140.73
113829-Rodolfo Paz-6294.80
257666-Gaudancio Fiees-6281.40
584825-Ubaldo Mainha-15448.66
175856-Delfina Garcia de Gondim-17096.96
899957-Zulmira Becerra-6151.39
64109-Heleedsa Marins-1943.26
703398-Ermelinda Quintela-4973.50
341880-Ubaldo Mainha-2719.84
678380-Manuel Capiperibe-3439.31
67691-Estanislau Beserra-2420.84
890597-Lina Andrade-5681.98
429930-Tabalipa Duarte-849.72
707328-Daniel Vieyra-6295.56
616676-Odilia Camello-20397.32
454804-Romo Paranage-11041.48
501402-Ubaldo Mainha-18352.13
883452-Joaquim Rufino-19699.16
777641-Adelino Barra-13467.74
995236-Honorina Lira-2379.69
921698-Tibefarcio Colao-19050.37
437690-Antonio Castelo-18684.44
434150-Guida Juca-14993.90
86491-Antonio Viegas-10136.14
604616-Regina Barcellos-18312.30
335389-Lina Andrade-8032.01
721424-Urbano Rodrigues-622.19
917519-Sara Lameiras-15101.03
980123-Almerinda Palmeira-15888.80
26477-Adelino Barra-4663.92
3680-Flor Portella-17633.13
64572-Emedlio Pimentel-8512.68
322983-Antonio Viegas-5072.18
552931-Armindo Castalo-13593.05
855593-Flamednia Leiria-6574.26
406826-Quintino Alcantara-1112.77
106586-Neuza Francia-3359.99
535334-Lurdes Cotrim-15259.16
396469-Urbano Rodrigues-20308.96
31871-Moaci Mendoa-21229.23
152625-Spnia ou Sonia Guerreiro-21459.27
310069-Zulmira Becerra-1945.07
943858-Armanda Amorim-11318.30
967568-Neuza Francia-7479.00
121233-Feledcia Peassego-18197.55
505177-Jonatas Felgueiras-20921.62
606907-Gaudancio Fiees-5217.85
927827-Aludsio Sosa-10913.20
351389-Ermelinda Quintela-14757.17
171585-Guaraci Damasceno-8742.65
900003-Ermelinda Quintela-16724.18
941991-Zungela Ipiranga-14802.44
767941-Ximena Castilho-187.04
812005-Delfim Higuera-9346.72
160674-Almerinda Palmeira-9467.93
451267-Almor Caiado-18862.98
19175-Telma Villalobos-2614.22
585822-Marilda Leio-4293.49
585078-Judite Damasceno-17527.01
997067-Celeste Duarte-15253.89
848266-Armanda Amorim-2138.05
626003-Odilia Camello-17287.47
427554-Flor Portella-4790.31
575904-Emedlio Pimentel-12668.43
107631-Anfnia Seixas-11565.20
427385-Antonio Castelo-8054.88
909288-Cassandra Varejo-3250.24
692630-Letedcia Gago-511.26
796393-Emedlia Silvera-15097.11
133400-Henrique Bento-2892.24
251873-Neeamia Arruda-6600.73
788085-Domingos Pas-4732.15
84811-Elisa Themes-20706.42
85907-Taercio Mafra-1417.35
758943-Delfina Garcia de Gondim-18768.42
741504-Emiliana Foquio-5057.86
22415-Basilio Pedroso-2682.12
241288-Odete Vasques-16859.04
809597-Andreia Moita-15552.17
595085-Anfnia Seixas-13518.67
769335-Delfina Garcia de Gondim-19501.19
265056-Adelino Barra-7274.23
507887-Rodolfo Paz-13115.08
298472-Micaela Chavez-15735.94
932466-Edgar Carvalheiro-3008.69
86895-Sidfnio Frois-5876.11
762081-Polibe Olivares-251.49
944497-Henrique Bento-10223.91
252669-Nuno Balsemeo-18612.00
788026-Feledcia Peassego-21467.95
547635-Emiliana Foquio-12570.81
379763-Basilio Pedroso-15533.46
943117-Letedcia Gago-4693.70
665250-Letedcia Gago-6316.69
605716-Adelino Barra-11596.01
421200-Almerinda Palmeira-10622.05
22737-Camila Gabeira-11449.67
835965-Clara Alcantara-17329.11
553516-Oliveira Senchez-7296.80
520838-Artur Grillo-17924.68
354979-Tabalipa Duarte-9155.32
824165-Nuno Balsemeo-9064.28
716481-Eurico Siqueira-908.88
633090-Emiliana Foquio-5395.53
143548-Filomena Barrios-2466.75
39501-Henrique Bento-10890.96
546103-Spnia ou Sonia Guerreiro-14251.19
202121-Odilia Camello-15229.55
765195-Delfina Perdigon-9210.25
528571-Manuel Capiperibe-11745.46
603685-Sara Lameiras-14879.01
276225-Neuza Francia-16637.25
811247-Celeste Duarte-2819.58
716639-Daniel Vieyra-8015.91
290873-Heleedsa Marins-5012.51
982768-Clara Alcantara-18292.90
879218-Sara Lameiras-10783.53
258657-Leonidas Mafra-4210.71
65582-Jorgina Bogalho-8798.36
552663-Emiliana Foquio-208.81
507926-Guaraci Damasceno-21384.85
511709-Daniel Vieyra-20472.77
460129-Sidfnio Frois-13006.05
296303-Emiliana Foquio-3678.38
685480-Emedlio Pimentel-20281.29
749730-Tabalipa Duarte-9986.28
910252-Guaraci Damasceno-4890.24
706135-Delfim Higuera-16442.82
973346-Jussara Varanda-19023.48
781751-Judite Damasceno-19929.00
619486-Telma Villalobos-15609.25
390585-Honorina Lira-15219.53
886510-Melinda Roserio-6349.29
