302263-Ermelinda Quintela-13471.17
384166-Cleusa Goes-8170.76
451957-Ermelinda Quintela-6743.34
211169-Joaquim Rufino-19042.49
41768-Estanislau Beserra-6530.68
364542-Feledcia Peassego-10300.03
390066-Anfnia Seixas-16138.98
88460-Artur Grillo-21305.02
866059-Anfnia Seixas-14416.92
592753-Cleusa Goes-21296.80
626385-Urbano Rodrigues-11584.99
820574-Almor Caiado-904.00
409998-Esperada Cardoso-12668.51
281387-Emiliana Foquio-14820.63
441092-Ubaldo Mainha-6826.21
757231-Taercio Mafra-2355.02
110472-Emedlia Silvera-4428.92
913633-Odilia Camello-3244.97
582947-Anfnia Seixas-9673.63
931356-Mercia Caeira-18329.55
993780-Eurico Siqueira-10660.98
689328-Rebeca Neto-10669.19
461332-Oliveira Senchez-10108.45
84122-Trajano Fagundes-17181.26
955757-Rebeca Neto-19145.68
411704-Liana Cardim-2778.41
870298-Leonidas Mafra-2324.68
743185-Branco Saraba-8903.82
634810-Emedlia Silvera-3594.81
734871-Liana Cardim-21224.12
515338-Cassandra Varejo-21019.22
311178-Almor Caiado-16451.28
506557-Emedlio Pimentel-15691.06
69785-Anfnia Seixas-4007.06
212030-Odilia Camello-441.78
458709-Neeamia Arruda-11525.90
723420-Tarrataca Soares-4609.77
879878-Taercio Mafra-17307.20
532895-Guaraci Damasceno-6498.71
64883-Anfnia Seixas-8076.06
68594-Almor Caiado-386.38
170415-Quintiliano Sousa de Arronches-16489.49
190918-Sidfnio Frois-14339.72
572807-Branco Saraba-6605.58
597468-Angilica Galante-8107.70
705993-Adelino Barra-4197.45
139262-Fulvio Villegas-18704.68
556803-Delfim Higuera-13108.65
872250-Odilia Bello-12129.14
152197-Emedlio Pimentel-3964.95
877058-Telma Villalobos-6945.64
524261-Oliveira Senchez-10257.34
815839-Camila Gabeira-3094.41
729475-Heleedsa Marins-17040.14
349292-Liana Cardim-4851.28
663751-Delfina Perdigon-7148.34
51852-Odilia Bello-5234.90
932949-Gaudancio Fiees-1435.63
50229-Augusta Paio-4654.35
38501-Carminda Morais-18485.87
632637-Neeamia Arruda-21204.64
380679-Sara Lameiras-12355.05
77455-Mercia Caeira-8388.37
262225-Antonio Viegas-3520.83
4774-Celeste Duarte-1759.48
33485-Quintiliano Sousa de Arronches-3546.12
290715-Urbano Rodrigues-20406.64
48939-Odete Vasques-14001.13
671685-Ubaldo Mainha-1636.80
724552-Neeamia Arruda-11287.18
272423-Almerinda Palmeira-8078.67
383893-Guida Juca-13872.48
745728-Elisa Themes-2208.42
548847-Fulvio Villegas-8901.04
366057-Adelino Barra-19081.09
827530-Lina Andrade-19381.42
639259-Carminda Morais-13999.49
424156-Dulce Froes-165.15
288079-Odilia Camello-12461.87
586926-Mercia Caeira-20069.11
472896-Zungela Ipiranga-5477.00
855750-Manuel Capiperibe-18580.84
743398-Regina Barcellos-5213.46
984383-Clarindo Areosa-11418.95
791828-Tibefarcio Colao-11287.77
64081-Guaraci Damasceno-9671.21
948541-Neeamia Arruda-13717.60
13412-Dulce Froes-7187.01
707995-Quintino Alcantara-12989.89
82520-Delfina Perdigon-14305.76
175488-Aludsio Sosa-8145.65
135887-Cleusa Goes-15714.21
377101-Cleusa Goes-6416.80
943881-Carminda Morais-10116.65
131156-Oliveira Senchez-8859.73
427348-Lurdes Cotrim-4405.53
898648-Liana Cardim-300.18
319417-Armanda Amorim-16950.32
254948-Ximena Castilho-3932.56
893278-Jonatas Felgueiras-5833.39
