683526-Henrique Bento-14644.55
469266-Adelina Quadros-17984.92
389574-Manuel Capiperibe-16424.70
848733-Delfina Perdigon-5502.67
413475-Armanda Amorim-1843.73
628195-Antonio Viegas-16000.51
89659-Flor Portella-4820.57
923334-Tibefarcio Colao-3393.47
617220-Angelica Aranha-12025.97
183690-Letedcia Gago-4615.20
790982-Angelica Aranha-14672.03
325184-Guida Juca-5961.89
129336-Fulvio Villegas-18375.78
121998-Honorina Lira-4839.43
563079-Augusta Paio-6523.57
815591-Sara Lameiras-6085.01
187754-Sara Lameiras-16195.91
100498-Anind Zarco-7110.31
646043-Gaudancio Fiees-17066.48
311749-Sara Lameiras-1793.48
945559-Zungela Ipiranga-14371.39
33965-Rodolfo Paz-3949.81
646865-Tarrataca Soares-4731.10
730110-Domingos Pas-3687.48
80662-Gaudancio Fiees-9573.11
320929-Manuel Capiperibe-3716.43
611912-Sofras Cuaresma-15418.31
476247-Gaudancio Fiees-13254.48
171255-Polibe Olivares-1626.10
979902-Guida Juca-13709.22
824537-Judite Damasceno-1603.84
872336-Fulvio Villegas-1429.34
108917-Daniel Vieyra-9695.81
956558-Almor Caiado-21353.11
231288-Lina Andrade-20429.08
379287-Lurdes Cotrim-8767.46
28749-Neuza Francia-2368.74
785686-Danilo Olaio-6053.50
573432-Danilo Olaio-1740.38
525560-Polibe Olivares-1455.34
825760-Ermelinda Quintela-9813.58
265015-Mercia Caeira-20012.31
201212-Antonio Viegas-16538.56
247337-Basilio Pedroso-17768.13
41740-Emedlia Silvera-7065.60
663853-Sidfnio Frois-12429.40
929266-Ximena Castilho-18469.68
542087-Anfnia Seixas-19907.54
602813-Quintiliano Sousa de Arronches-2378.44
273839-Zungela Ipiranga-4423.69
383268-Liana Cardim-6361.95
876657-Angilica Galante-1089.76
304325-Cleusa Goes-14031.78
313135-Adelina Quadros-6969.41
665903-Micaela Chavez-5064.99
926939-Neuza Francia-17891.63
449875-Celeste Duarte-6216.09
846624-Liana Cardim-6931.51
593433-Domingos Pas-11817.54
894263-Manuel Capiperibe-1025.44
212662-Judite Damasceno-9739.27
405873-Armindo Castalo-18088.04
346232-Emedlio Pimentel-6026.25
142657-Ximena Castilho-4724.54
784409-Honorina Lira-14061.20
470074-Anfnia Seixas-11515.63
127995-Silvio Mata-5855.30
754216-Zulmira Becerra-20923.76
650775-Clarindo Areosa-19824.86
391106-Eurico Siqueira-4298.97
17120-Polibe Olivares-18751.09
321874-Nuno Balsemeo-8570.31
119439-Tarrataca Soares-15243.78
94675-Urbano Rodrigues-12360.37
527625-Leonidas Mafra-17688.21
460028-Liana Cardim-16818.07
72089-Estanislau Beserra-704.52
293076-Flamednia Leiria-9292.06
665074-Edgar Carvalheiro-19538.57
307250-Sofras Cuaresma-12347.64
493442-Joaquim Rufino-13617.81
123270-Tibefarcio Colao-8236.20
557041-Branco Saraba-18767.39
131782-Zungela Ipiranga-16293.50
644278-Flamednia Leiria-7783.94
309488-Armindo Castalo-19778.54
537999-Quintino Alcantara-5744.43
296038-Liana Cardim-14847.36
946581-Mercia Caeira-11069.17
599414-Emiliana Foquio-6227.41
665151-Cassandra Varejo-1347.50
840103-Rodolfo Paz-6168.74
562847-Edgar Carvalheiro-17304.31
663265-Antonio Castelo-19305.62
316716-Augusta Paio-16897.23
307611-Zungela Ipiranga-2665.49
106024-Odilia Camello-9600.87
872654-Oliveira Carmona-608.99
845365-Henrique Bento-18088.46
191285-Regina Barcellos-17439.62
