562248-Neuza Francia-17517.95
538404-Ximena Castilho-20432.28
731902-Almor Caiado-8403.59
682755-Basilio Pedroso-9538.72
902837-Quintiliano Sousa de Arronches-20544.21
357013-Zungela Ipiranga-15545.51
44853-Gaudancio Fiees-18684.04
522878-Lina Andrade-4275.90
577926-Adelino Barra-9461.82
721643-Zulmira Becerra-6156.44
915278-Anind Zarco-6862.06
435598-Ubaldo Mainha-18577.44
115096-Tibefarcio Colao-2229.93
618951-Angilica Galante-18756.75
264119-Honorina Lira-5060.95
251096-Estanislau Beserra-4469.68
648496-Leonidas Mafra-10340.13
927442-Angelica Aranha-8170.52
514154-Jonatas Felgueiras-14146.30
523055-Tibefarcio Colao-18153.52
116306-Clarindo Areosa-14427.83
20566-Antonio Castelo-18392.19
669314-Almerinda Palmeira-10248.50
677106-Zungela Ipiranga-20934.69
557014-Emiliana Foquio-1252.50
890917-Emedlia Silvera-15335.01
776057-Feledcia Peassego-8466.66
581615-Daniel Vieyra-6041.09
977021-Spnia ou Sonia Guerreiro-6686.24
70330-Eurico Siqueira-20971.47
807322-Polibe Olivares-12557.79
750245-Antonio Castelo-20438.00
470209-Feledcia Peassego-619.85
666411-Oliveira Senchez-4456.63
54310-Rodolfo Paz-20012.20
53097-Dulce Froes-3406.27
503432-Rodolfo Paz-13134.03
482873-Odilia Camello-3455.01
30650-Cassandra Varejo-119.94
208337-Oliveira Senchez-12590.65
253929-Spnia ou Sonia Guerreiro-4073.88
599058-Moaci Mendoa-2906.55
162969-Liana Cardim-6191.25
93462-Liana Cardim-16157.92
9490-Cleusa Goes-8613.62
175171-Angilica Galante-10094.15
357954-Zungela Ipiranga-3594.35
206335-Angilica Galante-20929.18
164108-Tabalipa Duarte-5844.65
261781-Zungela Ipiranga-15436.73
22408-Emedlio Pimentel-3434.44
562295-Camila Gabeira-5740.43
418362-Antonio Viegas-19272.05
776273-Melinda Roserio-11328.15
280432-Delfina Perdigon-2843.41
36909-Flamednia Leiria-16545.16
903916-Tarrataca Soares-3343.91
690216-Lina Andrade-14655.97
493775-Rodolfo Paz-13572.77
775263-Tibofarcio Camacho-6780.56
637714-Dulce Froes-15250.78
888450-Delfina Garcia de Gondim-8591.57
794068-Guaraci Damasceno-7240.91
341130-Regina Barcellos-11818.68
679695-Almor Caiado-5306.64
896776-Heleedsa Marins-7717.01
529120-Heleedsa Marins-981.22
596509-Sidfnio Frois-19708.12
614522-Dulce Froes-2928.22
581103-Lina Andrade-15185.97
253647-Guida Juca-4647.51
853378-Edgar Carvalheiro-18336.40
12058-Romo Paranage-16209.50
892657-Judite Damasceno-4458.08
588637-Manuel Capiperibe-20714.87
625840-Delfim Higuera-9169.00
695789-Lina Andrade-1389.46
156438-Manuel Capiperibe-970.59
730474-Esperada Cardoso-7366.73
98358-Domingos Pas-4947.71
521870-Emedlia Silvera-9150.24
23418-Flamednia Leiria-1933.94
198003-Odete Vasques-10514.06
463985-Delfina Perdigon-11212.99
113991-Emedlia Silvera-15358.88
428453-Branco Saraba-4320.30
960632-Odete Vasques-16117.26
98093-Silvio Mata-11143.98
80107-Polibe Olivares-4056.45
367745-Neeamia Arruda-8427.43
768975-Anfnia Seixas-9562.65
437863-Rebeca Neto-1238.05
746506-Liana Cardim-13520.03
521677-Fulvio Villegas-10699.83
620858-Celeste Duarte-4596.14
207393-Ermelinda Quintela-515.59
210762-Taercio Mafra-6175.19
643733-Filomena Barrios-1081.34
651872-Micaela Chavez-4942.14
333348-Fulvio Villegas-20685.81
