541925-Telma Villalobos-8837.65
757426-Lurdes Cotrim-13949.57
378716-Anfnia Seixas-10195.10
636560-Adelino Barra-10693.79
299414-Lina Andrade-10089.56
270464-Artur Grillo-14071.86
828787-Esperada Cardoso-5901.10
597492-Fulvio Villegas-9735.26
642028-Jorgina Bogalho-4375.81
491687-Antonio Viegas-15881.28
462062-Cleusa Goes-2351.86
304852-Angilica Galante-19829.44
338765-Ubaldo Mainha-7938.39
505326-Nuno Balsemeo-4749.91
797828-Estanislau Beserra-18442.91
381740-Marilda Leio-1210.78
272554-Domingos Pas-34.23
758692-Tibofarcio Camacho-6160.20
271389-Emiliana Foquio-13156.62
658542-Melinda Roserio-7056.70
398505-Clarindo Areosa-19201.32
386729-Jonatas Felgueiras-19049.54
848536-Anfnia Seixas-8808.09
336884-Clarindo Areosa-10783.14
204454-Almerinda Palmeira-19191.12
543945-Gaudancio Fiees-3780.10
69108-Domingos Pas-12832.83
703939-Andreia Moita-9145.58
381082-Lurdes Cotrim-14318.29
639116-Aludsio Sosa-14110.04
541232-Lurdes Cotrim-15654.02
629355-Clara Alcantara-6313.05
177263-Heleedsa Marins-36.70
80024-Judite Damasceno-7020.07
457847-Spnia ou Sonia Guerreiro-16482.12
159202-Lina Andrade-17037.56
421848-Estanislau Beserra-1283.41
107278-Antonio Castelo-18070.45
329336-Daniel Vieyra-12709.42
730049-Rodolfo Paz-11050.98
284754-Taercio Mafra-7501.56
4567-Emedlio Pimentel-4413.01
677990-Mercia Caeira-139.95
676491-Emiliana Foquio-2620.75
505397-Almor Caiado-16605.33
446184-Nuno Balsemeo-17586.92
396944-Fulvio Villegas-6776.30
146583-Antonio Castelo-5682.54
970147-Antonio Castelo-20465.83
622672-Delfim Higuera-21333.13
795405-Rebeca Neto-15341.14
370499-Silvio Mata-216.35
767387-Anind Zarco-16483.13
834607-Judite Damasceno-8525.06
909041-Adelina Quadros-8600.11
711497-Urbano Rodrigues-14424.58
785919-Fulvio Villegas-8303.71
685064-Odilia Bello-3070.34
661927-Spnia ou Sonia Guerreiro-7870.04
581238-Honorina Lira-15546.27
114817-Clara Alcantara-18734.22
803896-Lina Andrade-11613.09
794182-Eurico Siqueira-495.93
779290-Antonio Castelo-6894.27
355596-Rebeca Neto-16353.36
464597-Sara Lameiras-2405.64
781845-Dulce Froes-3563.50
729190-Moaci Mendoa-21110.35
446614-Ximena Castilho-8692.13
747101-Honorina Lira-493.11
393405-Liana Cardim-7564.26
153927-Neeamia Arruda-15932.30
549587-Mercia Caeira-8535.40
774727-Odilia Bello-6988.36
22190-Odete Vasques-13911.91
281021-Moaci Mendoa-2961.72
997404-Rodolfo Paz-13199.54
600987-Antonio Castelo-8452.00
238353-Celeste Duarte-15876.46
879650-Neuza Francia-12989.10
663902-Elisa Themes-21123.03
386513-Fulvio Villegas-12669.74
934334-Eurico Siqueira-9320.39
558402-Delfina Garcia de Gondim-6083.31
126026-Lurdes Cotrim-11483.53
546249-Flamednia Leiria-12646.34
530568-Clarindo Areosa-2521.48
348549-Trajano Fagundes-10887.49
234312-Delfina Perdigon-19339.87
849785-Carminda Morais-14273.83
259854-Artur Grillo-11235.63
612039-Emedlio Pimentel-7484.66
193884-Heleedsa Marins-14634.00
832276-Tarrataca Soares-11704.75
306505-Odete Vasques-5591.17
488518-Clara Alcantara-12646.64
842914-Delfina Perdigon-13801.94
151537-Oliveira Senchez-12620.59
176282-Oliveira Senchez-8738.10
363763-Daniel Vieyra-10846.60
