761982-Taercio Mafra-13133.75
562002-Guida Juca-1801.27
471832-Armindo Castalo-2052.21
265171-Letedcia Gago-5781.03
897282-Domingos Pas-18205.66
283282-Oliveira Senchez-16351.09
203844-Adelino Barra-6672.63
938972-Henrique Bento-10256.88
268403-Domingos Pas-7634.50
234032-Oliveira Carmona-1834.55
325922-Almerinda Palmeira-7572.17
867269-Judite Damasceno-7997.79
758169-Spnia ou Sonia Guerreiro-4637.67
35083-Ermelinda Quintela-3355.48
761392-Rebeca Neto-2519.62
19974-Jonatas Felgueiras-2037.62
650701-Tabalipa Duarte-2289.65
847703-Neuza Francia-15519.04
740453-Branco Saraba-14316.89
470136-Flor Portella-13164.40
45610-Jorgina Bogalho-11942.82
512264-Melinda Roserio-6816.65
105770-Antonio Castelo-18104.24
920410-Delfina Perdigon-17629.75
838547-Romo Paranage-15312.53
838726-Neuza Francia-8287.89
464234-Zungela Ipiranga-12074.40
352723-Judite Damasceno-20922.88
445343-Armindo Castalo-19465.44
988160-Angilica Galante-5495.31
985604-Polibe Olivares-17395.76
199657-Artur Grillo-3876.05
708673-Oliveira Carmona-9687.11
984484-Neuza Francia-15406.31
324965-Jussara Varanda-5339.86
111047-Celeste Duarte-19168.25
658716-Emedlio Pimentel-8818.05
688167-Angelica Aranha-2436.74
622022-Rodolfo Paz-10281.20
761387-Trajano Fagundes-18511.08
340294-Moaci Mendoa-7486.10
233723-Aludsio Sosa-6253.26
276237-Melinda Roserio-1335.51
258711-Emiliana Foquio-18845.35
732580-Honorina Lira-19188.60
975587-Gaudancio Fiees-4884.88
7708-Oliveira Senchez-20921.46
995996-Regina Barcellos-5163.51
788154-Rebeca Neto-16079.73
124636-Estanislau Beserra-3562.51
508281-Almerinda Palmeira-2251.07
984699-Oliveira Senchez-2613.41
66155-Odilia Bello-11466.17
858419-Angelica Aranha-3963.93
798253-Andreia Moita-19211.25
724204-Honorina Lira-8096.17
991350-Moaci Mendoa-381.41
580278-Guida Juca-8141.37
843710-Aludsio Sosa-9349.25
226989-Guaraci Damasceno-1995.66
234628-Emedlio Pimentel-13050.75
852231-Adelino Barra-16960.59
312158-Honorina Lira-17601.25
806730-Melinda Roserio-3185.00
869488-Antonio Viegas-10592.98
309045-Ubaldo Mainha-2215.39
720097-Tabalipa Duarte-18695.30
310415-Quintino Alcantara-4426.27
251815-Clarindo Areosa-4794.71
682671-Jussara Varanda-8606.98
848018-Celeste Duarte-12899.32
637206-Silvio Mata-3683.01
767607-Angelica Aranha-8686.13
31810-Gaudancio Fiees-7769.36
688527-Eurico Siqueira-19778.06
986689-Telma Villalobos-20951.15
901884-Filomena Barrios-16173.51
958172-Daniel Vieyra-4891.78
151551-Micaela Chavez-13744.30
786526-Ubaldo Mainha-15861.12
987733-Angelica Aranha-14804.77
779806-Guaraci Damasceno-12826.30
631092-Guaraci Damasceno-12539.14
124099-Rodolfo Paz-3934.62
633597-Almor Caiado-12451.51
441489-Odete Vasques-14351.38
271979-Emedlio Pimentel-17730.39
665474-Cassandra Varejo-1495.14
685899-Mercia Caeira-16736.66
693316-Ermelinda Quintela-8379.68
882012-Quintiliano Sousa de Arronches-21369.56
35670-Cleusa Goes-4332.52
973817-Romo Paranage-17178.83
41316-Henrique Bento-13085.24
44897-Zulmira Becerra-16711.57
370401-Romo Paranage-17175.99
326872-Almor Caiado-16693.87
150761-Urbano Rodrigues-12485.69
152481-Tibefarcio Colao-8977.71
100201-Artur Grillo-10964.65
