112983-Anfnia Seixas-789.36
179079-Manuel Capiperibe-3216.92
608739-Judite Damasceno-3504.96
439763-Delfina Perdigon-3919.65
57931-Quintino Alcantara-1758.63
575096-Ermelinda Quintela-14170.55
749427-Antonio Viegas-11249.02
837355-Guaraci Damasceno-9851.66
952739-Armanda Amorim-12768.89
320298-Quintiliano Sousa de Arronches-6458.93
331982-Polibe Olivares-2795.22
948743-Tibofarcio Camacho-20727.02
332706-Danilo Olaio-20398.27
297060-Emedlia Silvera-20632.66
986890-Oliveira Carmona-17588.41
930020-Domingos Pas-7539.32
246310-Sara Lameiras-13326.81
958220-Rodolfo Paz-11190.35
950168-Manuel Capiperibe-16839.88
125032-Jonatas Felgueiras-12168.25
153561-Sofras Cuaresma-6546.73
601338-Fulvio Villegas-13806.22
257581-Urbano Rodrigues-3224.71
409359-Antonio Castelo-16597.68
526446-Antonio Viegas-15432.71
507021-Andreia Moita-18222.01
542651-Rebeca Neto-19324.47
512586-Anfnia Seixas-1959.22
132568-Domingos Pas-20058.72
157530-Adelino Barra-14055.13
591938-Jussara Varanda-17426.67
548775-Aludsio Sosa-9487.85
207120-Liana Cardim-14930.42
724769-Danilo Olaio-15784.52
25132-Sidfnio Frois-15969.78
166142-Artur Grillo-17244.85
755599-Judite Damasceno-12305.44
26579-Artur Grillo-12400.57
849140-Ubaldo Mainha-5907.06
176023-Lina Andrade-5593.80
327524-Silvio Mata-17919.71
668331-Honorina Lira-2730.37
630835-Guida Juca-2227.60
64094-Jorgina Bogalho-15334.85
781521-Letedcia Gago-19735.10
286357-Rodolfo Paz-11541.92
508623-Anfnia Seixas-19769.48
694629-Odete Vasques-14794.91
286243-Jorgina Bogalho-7808.56
782690-Neeamia Arruda-15650.33
792650-Cleusa Goes-7538.76
986037-Jussara Varanda-11495.45
480540-Leonidas Mafra-19851.76
17388-Domingos Pas-14357.56
522294-Silvio Mata-11610.54
521703-Ermelinda Quintela-5568.57
6284-Tabalipa Duarte-14453.65
551393-Neeamia Arruda-14640.60
669616-Tibofarcio Camacho-8088.62
493521-Tabalipa Duarte-14856.45
696991-Antonio Viegas-6049.54
388315-Augusta Paio-20569.40
116270-Almor Caiado-3479.37
604328-Telma Villalobos-12659.54
93610-Henrique Bento-20944.77
609249-Mercia Caeira-1355.15
833738-Liana Cardim-14085.21
6326-Delfina Garcia de Gondim-7015.89
186296-Fulvio Villegas-14022.58
222787-Adelina Quadros-19537.52
324528-Anfnia Seixas-7679.65
786338-Jonatas Felgueiras-17843.54
309253-Filomena Barrios-9809.86
524108-Branco Saraba-7281.07
11351-Esperada Cardoso-4117.17
552501-Manuel Capiperibe-20053.26
950269-Clarindo Areosa-2206.76
229628-Quintiliano Sousa de Arronches-13296.83
85209-Zungela Ipiranga-3693.85
803254-Flamednia Leiria-2681.24
682806-Quintino Alcantara-4434.49
516515-Rodolfo Paz-16492.35
806771-Angelica Aranha-7400.61
34114-Liana Cardim-18485.85
732283-Oliveira Senchez-21155.96
423574-Tibefarcio Colao-5546.65
629688-Guida Juca-20176.15
356911-Romo Paranage-15073.61
189340-Armanda Amorim-4879.63
796592-Rodolfo Paz-19157.66
155835-Rebeca Neto-8339.65
996766-Moaci Mendoa-21424.82
707699-Angilica Galante-14558.05
404905-Anind Zarco-12693.56
209064-Lina Andrade-7016.04
246492-Armindo Castalo-18470.28
610084-Tabalipa Duarte-5461.74
166284-Flamednia Leiria-3550.47
405066-Angilica Galante-19752.36
29078-Quintiliano Sousa de Arronches-3665.49
