88789-Sidfnio Frois-20594.80
137112-Adelino Barra-18101.66
905158-Anfnia Seixas-10211.44
545651-Sara Lameiras-5418.14
373595-Tarrataca Soares-12969.52
541092-Liana Cardim-9233.58
169591-Neuza Francia-14956.49
88567-Eurico Siqueira-7178.52
139518-Sara Lameiras-10838.84
205593-Neuza Francia-11836.09
717062-Spnia ou Sonia Guerreiro-5772.14
892098-Lurdes Cotrim-10883.51
546599-Delfina Garcia de Gondim-4567.73
730961-Spnia ou Sonia Guerreiro-7753.18
54144-Guaraci Damasceno-8526.92
602033-Clara Alcantara-9272.33
377145-Anind Zarco-17394.03
621713-Quintino Alcantara-3980.07
921654-Heleedsa Marins-4901.47
323537-Tarrataca Soares-16443.53
741758-Clarindo Areosa-8695.86
639845-Basilio Pedroso-14094.78
220658-Cassandra Varejo-7565.41
945286-Delfina Garcia de Gondim-10412.72
625-Rebeca Neto-15693.26
7972-Clara Alcantara-3294.44
889446-Anind Zarco-8278.22
419654-Lurdes Cotrim-17134.43
317985-Sofras Cuaresma-5048.81
100034-Henrique Bento-4447.21
7175-Rodolfo Paz-6214.63
128198-Leonidas Mafra-9471.03
600215-Estanislau Beserra-10843.23
361087-Delfina Perdigon-20542.69
440115-Augusta Paio-1037.86
210894-Emedlia Silvera-8247.94
730868-Honorina Lira-8456.83
169628-Delfina Perdigon-16621.03
615742-Micaela Chavez-18444.21
208727-Estanislau Beserra-3290.37
670529-Nuno Balsemeo-4470.44
234562-Zungela Ipiranga-6281.73
276572-Emedlia Silvera-19607.73
859512-Anfnia Seixas-6066.50
230693-Anind Zarco-16360.90
927909-Regina Barcellos-16068.18
585896-Honorina Lira-14460.65
65447-Polibe Olivares-7457.51
504629-Emiliana Foquio-20513.67
825094-Domingos Pas-15580.92
866733-Heleedsa Marins-9102.78
887656-Mercia Caeira-9775.13
11355-Joaquim Rufino-10217.90
974842-Daniel Vieyra-17996.49
207051-Micaela Chavez-573.96
741312-Honorina Lira-16593.24
69244-Leonidas Mafra-4924.26
80295-Taercio Mafra-16794.92
710471-Clarindo Areosa-4915.13
277757-Edgar Carvalheiro-17283.38
882187-Neeamia Arruda-15397.21
47289-Neeamia Arruda-5471.25
868556-Trajano Fagundes-18451.36
495261-Delfina Perdigon-756.27
772138-Leonidas Mafra-15878.34
139303-Heleedsa Marins-430.92
356706-Emedlia Silvera-5611.61
638865-Celeste Duarte-18402.42
671759-Emedlio Pimentel-12474.69
587482-Zulmira Becerra-6272.63
111114-Trajano Fagundes-3086.61
429536-Guida Juca-7387.08
260957-Angelica Aranha-3980.93
881950-Liana Cardim-12475.89
668379-Basilio Pedroso-17463.61
367289-Sidfnio Frois-13830.16
390238-Ximena Castilho-17643.73
839474-Leonidas Mafra-415.28
296795-Filomena Barrios-12552.00
266832-Sara Lameiras-10143.04
91030-Melinda Roserio-8769.31
152475-Silvio Mata-17533.61
338823-Micaela Chavez-3261.38
177781-Aludsio Sosa-19120.20
644193-Emiliana Foquio-18682.05
461461-Camila Gabeira-2520.89
370897-Anfnia Seixas-8704.79
441747-Micaela Chavez-20683.18
754305-Regina Barcellos-12301.31
568099-Romo Paranage-9949.15
644534-Zulmira Becerra-9435.22
865799-Almerinda Palmeira-4681.91
828237-Marilda Leio-1160.46
367702-Danilo Olaio-17322.24
12159-Cassandra Varejo-10973.84
533745-Almor Caiado-19468.46
71763-Daniel Vieyra-287.33
499273-Odilia Camello-1991.75
971490-Neeamia Arruda-34.45
127471-Urbano Rodrigues-6890.14
