513612-Guida Juca-13178.75
894900-Rodolfo Paz-5346.15
425735-Dulce Froes-1068.10
977368-Urbano Rodrigues-11950.14
15497-Odilia Camello-9849.64
386953-Micaela Chavez-1770.91
184347-Almor Caiado-8760.37
648723-Ximena Castilho-1354.88
896309-Almor Caiado-7719.79
264154-Adelina Quadros-9874.45
863983-Jussara Varanda-13469.59
62131-Fulvio Villegas-17048.54
456464-Almerinda Palmeira-10607.96
333395-Fulvio Villegas-19037.73
258144-Romo Paranage-4953.05
877917-Domingos Pas-16296.92
329034-Joaquim Rufino-13633.92
720089-Heleedsa Marins-14900.41
728786-Liana Cardim-18659.38
533290-Augusta Paio-7527.18
654942-Edgar Carvalheiro-21245.82
651297-Adelino Barra-18681.61
779395-Angelica Aranha-14451.33
717049-Domingos Pas-10479.83
668595-Aludsio Sosa-2567.58
583777-Quintino Alcantara-16526.36
106259-Aludsio Sosa-7384.81
666211-Judite Damasceno-8662.01
713861-Lurdes Cotrim-15909.30
256472-Danilo Olaio-13939.79
244187-Oliveira Carmona-5591.51
706972-Andreia Moita-4043.18
23373-Adelina Quadros-14640.98
651831-Taercio Mafra-16978.15
569714-Elisa Themes-1530.00
792518-Eurico Siqueira-21095.84
223548-Romo Paranage-13022.06
47153-Armanda Amorim-7543.89
428407-Rodolfo Paz-6016.19
263620-Tibefarcio Colao-16158.75
816946-Fulvio Villegas-4896.36
985072-Guida Juca-7173.43
313777-Ximena Castilho-18563.66
292229-Urbano Rodrigues-6725.35
253823-Telma Villalobos-12171.04
489408-Armindo Castalo-18378.97
360549-Ubaldo Mainha-20171.20
228983-Trajano Fagundes-9706.84
298447-Honorina Lira-1886.29
297729-Emiliana Foquio-15368.92
309173-Aludsio Sosa-14732.25
955019-Gaudancio Fiees-21222.11
435619-Armindo Castalo-10570.41
530368-Melinda Roserio-18703.33
439965-Quintiliano Sousa de Arronches-13151.03
349355-Lina Andrade-17955.92
875021-Tibefarcio Colao-6694.69
606868-Polibe Olivares-8226.98
727461-Cassandra Varejo-9739.97
983365-Emedlia Silvera-5668.11
114699-Heleedsa Marins-9951.20
398355-Emiliana Foquio-6705.91
24953-Ximena Castilho-21450.27
17866-Eurico Siqueira-4400.74
61631-Liana Cardim-15485.14
725960-Spnia ou Sonia Guerreiro-13283.79
803373-Marilda Leio-18892.54
1065-Clarindo Areosa-2383.78
398893-Romo Paranage-14251.05
425265-Nuno Balsemeo-17560.89
860153-Sara Lameiras-6997.20
520502-Basilio Pedroso-8931.18
907736-Carminda Morais-9061.43
851985-Tibofarcio Camacho-4476.77
645478-Regina Barcellos-1902.55
542037-Daniel Vieyra-13509.81
63776-Filomena Barrios-14727.84
538540-Delfina Garcia de Gondim-4253.02
228015-Delfina Garcia de Gondim-13267.01
914297-Tibefarcio Colao-706.42
927819-Jonatas Felgueiras-3415.02
61402-Danilo Olaio-14650.23
786418-Zulmira Becerra-12684.47
571190-Tabalipa Duarte-8088.15
913381-Lurdes Cotrim-19564.61
802014-Gaudancio Fiees-17315.19
70091-Andreia Moita-19295.83
592633-Delfina Garcia de Gondim-10726.38
9214-Fulvio Villegas-21308.66
47294-Edgar Carvalheiro-17832.97
173886-Carminda Morais-5967.41
536394-Anfnia Seixas-17138.02
16821-Estanislau Beserra-15101.05
156471-Judite Damasceno-21306.76
973211-Adelina Quadros-18681.06
528672-Emedlia Silvera-1234.24
97870-Gaudancio Fiees-3724.94
451475-Zulmira Becerra-2096.03
106904-Basilio Pedroso-20206.12
979401-Sidfnio Frois-7881.76
