94467-Fulvio Villegas-5174.22
631455-Cassandra Varejo-2756.05
92272-Sofras Cuaresma-5061.57
301386-Rodolfo Paz-19117.91
73113-Flor Portella-8256.89
317949-Anind Zarco-11635.81
634144-Silvio Mata-18375.87
884266-Cleusa Goes-460.30
88456-Zulmira Becerra-8657.26
613545-Danilo Olaio-8138.57
984235-Telma Villalobos-5184.68
486980-Oliveira Carmona-3826.16
936952-Carminda Morais-1382.25
996338-Delfina Perdigon-10925.26
428571-Polibe Olivares-18745.99
368115-Jussara Varanda-16774.33
441976-Lurdes Cotrim-8015.84
771662-Feledcia Peassego-8984.68
264038-Henrique Bento-13935.57
711089-Marilda Leio-11666.87
130115-Urbano Rodrigues-16766.71
487857-Emedlia Silvera-16466.74
934031-Zungela Ipiranga-19336.11
53603-Adelina Quadros-17091.24
480184-Augusta Paio-20685.52
112312-Dulce Froes-13554.37
809167-Tibefarcio Colao-2803.95
125980-Camila Gabeira-96.83
472373-Jorgina Bogalho-5159.47
545123-Sidfnio Frois-8446.58
475286-Zungela Ipiranga-20137.88
390034-Zulmira Becerra-2457.93
920822-Heleedsa Marins-1112.43
676273-Tibofarcio Camacho-21162.96
957773-Aludsio Sosa-17302.93
871141-Edgar Carvalheiro-19264.05
217972-Feledcia Peassego-17207.31
148764-Antonio Castelo-8033.73
64135-Cassandra Varejo-13678.46
52540-Camila Gabeira-21323.91
727524-Sidfnio Frois-17633.82
589675-Angilica Galante-7792.89
125973-Armindo Castalo-17102.10
306075-Oliveira Senchez-3994.02
609966-Odilia Bello-868.76
498922-Romo Paranage-4997.48
824706-Antonio Viegas-11679.66
545647-Carminda Morais-7456.31
949759-Joaquim Rufino-1312.11
301079-Anfnia Seixas-7182.64
827050-Aludsio Sosa-15259.91
141434-Elisa Themes-20835.81
764793-Ermelinda Quintela-18902.23
631158-Armindo Castalo-7320.46
310485-Augusta Paio-3181.72
282958-Leonidas Mafra-5696.71
693592-Danilo Olaio-6944.96
835202-Leonidas Mafra-9730.41
866473-Quintiliano Sousa de Arronches-14149.91
743426-Tabalipa Duarte-3888.08
527535-Odete Vasques-8866.35
726791-Romo Paranage-6272.93
698524-Carminda Morais-20040.58
396261-Domingos Pas-8332.05
12627-Armanda Amorim-13785.16
989042-Marilda Leio-10753.15
229353-Celeste Duarte-18500.09
435179-Rebeca Neto-11283.60
787989-Flamednia Leiria-18612.27
351918-Estanislau Beserra-11214.87
179506-Ermelinda Quintela-10415.31
514629-Neeamia Arruda-12372.57
430612-Gaudancio Fiees-3404.72
602483-Romo Paranage-613.85
819965-Jussara Varanda-7993.98
209377-Esperada Cardoso-4939.03
269641-Lurdes Cotrim-17921.32
341814-Telma Villalobos-15670.84
455193-Trajano Fagundes-5643.88
75889-Clara Alcantara-10627.40
504980-Telma Villalobos-16329.20
569518-Ximena Castilho-16534.34
443639-Elisa Themes-10603.81
375786-Domingos Pas-17439.84
29820-Judite Damasceno-1413.20
716227-Odilia Bello-8655.29
717965-Urbano Rodrigues-1913.15
244978-Henrique Bento-9606.57
648820-Taercio Mafra-19991.12
279614-Angilica Galante-4267.05
913488-Oliveira Senchez-9272.10
77979-Cleusa Goes-922.95
16228-Ermelinda Quintela-6967.39
426761-Rodolfo Paz-4496.31
738543-Filomena Barrios-1841.77
931497-Elisa Themes-12788.94
543722-Micaela Chavez-5141.28
288218-Armanda Amorim-18873.73
149220-Aludsio Sosa-845.38
882014-Ermelinda Quintela-12618.18
