480334-Andreia Moita-10069.38
648856-Rebeca Neto-6519.20
878712-Honorina Lira-14077.38
134399-Tarrataca Soares-631.88
92493-Rebeca Neto-13177.22
659250-Carminda Morais-7479.85
583132-Ermelinda Quintela-12882.53
515607-Emedlio Pimentel-6556.13
659823-Dulce Froes-19552.16
295925-Neuza Francia-6492.96
994713-Ubaldo Mainha-13417.77
210519-Ubaldo Mainha-529.42
328998-Joaquim Rufino-1908.21
922702-Cassandra Varejo-13589.55
749943-Guida Juca-10555.64
206023-Ermelinda Quintela-8737.39
352394-Delfim Higuera-2068.39
845531-Ermelinda Quintela-17013.54
784467-Melinda Roserio-8505.31
935151-Zulmira Becerra-10638.27
457119-Camila Gabeira-16438.21
433366-Taercio Mafra-9935.48
329562-Sara Lameiras-4173.94
479866-Clara Alcantara-18523.16
302086-Jussara Varanda-20010.66
878786-Flamednia Leiria-18557.88
924324-Manuel Capiperibe-8026.57
256003-Tarrataca Soares-19405.03
684540-Flamednia Leiria-17658.04
361556-Nuno Balsemeo-3662.55
818554-Manuel Capiperibe-16577.12
84924-Danilo Olaio-2046.62
776818-Tabalipa Duarte-9539.92
805653-Aludsio Sosa-10184.71
789476-Marilda Leio-4612.90
853483-Gaudancio Fiees-6001.69
656926-Delfim Higuera-356.09
299289-Estanislau Beserra-558.65
812530-Odete Vasques-13165.50
856473-Judite Damasceno-14779.11
243395-Letedcia Gago-11892.46
968009-Domingos Pas-17923.31
240835-Armindo Castalo-11926.25
907223-Manuel Capiperibe-17284.30
406227-Adelino Barra-4637.36
487791-Oliveira Carmona-6015.89
874289-Cleusa Goes-8682.46
918116-Polibe Olivares-14705.46
981155-Celeste Duarte-19623.58
364227-Neeamia Arruda-10467.31
518833-Polibe Olivares-19349.74
385742-Angelica Aranha-19759.42
914672-Jussara Varanda-157.00
435185-Antonio Viegas-7666.07
943499-Eurico Siqueira-17860.13
741700-Angelica Aranha-7800.17
224927-Guaraci Damasceno-17518.91
801151-Delfina Garcia de Gondim-12093.26
759079-Eurico Siqueira-10928.23
266900-Cleusa Goes-10207.04
202522-Jonatas Felgueiras-13592.23
384498-Ximena Castilho-16186.09
414104-Odilia Camello-20035.23
584512-Odilia Camello-13204.75
701374-Jorgina Bogalho-5879.35
37814-Clarindo Areosa-2671.93
480021-Emedlia Silvera-9584.18
684920-Artur Grillo-5497.35
435448-Heleedsa Marins-12444.94
60488-Augusta Paio-642.77
932865-Marilda Leio-6344.80
779621-Andreia Moita-19968.64
601470-Carminda Morais-16487.95
606543-Odete Vasques-7828.96
734769-Clarindo Areosa-11275.97
876022-Delfim Higuera-9991.51
550797-Antonio Viegas-9991.48
633384-Flor Portella-19958.33
41899-Letedcia Gago-11647.84
790200-Clarindo Areosa-4683.61
242516-Marilda Leio-9532.94
434031-Adelino Barra-2595.90
750488-Flor Portella-3631.92
106559-Almerinda Palmeira-12797.98
937431-Sara Lameiras-16285.33
702954-Romo Paranage-10479.25
177533-Almerinda Palmeira-3179.92
69743-Taercio Mafra-11906.26
697087-Silvio Mata-5801.84
334996-Mercia Caeira-17269.74
250372-Armindo Castalo-13567.33
645735-Sidfnio Frois-8286.83
938289-Odilia Camello-17614.34
509433-Angelica Aranha-18635.41
9087-Liana Cardim-3079.94
105922-Spnia ou Sonia Guerreiro-19776.97
354104-Armanda Amorim-6973.91
266358-Celeste Duarte-17204.61
11252-Romo Paranage-13016.74
573291-Ubaldo Mainha-6855.26
