427867-Nuno Balsemeo-15740.27
927569-Emedlia Silvera-1295.57
345580-Emedlia Silvera-21452.45
894059-Fulvio Villegas-5269.04
600765-Celeste Duarte-16242.36
351002-Dulce Froes-14651.91
604307-Branco Saraba-13058.76
198044-Oliveira Carmona-16524.63
715862-Adelina Quadros-19183.38
771889-Leonidas Mafra-8164.74
378121-Jonatas Felgueiras-7114.19
520691-Esperada Cardoso-16543.46
808178-Mercia Caeira-2462.08
226666-Ubaldo Mainha-11741.02
787911-Oliveira Carmona-7872.19
535485-Fulvio Villegas-18655.70
9168-Artur Grillo-11226.91
848486-Polibe Olivares-19208.89
312460-Cleusa Goes-6941.21
345312-Tibefarcio Colao-20258.93
617070-Edgar Carvalheiro-6127.88
948878-Tabalipa Duarte-1318.25
320917-Quintiliano Sousa de Arronches-17916.33
970736-Quintino Alcantara-18778.59
7831-Flamednia Leiria-13051.64
313557-Marilda Leio-4352.16
810103-Flamednia Leiria-17082.25
698869-Mercia Caeira-15415.90
51045-Jorgina Bogalho-15144.18
257770-Rodolfo Paz-20337.64
455214-Domingos Pas-17718.97
71246-Clara Alcantara-1553.62
549787-Fulvio Villegas-16086.83
236416-Emiliana Foquio-18346.54
541546-Spnia ou Sonia Guerreiro-13601.78
65942-Cleusa Goes-18094.92
160605-Romo Paranage-3528.18
978900-Danilo Olaio-4435.17
686167-Emedlia Silvera-15865.68
514621-Jonatas Felgueiras-14053.42
268854-Zungela Ipiranga-7163.14
294284-Celeste Duarte-2309.01
660658-Armanda Amorim-16034.51
176156-Spnia ou Sonia Guerreiro-7852.04
551090-Zulmira Becerra-10977.46
606077-Moaci Mendoa-11808.11
392954-Ermelinda Quintela-7524.88
404536-Quintiliano Sousa de Arronches-9354.67
522015-Augusta Paio-15031.53
57850-Oliveira Senchez-10021.84
390058-Henrique Bento-14584.53
619357-Clarindo Areosa-13372.64
210979-Emedlia Silvera-7704.41
518543-Marilda Leio-15496.17
480083-Telma Villalobos-12576.84
619781-Angilica Galante-11998.07
283899-Emiliana Foquio-18112.00
249836-Anfnia Seixas-5051.21
249165-Almor Caiado-9706.43
332933-Carminda Morais-4272.17
758908-Eurico Siqueira-9086.07
498658-Zulmira Becerra-20392.26
656133-Artur Grillo-18269.54
264768-Esperada Cardoso-18804.72
593684-Joaquim Rufino-18869.52
668074-Guida Juca-10590.88
70234-Zulmira Becerra-12063.72
960768-Sofras Cuaresma-5341.39
834929-Silvio Mata-16333.88
862532-Filomena Barrios-17957.21
590903-Almor Caiado-2789.96
288896-Oliveira Carmona-20944.95
250794-Polibe Olivares-10306.67
653608-Clara Alcantara-8384.48
189846-Henrique Bento-1555.58
926950-Lina Andrade-797.43
470999-Cassandra Varejo-17918.13
247649-Branco Saraba-17492.90
628734-Dulce Froes-8876.41
168973-Danilo Olaio-7100.20
926215-Elisa Themes-711.27
290518-Zungela Ipiranga-4294.16
913945-Zungela Ipiranga-9746.67
491121-Carminda Morais-3298.37
56943-Oliveira Senchez-445.43
91494-Anfnia Seixas-13764.70
730906-Danilo Olaio-12304.58
742726-Artur Grillo-14177.05
893143-Sidfnio Frois-2958.50
947674-Silvio Mata-9830.19
239252-Flamednia Leiria-17589.46
526786-Ximena Castilho-13847.52
825285-Urbano Rodrigues-18996.66
307236-Aludsio Sosa-8356.74
237407-Anfnia Seixas-732.47
725834-Micaela Chavez-14993.39
956944-Cleusa Goes-18780.70
970-Elisa Themes-2683.29
367736-Polibe Olivares-14992.22
375820-Tibefarcio Colao-7616.86
