587051-Antonio Castelo-12320.04
77687-Almerinda Palmeira-15673.92
919870-Adelina Quadros-12223.77
682266-Sara Lameiras-14673.99
755413-Esperada Cardoso-17265.34
136015-Joaquim Rufino-14815.74
595747-Moaci Mendoa-16270.25
397982-Basilio Pedroso-6082.75
570741-Nuno Balsemeo-18251.92
735547-Jorgina Bogalho-7014.58
918158-Daniel Vieyra-17880.45
134421-Cassandra Varejo-20021.22
332624-Tarrataca Soares-14235.59
160524-Taercio Mafra-12737.57
95907-Esperada Cardoso-16305.13
215446-Flor Portella-1361.65
150950-Quintino Alcantara-10347.61
462068-Dulce Froes-14551.59
149585-Spnia ou Sonia Guerreiro-15127.29
992355-Sofras Cuaresma-12229.81
909308-Silvio Mata-4744.16
346985-Oliveira Senchez-8045.50
176705-Elisa Themes-14628.83
899846-Manuel Capiperibe-1335.60
538493-Andreia Moita-19136.56
711031-Manuel Capiperibe-18593.88
490427-Mercia Caeira-9790.55
778605-Angelica Aranha-15205.17
374788-Spnia ou Sonia Guerreiro-20716.67
162776-Augusta Paio-13951.75
408461-Jorgina Bogalho-9236.01
215248-Micaela Chavez-18889.48
660823-Heleedsa Marins-15636.41
181408-Antonio Viegas-11700.57
975623-Domingos Pas-281.12
282528-Guida Juca-20118.23
754490-Neuza Francia-128.30
503610-Aludsio Sosa-21006.08
411516-Quintino Alcantara-2935.00
565303-Leonidas Mafra-7116.62
216870-Guaraci Damasceno-19090.71
284376-Odilia Camello-13788.02
902241-Jonatas Felgueiras-11229.80
919443-Esperada Cardoso-4176.77
496505-Armindo Castalo-5366.53
245687-Odete Vasques-9629.35
382435-Jonatas Felgueiras-18326.90
90403-Zulmira Becerra-20331.94
831659-Delfina Perdigon-8721.21
755789-Emedlia Silvera-20096.87
371500-Jussara Varanda-2264.20
588099-Oliveira Senchez-2917.04
268924-Camila Gabeira-8626.07
590680-Clara Alcantara-12545.26
485919-Guida Juca-16010.22
493132-Jussara Varanda-16682.68
839704-Joaquim Rufino-11681.67
16060-Liana Cardim-10797.74
317159-Romo Paranage-7761.22
634140-Lurdes Cotrim-1813.94
97075-Antonio Castelo-6907.65
147131-Emedlio Pimentel-10803.54
515906-Jussara Varanda-10916.22
380577-Micaela Chavez-1407.29
922551-Edgar Carvalheiro-15452.15
117451-Silvio Mata-10382.25
247806-Oliveira Senchez-6315.81
100810-Odete Vasques-3381.13
147369-Delfim Higuera-1109.47
315352-Cleusa Goes-2435.81
202765-Odilia Camello-14476.78
510128-Neeamia Arruda-13373.42
521817-Feledcia Peassego-12913.74
140072-Trajano Fagundes-2852.71
800690-Micaela Chavez-8841.93
483822-Odilia Camello-14773.11
951509-Sofras Cuaresma-8800.75
102536-Anfnia Seixas-9251.76
543660-Fulvio Villegas-14983.23
590187-Odilia Bello-13241.55
546963-Clarindo Areosa-2648.74
269136-Anfnia Seixas-6943.84
861157-Almerinda Palmeira-7569.06
75598-Oliveira Senchez-13150.46
535843-Guida Juca-14758.47
695108-Cleusa Goes-6928.47
111933-Angelica Aranha-6343.15
109670-Honorina Lira-3209.33
220732-Artur Grillo-8324.77
762277-Edgar Carvalheiro-7975.84
401149-Basilio Pedroso-3976.47
234425-Delfina Perdigon-3234.33
925586-Antonio Viegas-16552.94
474188-Armanda Amorim-11898.86
326216-Jonatas Felgueiras-12154.21
855164-Clarindo Areosa-11296.33
211188-Almerinda Palmeira-19707.45
158446-Camila Gabeira-753.71
281398-Taercio Mafra-765.92
243764-Anfnia Seixas-20853.54
