363923-Adelina Quadros-5477.73
38320-Filomena Barrios-2162.72
506952-Aludsio Sosa-6143.40
103807-Leonidas Mafra-8569.80
572525-Branco Saraba-10193.83
190158-Telma Villalobos-13862.15
59560-Artur Grillo-11846.23
332973-Micaela Chavez-4052.02
263748-Cassandra Varejo-17521.43
769409-Adelina Quadros-2594.89
101832-Aludsio Sosa-6888.53
239833-Jonatas Felgueiras-2014.07
526127-Neuza Francia-11899.14
356631-Delfina Garcia de Gondim-8975.35
848341-Oliveira Carmona-376.23
27458-Antonio Viegas-3158.14
64901-Tarrataca Soares-14888.73
331867-Danilo Olaio-8247.22
250732-Zungela Ipiranga-17889.86
943705-Manuel Capiperibe-15972.72
165457-Guida Juca-20183.74
643461-Angilica Galante-15301.30
426169-Neeamia Arruda-1381.72
32538-Estanislau Beserra-11795.29
135018-Sofras Cuaresma-12193.77
620392-Filomena Barrios-8699.21
836754-Angilica Galante-3465.03
675743-Henrique Bento-14598.34
233021-Tabalipa Duarte-9796.01
933720-Eurico Siqueira-16815.45
639634-Daniel Vieyra-17147.11
681983-Taercio Mafra-16268.70
648142-Tibofarcio Camacho-16342.97
45063-Cassandra Varejo-2038.46
976554-Filomena Barrios-3399.81
531492-Clara Alcantara-9146.01
900034-Anind Zarco-11664.38
658094-Anind Zarco-1326.30
138644-Fulvio Villegas-3658.63
121784-Spnia ou Sonia Guerreiro-14707.97
376925-Emedlia Silvera-15594.36
38602-Guida Juca-13206.34
830296-Domingos Pas-9557.99
310840-Honorina Lira-16548.44
320512-Tarrataca Soares-203.37
707654-Odilia Bello-3848.68
532428-Letedcia Gago-9167.69
376088-Ermelinda Quintela-9574.27
537797-Estanislau Beserra-13315.65
333694-Artur Grillo-16806.87
674782-Clarindo Areosa-14545.80
242869-Augusta Paio-5241.35
681417-Jorgina Bogalho-4194.82
449299-Judite Damasceno-12787.93
546350-Antonio Viegas-21341.13
140292-Leonidas Mafra-20573.37
335164-Feledcia Peassego-19183.86
967721-Neeamia Arruda-20637.62
746410-Telma Villalobos-18058.16
387902-Guaraci Damasceno-21241.50
825916-Rodolfo Paz-4053.41
216439-Branco Saraba-5115.84
757806-Adelino Barra-19222.65
614511-Quintino Alcantara-19767.15
315265-Moaci Mendoa-8787.77
352976-Lurdes Cotrim-11159.18
259134-Emedlio Pimentel-14552.53
450127-Zungela Ipiranga-9157.37
67697-Lina Andrade-17774.83
766839-Mercia Caeira-1113.88
152986-Anind Zarco-16832.13
635767-Moaci Mendoa-16099.46
770136-Trajano Fagundes-12122.20
870037-Carminda Morais-14458.35
795367-Urbano Rodrigues-18181.50
833934-Branco Saraba-2020.20
726095-Henrique Bento-12772.79
520631-Anind Zarco-16657.29
593630-Daniel Vieyra-1773.13
999242-Guaraci Damasceno-2910.80
71161-Emiliana Foquio-15402.33
484169-Marilda Leio-10843.85
481135-Honorina Lira-15951.55
776180-Ximena Castilho-13445.41
785900-Lurdes Cotrim-16113.37
572996-Adelino Barra-2346.87
794114-Delfina Garcia de Gondim-14194.13
784416-Romo Paranage-6414.50
511625-Elisa Themes-21120.44
238502-Clarindo Areosa-11945.59
352949-Honorina Lira-131.47
197235-Gaudancio Fiees-11206.31
987799-Delfina Perdigon-7336.28
31502-Heleedsa Marins-7744.05
393799-Tarrataca Soares-10721.91
939013-Marilda Leio-3582.80
503766-Sidfnio Frois-18960.74
347194-Emedlio Pimentel-6983.75
435776-Odete Vasques-19758.86
837209-Adelina Quadros-10636.41
