546734-Spnia ou Sonia Guerreiro-10598.06
803677-Sara Lameiras-20136.50
128497-Melinda Roserio-2372.23
321510-Basilio Pedroso-13284.05
251961-Cassandra Varejo-4660.81
302472-Delfim Higuera-7056.39
498690-Nuno Balsemeo-2845.49
573547-Spnia ou Sonia Guerreiro-6290.97
726136-Emiliana Foquio-20758.94
781768-Polibe Olivares-4261.81
627147-Anfnia Seixas-11867.28
733386-Leonidas Mafra-18125.32
573570-Flamednia Leiria-16771.77
187234-Elisa Themes-15180.15
875902-Augusta Paio-9377.83
111222-Marilda Leio-10990.85
194849-Armanda Amorim-14515.84
307572-Clarindo Areosa-6476.74
677659-Antonio Viegas-12874.00
557345-Telma Villalobos-11886.98
122121-Letedcia Gago-7598.42
9082-Adelino Barra-15345.75
62792-Filomena Barrios-4526.65
822735-Ximena Castilho-19848.52
20520-Artur Grillo-9402.45
299488-Jonatas Felgueiras-1158.72
217051-Spnia ou Sonia Guerreiro-19930.67
684063-Moaci Mendoa-14398.91
247986-Elisa Themes-10210.85
738849-Neuza Francia-14376.42
894839-Almor Caiado-4252.81
811748-Quintiliano Sousa de Arronches-11912.90
260549-Cassandra Varejo-14543.53
886091-Henrique Bento-14516.92
558941-Emiliana Foquio-3642.29
14707-Eurico Siqueira-8055.28
555863-Guida Juca-13337.45
713803-Delfina Garcia de Gondim-859.45
29369-Odete Vasques-19861.94
261402-Liana Cardim-5204.49
708022-Neuza Francia-4098.60
996378-Liana Cardim-6936.72
859855-Ubaldo Mainha-10369.32
904727-Camila Gabeira-9693.35
318229-Lurdes Cotrim-20088.94
976263-Trajano Fagundes-7984.25
506404-Delfim Higuera-5844.97
136204-Daniel Vieyra-6712.11
656885-Manuel Capiperibe-17062.40
262456-Guaraci Damasceno-6820.18
26616-Cleusa Goes-9347.26
71484-Almerinda Palmeira-10767.22
922496-Quintiliano Sousa de Arronches-4950.98
126091-Ubaldo Mainha-17900.03
54061-Angilica Galante-5038.38
694222-Quintino Alcantara-18718.14
378767-Armanda Amorim-17148.37
808395-Henrique Bento-20259.73
183520-Anind Zarco-20976.30
268482-Neeamia Arruda-8034.09
318482-Aludsio Sosa-17284.35
228358-Micaela Chavez-10030.23
809860-Sofras Cuaresma-19659.46
323537-Regina Barcellos-17765.88
688185-Anfnia Seixas-18866.42
462744-Almerinda Palmeira-5128.53
661922-Zulmira Becerra-6082.31
874286-Honorina Lira-13590.40
297288-Tarrataca Soares-7037.40
960297-Emedlio Pimentel-6285.24
157418-Gaudancio Fiees-16538.43
596674-Fulvio Villegas-20420.71
758091-Eurico Siqueira-3393.98
17876-Quintino Alcantara-18777.21
797108-Quintiliano Sousa de Arronches-11839.26
414018-Zungela Ipiranga-2669.05
361220-Tabalipa Duarte-20725.67
661470-Cleusa Goes-7429.57
450974-Regina Barcellos-12442.55
870263-Odete Vasques-9877.31
730851-Urbano Rodrigues-6554.05
26650-Regina Barcellos-11820.02
345495-Cleusa Goes-14967.60
126236-Letedcia Gago-20947.78
527666-Delfina Garcia de Gondim-4710.91
571144-Filomena Barrios-14245.05
467243-Dulce Froes-3843.83
111083-Angelica Aranha-12130.44
794707-Celeste Duarte-16414.95
217987-Emiliana Foquio-16198.82
682111-Basilio Pedroso-19516.12
505559-Daniel Vieyra-701.56
400339-Cleusa Goes-12735.01
209015-Adelina Quadros-10851.44
255125-Sidfnio Frois-12816.71
226853-Esperada Cardoso-16022.42
103295-Armanda Amorim-4122.26
62726-Jonatas Felgueiras-4673.37
495784-Delfim Higuera-9791.32
183406-Armindo Castalo-5038.66
