593961-Letedcia Gago-15700.30
323135-Flor Portella-3124.45
915550-Almor Caiado-7329.10
697033-Anind Zarco-18304.17
267547-Tibofarcio Camacho-1419.97
370328-Telma Villalobos-3458.76
120063-Fulvio Villegas-5302.68
787712-Regina Barcellos-7989.10
393568-Henrique Bento-1393.81
787568-Judite Damasceno-5263.50
526494-Romo Paranage-12729.44
307451-Mercia Caeira-11547.83
537648-Honorina Lira-6622.15
66751-Tibefarcio Colao-10909.12
459411-Adelina Quadros-3306.96
521903-Rebeca Neto-3380.67
241545-Guaraci Damasceno-20561.87
55842-Melinda Roserio-3984.91
617422-Lurdes Cotrim-14168.84
94225-Micaela Chavez-10161.88
749079-Sara Lameiras-17367.15
466313-Ermelinda Quintela-13265.38
112480-Fulvio Villegas-20520.76
185483-Emiliana Foquio-18276.59
191727-Clara Alcantara-9306.35
678228-Telma Villalobos-2956.73
557359-Celeste Duarte-9109.15
704706-Melinda Roserio-12329.71
278022-Oliveira Senchez-17815.88
716183-Leonidas Mafra-20736.82
20701-Emedlio Pimentel-15219.48
785536-Moaci Mendoa-16964.14
333825-Ubaldo Mainha-7620.43
97470-Delfina Garcia de Gondim-15992.28
289856-Cleusa Goes-17434.20
178530-Clarindo Areosa-13366.15
133820-Mercia Caeira-7246.88
792141-Andreia Moita-4379.09
941205-Armindo Castalo-12751.88
490932-Zungela Ipiranga-12284.20
228891-Augusta Paio-8239.57
714279-Fulvio Villegas-13347.43
221845-Jussara Varanda-17680.76
838293-Adelina Quadros-6386.90
630373-Odilia Camello-11849.80
57497-Oliveira Carmona-15901.59
157920-Esperada Cardoso-448.09
173187-Anfnia Seixas-7526.01
191844-Judite Damasceno-19645.42
798609-Romo Paranage-8025.49
604060-Basilio Pedroso-4302.95
357276-Emiliana Foquio-4370.09
557273-Delfina Perdigon-17.47
800180-Ubaldo Mainha-11765.85
271480-Nuno Balsemeo-14942.16
679254-Oliveira Senchez-18852.73
218080-Adelina Quadros-4979.48
961671-Mercia Caeira-3906.37
98380-Tibefarcio Colao-6488.29
938934-Heleedsa Marins-9066.28
715868-Heleedsa Marins-10902.32
449884-Regina Barcellos-5741.05
442870-Letedcia Gago-10546.63
28652-Delfim Higuera-11464.63
788347-Clara Alcantara-3012.51
560869-Artur Grillo-2624.46
492044-Danilo Olaio-2191.81
232045-Quintiliano Sousa de Arronches-8961.42
89364-Cleusa Goes-5837.57
488856-Delfina Perdigon-5572.12
954157-Taercio Mafra-20449.28
714158-Estanislau Beserra-15758.94
483139-Andreia Moita-4848.54
999296-Almor Caiado-5398.82
617276-Rodolfo Paz-2321.87
451098-Moaci Mendoa-7467.48
590965-Sara Lameiras-15262.40
162091-Clarindo Areosa-4679.88
886721-Flamednia Leiria-4720.78
440345-Heleedsa Marins-13555.67
621574-Oliveira Senchez-17735.21
550820-Esperada Cardoso-87.51
585359-Odilia Bello-7932.34
798816-Letedcia Gago-19812.34
475019-Filomena Barrios-4543.67
918153-Heleedsa Marins-20018.18
291119-Guida Juca-20664.09
361054-Urbano Rodrigues-11460.88
573277-Jonatas Felgueiras-17789.74
542520-Odilia Camello-3189.31
240421-Adelina Quadros-19675.53
866496-Sofras Cuaresma-13726.20
419687-Lurdes Cotrim-12557.22
310159-Elisa Themes-5240.37
599268-Romo Paranage-3240.28
75363-Rodolfo Paz-9569.46
299312-Fulvio Villegas-5377.54
279512-Adelina Quadros-14331.15
248008-Delfina Perdigon-2442.04
294164-Almor Caiado-18497.47
423190-Almor Caiado-3645.04
589242-Polibe Olivares-21283.70
506479-Anfnia Seixas-1273.06
658040-Manuel Capiperibe-12886.16
559573-Emiliana Foquio-18572.16
828355-Lina Andrade-20652.91
431836-Jonatas Felgueiras-5121.07
477333-Liana Cardim-8713.86
94234-Esperada Cardoso-14636.34
718315-Telma Villalobos-6134.45
273570-Manuel Capiperibe-18238.68
381573-Sara Lameiras-4259.74
625850-Tibofarcio Camacho-7234.80
108111-Antonio Viegas-13621.38
627173-Zulmira Becerra-282.14
690759-Guida Juca-14710.42
184319-Antonio Castelo-12499.91
948028-Sofras Cuaresma-14314.68
342939-Cassandra Varejo-10140.78
425977-Carminda Morais-17767.97
288719-Lina Andrade-18910.70
655234-Flamednia Leiria-11769.68
908369-Letedcia Gago-10071.11
951461-Liana Cardim-4897.35
643723-Silvio Mata-1488.78
551721-Celeste Duarte-3085.69
267170-Fulvio Villegas-19257.54
605733-Henrique Bento-12432.18
330570-Trajano Fagundes-18415.61
689690-Honorina Lira-18175.03
9961-Delfim Higuera-8733.08
714573-Regina Barcellos-15209.64
876416-Sidfnio Frois-15938.72
551025-Almerinda Palmeira-12193.40
363736-Taercio Mafra-16859.83
874123-Fulvio Villegas-5560.52
459596-Mercia Caeira-20423.19
35641-Camila Gabeira-2144.41
595943-Liana Cardim-2387.71
234736-Domingos Pas-14314.61
186687-Odilia Camello-1109.87
725366-Ximena Castilho-2487.02
748699-Flamednia Leiria-1230.95
882535-Almerinda Palmeira-4576.46
751337-Elisa Themes-4670.09
498631-Tarrataca Soares-1794.00
331528-Augusta Paio-10658.59
917996-Oliveira Carmona-814.12
238766-Almor Caiado-8050.07
636777-Clarindo Areosa-21032.42
538008-Letedcia Gago-14579.45
263881-Basilio Pedroso-7601.87
469630-Tibofarcio Camacho-11869.36
547274-Tibefarcio Colao-15978.18
997328-Domingos Pas-3350.86
914461-Filomena Barrios-18425.84
399450-Almor Caiado-21339.16
719465-Angelica Aranha-9873.50
996591-Joaquim Rufino-17935.89
528695-Silvio Mata-20992.26
38170-Lina Andrade-15742.80
534979-Adelino Barra-10920.61
733695-Tibefarcio Colao-260.46
27087-Mercia Caeira-21175.94
966179-Sara Lameiras-21435.91
431061-Quintino Alcantara-17900.22
779504-Judite Damasceno-16129.38
20159-Quintino Alcantara-15071.74
155965-Neuza Francia-16871.70
299217-Emedlio Pimentel-2442.15
717356-Antonio Castelo-7572.53
80716-Odilia Bello-11897.88
147369-Marilda Leio-17905.22
149662-Regina Barcellos-5350.65
486481-Daniel Vieyra-285.48
909164-Sidfnio Frois-7379.79
432694-Taercio Mafra-6952.75
872249-Odilia Camello-9662.95
694879-Flamednia Leiria-16324.51
106648-Anfnia Seixas-13512.67
260684-Fulvio Villegas-785.00
211347-Armanda Amorim-14195.81
222519-Oliveira Senchez-18397.28
796534-Daniel Vieyra-3783.94
964314-Angilica Galante-7808.81
755892-Henrique Bento-12347.90
569376-Adelino Barra-14352.23
836922-Liana Cardim-13686.11
277995-Emedlia Silvera-20223.06
921891-Rodolfo Paz-8949.29
264600-Romo Paranage-857.06
376997-Adelina Quadros-11689.18
794061-Eurico Siqueira-9416.56
733137-Feledcia Peassego-15774.53
254014-Polibe Olivares-8989.34
806521-Clara Alcantara-10496.90
854423-Augusta Paio-16722.59
177224-Anfnia Seixas-846.12
311436-Dulce Froes-20888.90
413023-Aludsio Sosa-7823.28
781204-Manuel Capiperibe-7041.09
649687-Mercia Caeira-4640.03
615539-Ubaldo Mainha-12517.97
309779-Leonidas Mafra-5630.46
914773-Emedlio Pimentel-10803.00
400649-Letedcia Gago-6846.23
192923-Almor Caiado-1139.94
207939-Cleusa Goes-636.88
350648-Tibefarcio Colao-14999.99
315931-Almor Caiado-17604.12
726788-Artur Grillo-487.10
327550-Oliveira Carmona-7383.59
362269-Guaraci Damasceno-9539.75
569816-Leonidas Mafra-3878.01
230375-Emedlia Silvera-15657.16
340963-Elisa Themes-9736.33
141120-Angilica Galante-19938.26
200224-Leonidas Mafra-17665.50
387900-Urbano Rodrigues-16604.17
982144-Leonidas Mafra-15502.49
904847-Daniel Vieyra-1834.92
453313-Quintino Alcantara-19408.20
4539-Odete Vasques-15486.99
352586-Guida Juca-20962.68
263296-Fulvio Villegas-8660.15
474331-Urbano Rodrigues-9043.56
308565-Nuno Balsemeo-11134.97
653124-Sara Lameiras-10182.14
168882-Guida Juca-7031.18
716331-Ximena Castilho-1096.16
675789-Emiliana Foquio-200.38
344814-Odilia Camello-11384.91
373093-Elisa Themes-17814.96
892516-Antonio Viegas-10533.64
212864-Lurdes Cotrim-16646.28
765262-Polibe Olivares-4006.18
950358-Marilda Leio-934.43
477428-Oliveira Carmona-8570.96
70763-Tarrataca Soares-6077.82
597363-Guida Juca-8454.98
373161-Angelica Aranha-11831.74
157647-Quintiliano Sousa de Arronches-16695.19
762021-Estanislau Beserra-8954.08
97606-Estanislau Beserra-19623.01
701516-Sidfnio Frois-9630.30
320478-Micaela Chavez-16107.95
811806-Antonio Viegas-5842.62
316621-Regina Barcellos-20247.39
35147-Sofras Cuaresma-12563.26
871636-Odilia Bello-20869.24
324584-Ximena Castilho-17718.13
331542-Tarrataca Soares-4944.87
829471-Daniel Vieyra-1957.66
822910-Danilo Olaio-2768.63
213501-Urbano Rodrigues-6865.65
715486-Delfim Higuera-1434.02
868603-Branco Saraba-16992.13
948713-Silvio Mata-250.46
125294-Carminda Morais-4340.81
599931-Mercia Caeira-14819.53
88955-Delfina Garcia de Gondim-11307.94
751805-Emedlio Pimentel-15481.26
933294-Nuno Balsemeo-17249.55
