785255-Angelica Aranha-1453.59
141411-Quintino Alcantara-10673.34
544862-Domingos Pas-16335.86
927486-Gaudancio Fiees-4939.71
295686-Daniel Vieyra-4485.92
570484-Edgar Carvalheiro-5887.26
542468-Manuel Capiperibe-5742.23
520818-Tabalipa Duarte-8668.35
761839-Filomena Barrios-9835.74
515375-Basilio Pedroso-20868.79
190316-Artur Grillo-8941.81
138574-Emiliana Foquio-16763.22
738104-Jonatas Felgueiras-16063.83
482734-Celeste Duarte-7098.27
459033-Celeste Duarte-13401.23
74758-Zulmira Becerra-10082.10
159142-Guaraci Damasceno-2782.68
854604-Delfina Perdigon-10207.89
840792-Armanda Amorim-9980.67
671035-Andreia Moita-5400.99
470651-Jorgina Bogalho-20222.89
145317-Melinda Roserio-9679.44
153803-Tarrataca Soares-20076.82
748559-Adelina Quadros-18996.81
830933-Heleedsa Marins-3536.57
505106-Sara Lameiras-13297.32
904904-Ermelinda Quintela-14238.91
43703-Manuel Capiperibe-19157.45
17384-Danilo Olaio-7471.03
565297-Neeamia Arruda-322.90
508502-Delfina Perdigon-19667.61
148607-Marilda Leio-2534.22
627023-Jorgina Bogalho-2545.76
488612-Domingos Pas-14563.25
693564-Eurico Siqueira-576.72
21213-Lina Andrade-8021.77
74749-Nuno Balsemeo-21310.82
396638-Ermelinda Quintela-3236.42
507700-Urbano Rodrigues-5416.59
202478-Filomena Barrios-16212.25
996348-Tibofarcio Camacho-13542.50
595977-Anfnia Seixas-6349.15
139940-Rebeca Neto-11395.42
399045-Anfnia Seixas-1795.46
339676-Clarindo Areosa-6122.40
937216-Urbano Rodrigues-16302.61
782777-Odilia Camello-20943.36
35499-Jorgina Bogalho-1352.49
549988-Camila Gabeira-10687.57
167036-Edgar Carvalheiro-15979.59
74030-Guida Juca-1154.72
257973-Oliveira Senchez-7910.68
864183-Odilia Camello-2977.24
46462-Emedlia Silvera-6431.23
69723-Armindo Castalo-15794.63
248547-Jorgina Bogalho-13129.17
637095-Trajano Fagundes-11732.16
107568-Odilia Bello-4367.67
220021-Aludsio Sosa-10193.17
508192-Artur Grillo-15204.84
21024-Odilia Bello-19725.58
299725-Angilica Galante-473.33
492900-Emiliana Foquio-2931.97
743926-Leonidas Mafra-8172.43
541413-Angilica Galante-9283.13
578927-Polibe Olivares-6840.78
394032-Clara Alcantara-8867.15
61477-Odete Vasques-15198.23
977902-Letedcia Gago-7595.59
167358-Edgar Carvalheiro-12950.67
315972-Ermelinda Quintela-4526.05
936444-Augusta Paio-17339.04
141103-Quintiliano Sousa de Arronches-14789.14
69889-Adelino Barra-8271.74
121847-Adelina Quadros-21057.15
636654-Guaraci Damasceno-16318.11
100582-Tabalipa Duarte-10357.21
780056-Henrique Bento-2642.99
226928-Sofras Cuaresma-16002.77
507537-Lina Andrade-18174.44
272569-Antonio Castelo-3662.76
112406-Eurico Siqueira-16572.13
801374-Celeste Duarte-388.70
170951-Delfina Garcia de Gondim-1039.40
300304-Adelina Quadros-3480.62
742804-Joaquim Rufino-2032.15
779703-Emedlia Silvera-9823.16
531744-Adelina Quadros-17110.96
106494-Augusta Paio-6788.39
756679-Eurico Siqueira-10523.46
990491-Ermelinda Quintela-571.35
828954-Domingos Pas-18132.48
88146-Danilo Olaio-20730.49
260967-Antonio Castelo-11297.36
124047-Flor Portella-19480.37
702448-Sara Lameiras-11612.96
124152-Jonatas Felgueiras-16010.76
266839-Silvio Mata-20066.07
708340-Flor Portella-17502.30
942907-Tibefarcio Colao-15915.03
