976914-Flamednia Leiria-18615.65
201855-Adelina Quadros-4853.16
970985-Taercio Mafra-11610.74
502254-Odilia Camello-7826.46
23577-Eurico Siqueira-9356.85
469480-Jonatas Felgueiras-2939.31
332411-Emedlio Pimentel-10786.73
614728-Cassandra Varejo-14001.54
36102-Filomena Barrios-8537.14
473831-Clarindo Areosa-19999.59
947420-Rebeca Neto-7304.53
5263-Fulvio Villegas-8416.54
830315-Oliveira Carmona-11666.25
395210-Emedlia Silvera-6776.44
952583-Delfina Garcia de Gondim-1341.84
610075-Cassandra Varejo-321.70
337184-Trajano Fagundes-19935.02
234620-Oliveira Carmona-15456.33
373740-Jussara Varanda-13801.86
124982-Andreia Moita-19206.60
670457-Clara Alcantara-1821.23
297788-Filomena Barrios-12501.29
724734-Guaraci Damasceno-13619.59
258560-Antonio Castelo-4798.70
922196-Honorina Lira-18438.23
787224-Cleusa Goes-9629.50
583044-Lina Andrade-9802.87
568590-Polibe Olivares-6970.38
224316-Ubaldo Mainha-4179.28
77971-Ximena Castilho-2255.69
923628-Carminda Morais-14042.39
221850-Letedcia Gago-15205.37
174492-Leonidas Mafra-10597.78
268892-Odilia Camello-11830.37
523655-Carminda Morais-5254.75
446006-Fulvio Villegas-227.79
538130-Almor Caiado-21163.62
165142-Sofras Cuaresma-14424.47
425419-Anind Zarco-15486.71
871414-Micaela Chavez-11412.66
9664-Dulce Froes-727.06
271235-Emiliana Foquio-12209.27
661392-Oliveira Senchez-11326.18
526802-Daniel Vieyra-9744.04
262675-Oliveira Carmona-14239.27
337947-Guida Juca-4678.90
362692-Carminda Morais-2859.44
190448-Rebeca Neto-7241.09
55833-Anind Zarco-11805.35
848941-Liana Cardim-8879.22
727458-Estanislau Beserra-17669.32
845490-Nuno Balsemeo-18522.03
17176-Ximena Castilho-2463.81
967252-Basilio Pedroso-4589.08
470629-Filomena Barrios-8221.71
449503-Oliveira Carmona-10325.08
207452-Tarrataca Soares-20528.71
843871-Guaraci Damasceno-5685.78
443702-Oliveira Senchez-15716.34
714910-Camila Gabeira-11849.99
284522-Quintiliano Sousa de Arronches-17817.27
43461-Odilia Bello-4710.88
729931-Liana Cardim-9211.06
551128-Guida Juca-20440.73
292296-Micaela Chavez-7280.60
960738-Quintiliano Sousa de Arronches-17935.09
35165-Emiliana Foquio-9682.33
537354-Telma Villalobos-3685.93
665153-Delfina Garcia de Gondim-14370.37
843981-Armanda Amorim-14272.68
945251-Judite Damasceno-14805.53
494981-Silvio Mata-16695.96
248053-Taercio Mafra-10678.43
898564-Angilica Galante-8079.10
456964-Adelina Quadros-18642.02
185930-Fulvio Villegas-13656.79
939759-Gaudancio Fiees-19277.15
81145-Camila Gabeira-16887.68
800536-Fulvio Villegas-13729.50
153764-Romo Paranage-133.10
538828-Trajano Fagundes-6452.55
650482-Micaela Chavez-7407.50
850568-Neeamia Arruda-45.15
672615-Angelica Aranha-8304.13
83874-Estanislau Beserra-15298.70
554974-Antonio Viegas-7775.73
51772-Zungela Ipiranga-17535.12
781718-Taercio Mafra-681.10
621389-Taercio Mafra-5849.10
498134-Polibe Olivares-5805.81
159568-Anfnia Seixas-12401.19
373861-Clarindo Areosa-502.86
217178-Filomena Barrios-17771.37
903100-Quintiliano Sousa de Arronches-8993.26
499106-Cleusa Goes-16084.10
813845-Angelica Aranha-3374.81
324407-Ubaldo Mainha-10275.33
549606-Elisa Themes-3518.31
575852-Jonatas Felgueiras-8264.52
551947-Ubaldo Mainha-17409.50
