762501-Zungela Ipiranga-2902.03
923935-Filomena Barrios-18037.06
29044-Almor Caiado-4340.85
539889-Spnia ou Sonia Guerreiro-4704.12
619378-Leonidas Mafra-6450.16
213454-Tibofarcio Camacho-5628.00
135883-Fulvio Villegas-3726.39
487323-Ximena Castilho-18882.24
898742-Mercia Caeira-10683.94
176492-Emiliana Foquio-19972.97
351457-Filomena Barrios-12855.76
831356-Sofras Cuaresma-8640.16
243850-Adelino Barra-20370.45
443205-Angelica Aranha-3451.02
651592-Zungela Ipiranga-11537.21
16151-Taercio Mafra-8304.51
13842-Adelina Quadros-3681.03
205888-Angilica Galante-11655.90
225285-Ximena Castilho-13114.89
20605-Henrique Bento-8401.82
172539-Jonatas Felgueiras-18145.33
44133-Zulmira Becerra-13798.81
622118-Emedlio Pimentel-5146.41
801972-Marilda Leio-7210.84
393530-Celeste Duarte-10647.36
730-Emiliana Foquio-3072.69
408324-Emiliana Foquio-18372.82
454424-Andreia Moita-12590.05
757283-Odete Vasques-6817.46
453732-Domingos Pas-19417.67
447282-Ximena Castilho-18294.56
49491-Odilia Camello-6350.16
667941-Zungela Ipiranga-1621.55
331677-Domingos Pas-8449.57
613292-Angelica Aranha-10063.50
132166-Elisa Themes-12913.51
101752-Jussara Varanda-1152.76
174286-Melinda Roserio-21457.30
837091-Marilda Leio-6810.04
505263-Augusta Paio-10844.57
871645-Antonio Viegas-10584.21
771342-Tibofarcio Camacho-18884.71
68415-Telma Villalobos-1436.55
523066-Lurdes Cotrim-85.03
545797-Artur Grillo-18281.16
820903-Gaudancio Fiees-3137.65
880889-Jorgina Bogalho-5908.66
223244-Ermelinda Quintela-8800.41
570208-Aludsio Sosa-1993.94
179772-Jussara Varanda-20078.99
72539-Tarrataca Soares-7032.87
937402-Moaci Mendoa-2475.75
818493-Sidfnio Frois-20206.43
854283-Dulce Froes-946.83
363096-Clarindo Areosa-16332.29
222110-Regina Barcellos-12585.66
432056-Filomena Barrios-14254.47
433962-Ermelinda Quintela-18236.70
682251-Polibe Olivares-15647.57
934207-Domingos Pas-13304.53
643562-Delfina Perdigon-9150.42
290304-Oliveira Senchez-4.95
923922-Emedlio Pimentel-13693.14
212359-Marilda Leio-8886.85
3642-Tabalipa Duarte-15510.48
427417-Cassandra Varejo-677.86
615850-Feledcia Peassego-20252.18
670692-Judite Damasceno-10961.68
766229-Rebeca Neto-15738.51
772258-Delfina Perdigon-19917.85
194040-Camila Gabeira-12869.45
903222-Lurdes Cotrim-5177.52
187497-Heleedsa Marins-15726.75
631633-Cassandra Varejo-3004.04
758696-Estanislau Beserra-10044.08
630836-Neuza Francia-12178.35
68956-Angelica Aranha-12544.51
470297-Angelica Aranha-17051.22
58103-Anfnia Seixas-13024.04
918935-Carminda Morais-2456.93
232564-Flor Portella-5428.87
104234-Odilia Bello-7497.90
954995-Oliveira Senchez-11139.78
152396-Ermelinda Quintela-15086.09
518016-Filomena Barrios-20283.68
964007-Basilio Pedroso-115.15
679775-Tabalipa Duarte-10115.84
646434-Aludsio Sosa-115.71
781592-Adelino Barra-9826.29
767502-Letedcia Gago-11945.48
571073-Jorgina Bogalho-19777.80
319517-Clarindo Areosa-20998.85
335842-Esperada Cardoso-15613.56
27617-Esperada Cardoso-17315.08
123555-Emiliana Foquio-13515.43
143649-Mercia Caeira-19725.07
998965-Letedcia Gago-15147.03
821705-Urbano Rodrigues-20033.49
282561-Telma Villalobos-2396.47
147762-Neuza Francia-20924.15
