614268-Emedlia Silvera-19331.47
950055-Mercia Caeira-16794.90
644798-Jussara Varanda-15553.58
208290-Fulvio Villegas-5758.62
258689-Moaci Mendoa-9396.69
662848-Taercio Mafra-18819.17
911038-Adelina Quadros-16463.39
289229-Romo Paranage-4832.74
881570-Oliveira Carmona-21073.29
52932-Tarrataca Soares-14034.04
487311-Dulce Froes-13905.34
696446-Basilio Pedroso-4830.01
492013-Augusta Paio-18516.46
437020-Odete Vasques-17283.70
222665-Angilica Galante-3751.45
367983-Joaquim Rufino-12778.08
563529-Joaquim Rufino-20247.19
884529-Guaraci Damasceno-18235.25
450063-Odilia Bello-16789.23
757990-Tibefarcio Colao-10994.92
268979-Sidfnio Frois-1634.96
443010-Dulce Froes-14611.92
623778-Delfina Garcia de Gondim-7342.00
162793-Mercia Caeira-17056.38
80217-Ubaldo Mainha-15493.76
666424-Clarindo Areosa-8362.61
685476-Telma Villalobos-19908.24
559780-Silvio Mata-19472.25
708427-Jonatas Felgueiras-12721.92
218751-Antonio Viegas-14129.50
616543-Oliveira Senchez-18842.19
581479-Silvio Mata-3241.78
30910-Artur Grillo-5598.02
158690-Manuel Capiperibe-19989.65
656757-Oliveira Senchez-9225.61
816504-Polibe Olivares-4177.44
784428-Angelica Aranha-2189.46
987918-Branco Saraba-19725.05
232557-Tibefarcio Colao-18667.30
399913-Anfnia Seixas-20089.49
575624-Angelica Aranha-16550.82
763351-Armindo Castalo-481.80
143190-Zulmira Becerra-19662.11
723504-Delfina Perdigon-6708.86
457667-Quintiliano Sousa de Arronches-380.59
84694-Jorgina Bogalho-4428.75
972570-Andreia Moita-10156.60
201176-Tarrataca Soares-16336.48
171394-Adelino Barra-19728.80
849638-Basilio Pedroso-15647.97
477548-Danilo Olaio-15088.88
840454-Basilio Pedroso-19686.52
381367-Neeamia Arruda-1103.11
240417-Armanda Amorim-9630.35
64047-Melinda Roserio-19374.93
965176-Odilia Camello-2880.94
610230-Leonidas Mafra-11460.66
201035-Artur Grillo-597.84
330077-Danilo Olaio-11239.55
189430-Aludsio Sosa-13158.05
997846-Angelica Aranha-20482.82
920924-Armanda Amorim-9106.39
23793-Angilica Galante-3745.37
853714-Liana Cardim-9997.77
53026-Quintino Alcantara-4903.58
827542-Tibefarcio Colao-19163.23
993768-Polibe Olivares-14004.49
303426-Tabalipa Duarte-13091.67
293492-Guaraci Damasceno-14674.97
163819-Tibefarcio Colao-15946.86
347023-Ermelinda Quintela-15522.00
935082-Tabalipa Duarte-8476.38
174994-Angelica Aranha-16766.62
242653-Feledcia Peassego-17105.15
345213-Delfina Garcia de Gondim-16200.85
456691-Tibofarcio Camacho-14434.29
178135-Sidfnio Frois-16234.22
449411-Basilio Pedroso-10282.42
20752-Oliveira Carmona-12915.36
547199-Armindo Castalo-912.16
394743-Honorina Lira-11395.63
40932-Armindo Castalo-16504.98
326220-Cassandra Varejo-14451.89
664678-Feledcia Peassego-6339.48
780371-Eurico Siqueira-1798.10
253699-Rodolfo Paz-20202.66
566190-Flamednia Leiria-9.61
844426-Sara Lameiras-17104.10
289443-Marilda Leio-7659.47
747669-Augusta Paio-4390.11
408534-Filomena Barrios-20454.06
269885-Honorina Lira-11909.63
285350-Judite Damasceno-9338.06
478722-Manuel Capiperibe-16484.70
187363-Tabalipa Duarte-397.67
497003-Andreia Moita-8930.21
751537-Letedcia Gago-18295.87
944732-Celeste Duarte-21024.31
380015-Feledcia Peassego-8732.37
350878-Lina Andrade-17569.85
