856871-Jussara Varanda-10168.52
510681-Andreia Moita-6027.56
480236-Estanislau Beserra-20323.56
423924-Jussara Varanda-7383.43
582493-Rodolfo Paz-4925.32
122925-Armindo Castalo-19984.74
974920-Odilia Camello-3702.32
500441-Odete Vasques-17106.12
595642-Taercio Mafra-18524.10
101890-Oliveira Carmona-7725.81
258538-Delfim Higuera-1569.54
983646-Branco Saraba-13364.65
917751-Odete Vasques-13334.62
532542-Ubaldo Mainha-11644.02
969297-Taercio Mafra-13489.85
243178-Jorgina Bogalho-14931.07
535643-Regina Barcellos-11165.99
738916-Liana Cardim-20620.99
745839-Edgar Carvalheiro-9332.11
189233-Moaci Mendoa-13003.13
80159-Nuno Balsemeo-7520.88
339838-Anind Zarco-8060.72
355207-Rodolfo Paz-3055.06
726279-Sara Lameiras-15420.38
956274-Delfim Higuera-9555.24
234520-Guaraci Damasceno-6062.83
986773-Eurico Siqueira-15258.19
970953-Oliveira Senchez-6440.74
83112-Honorina Lira-7688.20
121896-Nuno Balsemeo-7605.26
258314-Delfina Garcia de Gondim-6741.22
832885-Dulce Froes-15264.62
388993-Esperada Cardoso-17728.17
923226-Esperada Cardoso-12980.60
859510-Tabalipa Duarte-8405.33
296689-Basilio Pedroso-8927.67
841336-Estanislau Beserra-13057.54
501077-Rebeca Neto-3022.41
776352-Liana Cardim-17403.24
779155-Polibe Olivares-10299.63
95026-Joaquim Rufino-10912.21
498854-Carminda Morais-20810.54
490637-Filomena Barrios-10409.59
988127-Guaraci Damasceno-14518.82
40218-Delfim Higuera-1832.58
616206-Quintino Alcantara-7315.55
475622-Honorina Lira-2949.13
670461-Regina Barcellos-21374.14
455993-Nuno Balsemeo-18787.06
545352-Lina Andrade-4520.02
676828-Armanda Amorim-13050.97
446932-Almerinda Palmeira-8951.12
679152-Emedlio Pimentel-281.19
245046-Ximena Castilho-11571.07
870893-Neuza Francia-15291.47
545672-Delfina Garcia de Gondim-20997.64
503903-Quintiliano Sousa de Arronches-13277.56
216006-Judite Damasceno-7389.42
169286-Emedlio Pimentel-9773.98
963208-Odilia Camello-6644.60
719668-Tabalipa Duarte-5606.53
213333-Letedcia Gago-13401.00
277087-Augusta Paio-2342.96
299923-Jorgina Bogalho-11635.41
721421-Letedcia Gago-11309.28
401089-Carminda Morais-9769.90
151970-Jussara Varanda-15944.94
815399-Jorgina Bogalho-21417.10
892453-Ubaldo Mainha-7733.96
708541-Telma Villalobos-13773.59
10114-Melinda Roserio-6885.95
441254-Clarindo Areosa-19458.08
468111-Emiliana Foquio-7876.02
130379-Flamednia Leiria-4024.18
899832-Gaudancio Fiees-946.56
333042-Daniel Vieyra-475.73
46213-Jussara Varanda-9927.25
31321-Flamednia Leiria-10775.41
958826-Neeamia Arruda-2919.49
284721-Joaquim Rufino-5146.58
587063-Anind Zarco-501.84
542680-Urbano Rodrigues-2036.26
598503-Odilia Bello-18700.94
466390-Clarindo Areosa-7827.40
875033-Guaraci Damasceno-2461.57
728031-Armanda Amorim-17894.89
571056-Adelina Quadros-10700.52
424363-Emiliana Foquio-15630.83
503958-Oliveira Carmona-18600.42
979128-Anind Zarco-7908.43
329432-Jonatas Felgueiras-11674.30
274540-Leonidas Mafra-14029.73
544137-Cleusa Goes-6900.88
931661-Neeamia Arruda-14105.54
737036-Zungela Ipiranga-4329.46
681683-Clara Alcantara-10356.74
715747-Liana Cardim-20482.45
474847-Neeamia Arruda-7701.86
290734-Andreia Moita-14906.90
55860-Marilda Leio-6881.85
