922582-Trajano Fagundes-11177.02
526461-Lina Andrade-15291.99
995520-Melinda Roserio-1951.64
953893-Eurico Siqueira-15337.02
695491-Andreia Moita-11214.93
914870-Flor Portella-19714.04
9644-Angelica Aranha-17724.77
848223-Celeste Duarte-5482.52
283904-Heleedsa Marins-8903.22
283712-Tibofarcio Camacho-20873.30
983746-Artur Grillo-11187.69
416191-Antonio Castelo-3098.11
648651-Silvio Mata-20038.07
702267-Heleedsa Marins-17182.77
166607-Emiliana Foquio-6924.89
450864-Tibofarcio Camacho-6119.20
713460-Neuza Francia-574.46
70967-Jorgina Bogalho-9892.95
120688-Gaudancio Fiees-9925.78
226589-Armanda Amorim-20508.62
486480-Lurdes Cotrim-7693.62
448494-Cleusa Goes-11167.78
642257-Leonidas Mafra-20224.27
483344-Esperada Cardoso-20781.29
542693-Anfnia Seixas-17638.12
611579-Judite Damasceno-3197.80
84870-Flor Portella-4254.93
67991-Letedcia Gago-11765.64
787144-Oliveira Carmona-9742.01
344290-Jonatas Felgueiras-16274.28
747502-Emedlio Pimentel-2624.30
435716-Jussara Varanda-1443.95
935392-Quintiliano Sousa de Arronches-6550.38
242050-Mercia Caeira-19895.21
858640-Basilio Pedroso-13865.80
447949-Delfina Perdigon-21151.91
473904-Almor Caiado-18517.93
946148-Urbano Rodrigues-2213.77
229257-Quintiliano Sousa de Arronches-20671.64
90783-Zungela Ipiranga-18370.25
330792-Adelino Barra-16182.89
933028-Henrique Bento-3822.41
830036-Anind Zarco-5861.76
670465-Antonio Viegas-20864.18
640232-Andreia Moita-1587.93
455000-Dulce Froes-19382.41
532930-Regina Barcellos-15942.31
620185-Cassandra Varejo-13316.94
787734-Jonatas Felgueiras-21399.23
156263-Emiliana Foquio-7165.30
952363-Mercia Caeira-12598.61
695216-Augusta Paio-2443.10
833318-Jonatas Felgueiras-9341.41
8926-Zungela Ipiranga-10568.11
221736-Romo Paranage-5429.68
530793-Mercia Caeira-11564.23
31325-Anind Zarco-10694.72
357257-Ximena Castilho-7076.08
60230-Ubaldo Mainha-12473.96
927386-Delfina Perdigon-15155.52
852073-Almerinda Palmeira-9920.21
65440-Anind Zarco-20867.16
519555-Zulmira Becerra-6490.66
666163-Judite Damasceno-16290.75
747314-Gaudancio Fiees-5738.13
105297-Silvio Mata-10173.44
737116-Lurdes Cotrim-7798.91
600325-Celeste Duarte-17132.49
673774-Mercia Caeira-18913.09
186722-Cleusa Goes-12337.53
746303-Heleedsa Marins-15776.05
650605-Telma Villalobos-2461.87
381714-Heleedsa Marins-19167.06
769664-Spnia ou Sonia Guerreiro-7328.89
968570-Manuel Capiperibe-9286.36
135016-Romo Paranage-5152.58
240355-Delfim Higuera-14309.95
817516-Rodolfo Paz-9751.11
519389-Moaci Mendoa-4793.02
617356-Ermelinda Quintela-20834.88
784032-Elisa Themes-617.51
971781-Neeamia Arruda-21164.02
392171-Armanda Amorim-20493.00
394873-Carminda Morais-7945.86
472460-Trajano Fagundes-15565.54
879374-Marilda Leio-5832.06
630056-Almerinda Palmeira-11784.46
272183-Moaci Mendoa-1167.80
679365-Letedcia Gago-2532.99
428183-Celeste Duarte-6879.17
413320-Tarrataca Soares-7887.00
35905-Artur Grillo-15476.72
328674-Andreia Moita-7565.81
360238-Armanda Amorim-12119.76
764058-Esperada Cardoso-2479.64
836503-Sofras Cuaresma-5858.44
650166-Emiliana Foquio-10954.74
974869-Joaquim Rufino-4092.62
927287-Leonidas Mafra-2404.58
181196-Odilia Camello-3328.86
