589965-Jonatas Felgueiras-7421.64
257693-Dulce Froes-16879.69
49206-Antonio Viegas-7015.62
224266-Danilo Olaio-9831.18
737262-Daniel Vieyra-7436.64
222882-Anfnia Seixas-10890.25
211351-Guida Juca-6638.11
158673-Aludsio Sosa-18335.92
244580-Joaquim Rufino-8154.24
395644-Heleedsa Marins-18167.34
843838-Anind Zarco-11288.40
975594-Nuno Balsemeo-6246.14
384877-Spnia ou Sonia Guerreiro-8156.63
882387-Armindo Castalo-17408.88
45266-Dulce Froes-9741.41
359591-Judite Damasceno-7808.80
850052-Basilio Pedroso-17110.92
877752-Filomena Barrios-6697.67
420857-Armanda Amorim-4675.28
298561-Andreia Moita-5589.23
289111-Artur Grillo-10807.67
959571-Branco Saraba-5232.59
598742-Danilo Olaio-10276.44
316281-Judite Damasceno-2040.43
668246-Ubaldo Mainha-3910.88
167977-Carminda Morais-3469.64
725883-Gaudancio Fiees-10778.14
578000-Guaraci Damasceno-12666.92
54794-Regina Barcellos-9136.29
439507-Anfnia Seixas-11579.27
590564-Cleusa Goes-2457.33
581578-Sofras Cuaresma-10666.92
702948-Oliveira Senchez-10138.08
971174-Jorgina Bogalho-7886.40
159580-Ximena Castilho-13743.08
489076-Sofras Cuaresma-13669.93
215247-Quintiliano Sousa de Arronches-18557.19
33094-Neeamia Arruda-13568.13
617641-Clarindo Areosa-17038.68
246173-Silvio Mata-15648.24
797982-Armanda Amorim-6089.31
633258-Lurdes Cotrim-21125.12
727595-Jorgina Bogalho-2577.31
465870-Delfina Perdigon-1552.19
246824-Adelina Quadros-13983.79
632073-Honorina Lira-6663.84
464858-Silvio Mata-8875.99
144287-Celeste Duarte-16256.32
999057-Almor Caiado-14027.66
515432-Flamednia Leiria-6865.29
442918-Guida Juca-358.43
619682-Sara Lameiras-5314.76
5295-Moaci Mendoa-5492.04
682148-Oliveira Senchez-11166.70
31930-Branco Saraba-2904.33
173830-Emedlia Silvera-6090.65
341233-Jorgina Bogalho-2720.46
227320-Melinda Roserio-3571.91
442793-Branco Saraba-21311.90
42448-Gaudancio Fiees-652.22
465792-Leonidas Mafra-17596.64
336092-Delfim Higuera-10178.00
234927-Tibefarcio Colao-10538.06
865245-Rebeca Neto-7340.04
714572-Telma Villalobos-8470.36
942490-Oliveira Carmona-6197.26
70777-Neeamia Arruda-14190.68
314682-Joaquim Rufino-8058.11
190947-Flamednia Leiria-1367.70
349916-Mercia Caeira-11158.13
37762-Lina Andrade-10127.95
568820-Tabalipa Duarte-4366.47
576348-Liana Cardim-14998.82
304292-Domingos Pas-1652.64
702171-Sidfnio Frois-8829.79
533161-Mercia Caeira-7564.37
429335-Emedlio Pimentel-4520.25
888257-Daniel Vieyra-8573.39
537861-Lina Andrade-14505.30
893556-Ubaldo Mainha-14868.80
470775-Clara Alcantara-16529.18
712436-Trajano Fagundes-19844.87
270924-Flamednia Leiria-8655.79
151535-Esperada Cardoso-9928.84
36417-Letedcia Gago-13355.86
957501-Mercia Caeira-366.35
121321-Angelica Aranha-20000.65
352757-Rebeca Neto-10554.69
911835-Guida Juca-18550.07
241347-Sidfnio Frois-874.17
383742-Sara Lameiras-1128.88
837516-Almor Caiado-15436.00
938761-Nuno Balsemeo-11023.88
922404-Romo Paranage-19905.39
686394-Armanda Amorim-6470.92
428951-Jonatas Felgueiras-665.66
608918-Spnia ou Sonia Guerreiro-8686.87
329776-Delfim Higuera-1775.56
389856-Polibe Olivares-9464.68
496456-Elisa Themes-11647.09
