338592-Micaela Chavez-18663.75
269621-Joaquim Rufino-6167.35
242679-Guida Juca-17786.49
528037-Adelina Quadros-16724.02
225182-Almerinda Palmeira-11527.90
658779-Emedlio Pimentel-14438.62
936736-Leonidas Mafra-17034.26
718079-Antonio Viegas-7239.09
393543-Zulmira Becerra-11631.18
102451-Estanislau Beserra-1340.36
25682-Camila Gabeira-12513.75
400148-Melinda Roserio-831.61
996652-Letedcia Gago-15894.04
858400-Sidfnio Frois-21129.32
369201-Zungela Ipiranga-9906.73
208955-Zulmira Becerra-16543.32
611491-Tarrataca Soares-7527.85
180301-Augusta Paio-16495.03
424712-Nuno Balsemeo-19888.97
671262-Filomena Barrios-12875.16
929101-Angelica Aranha-10250.58
77819-Flor Portella-7769.74
477435-Artur Grillo-9049.71
526293-Cassandra Varejo-15188.29
493877-Anfnia Seixas-11887.15
767728-Delfina Perdigon-11999.24
903826-Ermelinda Quintela-18855.35
982116-Odilia Bello-19107.15
485483-Almerinda Palmeira-2996.56
106453-Emedlio Pimentel-5253.28
763795-Jorgina Bogalho-15432.57
312454-Celeste Duarte-9248.51
505698-Telma Villalobos-14343.28
135264-Antonio Castelo-5553.71
696485-Elisa Themes-21078.65
447246-Manuel Capiperibe-8021.49
46327-Sara Lameiras-2295.69
430464-Angelica Aranha-20935.51
317736-Eurico Siqueira-6755.53
134390-Ermelinda Quintela-14336.60
466527-Spnia ou Sonia Guerreiro-2069.40
372532-Jonatas Felgueiras-3942.52
252553-Armindo Castalo-20787.58
619595-Marilda Leio-4074.09
815706-Filomena Barrios-17881.06
242791-Heleedsa Marins-7690.70
593454-Spnia ou Sonia Guerreiro-11521.16
511889-Eurico Siqueira-15425.46
145695-Quintiliano Sousa de Arronches-14423.80
435936-Cassandra Varejo-6930.31
570225-Leonidas Mafra-5820.14
961312-Henrique Bento-21343.87
719720-Tibefarcio Colao-18321.55
806534-Zungela Ipiranga-5802.91
264397-Flamednia Leiria-20451.07
619892-Elisa Themes-9728.66
124393-Almerinda Palmeira-7109.76
198080-Sara Lameiras-9974.88
339421-Aludsio Sosa-15956.34
33898-Basilio Pedroso-6575.86
420670-Leonidas Mafra-8561.56
230828-Elisa Themes-15871.18
293178-Armindo Castalo-16278.37
629771-Tabalipa Duarte-2651.60
892222-Clara Alcantara-2019.41
260666-Guida Juca-13985.61
215051-Dulce Froes-3622.02
285354-Joaquim Rufino-16174.00
418389-Celeste Duarte-8152.55
931894-Daniel Vieyra-7788.06
992962-Jussara Varanda-7942.26
68120-Guida Juca-10684.57
562605-Manuel Capiperibe-19957.50
212618-Antonio Viegas-13598.96
154107-Anind Zarco-17157.89
719129-Heleedsa Marins-5565.66
666829-Sidfnio Frois-7987.81
590661-Joaquim Rufino-14470.66
2513-Eurico Siqueira-18964.85
80786-Rebeca Neto-14419.33
228712-Feledcia Peassego-7764.42
49219-Rebeca Neto-4820.27
503619-Guaraci Damasceno-5455.89
795282-Estanislau Beserra-6518.02
763444-Jorgina Bogalho-13809.56
156152-Elisa Themes-4831.91
142354-Melinda Roserio-10788.58
813738-Almerinda Palmeira-17314.49
401090-Delfina Perdigon-12909.68
760183-Almerinda Palmeira-13530.48
924914-Ermelinda Quintela-4277.94
315955-Flor Portella-15188.43
680486-Letedcia Gago-19183.46
311686-Feledcia Peassego-11066.58
839325-Rebeca Neto-14964.21
671978-Honorina Lira-11420.94
586663-Adelino Barra-14422.36
282079-Marilda Leio-6115.66
43581-Estanislau Beserra-2674.84
322262-Judite Damasceno-12252.44
