259180-Joaquim Rufino-21087.46
554040-Odilia Camello-17629.52
749255-Rebeca Neto-21189.19
27185-Almor Caiado-11816.35
582246-Branco Saraba-12915.93
879502-Angelica Aranha-12063.94
452752-Augusta Paio-7979.27
604586-Daniel Vieyra-1244.06
39343-Anfnia Seixas-19962.35
274081-Jussara Varanda-10023.38
72681-Romo Paranage-20075.97
462633-Polibe Olivares-18846.68
154859-Esperada Cardoso-7259.33
266490-Guida Juca-20459.61
237745-Delfina Garcia de Gondim-2380.59
274714-Adelina Quadros-20679.39
667121-Tarrataca Soares-4729.08
605088-Antonio Castelo-13225.12
477765-Oliveira Senchez-16415.52
128574-Quintiliano Sousa de Arronches-3963.42
784529-Armanda Amorim-429.31
219363-Estanislau Beserra-209.10
606240-Celeste Duarte-19800.65
944530-Feledcia Peassego-4008.48
401778-Liana Cardim-7510.86
484359-Delfim Higuera-9513.60
961011-Joaquim Rufino-5195.44
364400-Antonio Castelo-15651.49
690163-Moaci Mendoa-3571.43
250938-Adelino Barra-14372.72
666367-Nuno Balsemeo-14055.73
679280-Cleusa Goes-2233.08
392771-Tarrataca Soares-18009.15
39745-Flor Portella-18148.59
163738-Ximena Castilho-14467.77
346997-Armindo Castalo-19882.62
985376-Adelino Barra-3507.39
531629-Domingos Pas-16271.03
106692-Clarindo Areosa-16467.94
749910-Flamednia Leiria-2585.61
219012-Flor Portella-6122.27
135734-Anind Zarco-4204.23
962710-Micaela Chavez-15678.16
371151-Adelina Quadros-4853.72
627547-Branco Saraba-13665.35
969645-Taercio Mafra-1543.99
188510-Rodolfo Paz-10643.84
434911-Celeste Duarte-2744.32
862993-Clarindo Areosa-12545.39
434169-Melinda Roserio-13512.89
277012-Odilia Bello-9610.24
725108-Armanda Amorim-1266.76
965116-Oliveira Senchez-10166.39
635981-Sidfnio Frois-13160.10
682233-Romo Paranage-14256.38
22003-Quintino Alcantara-20966.07
623297-Almerinda Palmeira-21327.96
479830-Jussara Varanda-20537.47
439651-Adelina Quadros-12771.26
225627-Anind Zarco-1600.77
55991-Delfina Garcia de Gondim-1398.70
629815-Emiliana Foquio-4745.95
110027-Almerinda Palmeira-13875.60
438454-Neeamia Arruda-3847.13
138490-Emedlio Pimentel-14283.95
373873-Guaraci Damasceno-16704.17
524303-Neeamia Arruda-9515.57
58805-Judite Damasceno-17700.37
25360-Sidfnio Frois-14579.92
47012-Sidfnio Frois-16622.18
357321-Guaraci Damasceno-4937.90
208001-Carminda Morais-7124.20
734788-Liana Cardim-5910.47
900390-Regina Barcellos-16974.85
592312-Emedlia Silvera-2221.40
921748-Fulvio Villegas-18265.14
891047-Aludsio Sosa-2225.54
172368-Taercio Mafra-7696.13
200622-Emedlia Silvera-15946.39
871507-Jussara Varanda-18046.86
619191-Moaci Mendoa-6035.59
753390-Flor Portella-10997.67
966509-Heleedsa Marins-12725.02
256368-Lina Andrade-21384.02
775301-Manuel Capiperibe-7185.11
689188-Tarrataca Soares-5859.49
20034-Carminda Morais-16898.40
940190-Judite Damasceno-18680.13
896784-Adelino Barra-10267.30
845819-Lurdes Cotrim-4431.17
45626-Feledcia Peassego-2772.53
519492-Clarindo Areosa-6690.06
929936-Fulvio Villegas-20929.73
903337-Leonidas Mafra-16417.46
361798-Romo Paranage-18475.21
960160-Liana Cardim-19912.10
588650-Dulce Froes-15957.47
771569-Clarindo Areosa-16126.87
84076-Telma Villalobos-16645.83
35177-Melinda Roserio-10619.46
