480977-Adelino Barra-9024.04
425636-Honorina Lira-1300.23
329666-Sofras Cuaresma-3639.51
625751-Urbano Rodrigues-354.06
333340-Dulce Froes-16134.75
302143-Honorina Lira-10521.32
249750-Letedcia Gago-12378.53
206524-Antonio Viegas-14703.35
941900-Angilica Galante-187.88
57800-Regina Barcellos-16274.38
456429-Dulce Froes-8004.35
438382-Flor Portella-14898.61
500233-Filomena Barrios-18941.91
647971-Ximena Castilho-2473.33
122419-Rodolfo Paz-11666.66
157850-Armanda Amorim-20089.68
218353-Jussara Varanda-3957.34
670763-Leonidas Mafra-20139.41
364573-Estanislau Beserra-2043.99
796632-Quintino Alcantara-1489.73
872465-Guaraci Damasceno-16484.30
351996-Zungela Ipiranga-263.84
370992-Nuno Balsemeo-15048.85
824235-Tibefarcio Colao-20955.33
200284-Angelica Aranha-3181.71
51565-Melinda Roserio-138.46
35077-Odilia Bello-18060.64
904085-Jonatas Felgueiras-11562.51
108195-Feledcia Peassego-10171.32
99986-Rebeca Neto-7174.45
529764-Zulmira Becerra-21043.17
911211-Zungela Ipiranga-17851.86
669963-Silvio Mata-20375.57
135685-Flor Portella-10778.97
934130-Celeste Duarte-10890.98
398636-Adelino Barra-15371.49
347700-Silvio Mata-13267.01
547424-Emiliana Foquio-16956.05
687981-Liana Cardim-19667.13
743974-Basilio Pedroso-113.29
256853-Tibofarcio Camacho-17518.59
715751-Artur Grillo-15462.87
75403-Delfina Perdigon-8844.73
319689-Regina Barcellos-16606.09
612934-Moaci Mendoa-19745.43
77555-Moaci Mendoa-8454.58
387756-Guida Juca-2823.22
278242-Artur Grillo-6808.69
936128-Polibe Olivares-19075.57
725987-Clarindo Areosa-20193.01
960804-Emedlia Silvera-11650.74
29395-Marilda Leio-9933.06
800109-Andreia Moita-15303.82
160290-Rodolfo Paz-21337.02
901470-Estanislau Beserra-6038.31
256637-Silvio Mata-15539.08
277355-Elisa Themes-7028.12
515055-Aludsio Sosa-20040.91
357470-Anfnia Seixas-1715.43
429146-Tabalipa Duarte-5172.69
830069-Odilia Bello-16112.30
606357-Anind Zarco-12627.76
185572-Zungela Ipiranga-12570.92
237677-Regina Barcellos-14842.53
414711-Taercio Mafra-8746.70
650802-Basilio Pedroso-5174.43
344588-Ubaldo Mainha-19497.21
360121-Neuza Francia-557.52
761178-Neeamia Arruda-8261.10
719387-Leonidas Mafra-19325.39
11427-Almor Caiado-12388.85
377799-Ubaldo Mainha-4970.08
50608-Urbano Rodrigues-12531.93
137959-Eurico Siqueira-969.47
926839-Judite Damasceno-8363.62
546534-Anfnia Seixas-11510.13
590950-Mercia Caeira-18863.57
964197-Elisa Themes-11772.34
428165-Celeste Duarte-18519.95
951687-Jussara Varanda-15232.31
744397-Liana Cardim-627.59
767101-Clarindo Areosa-7831.37
81896-Anind Zarco-3827.03
5245-Clara Alcantara-3918.41
181085-Zungela Ipiranga-7967.68
543591-Danilo Olaio-538.31
349400-Taercio Mafra-18644.22
392219-Emedlio Pimentel-4889.03
187105-Almor Caiado-788.47
91526-Manuel Capiperibe-8057.99
567334-Guaraci Damasceno-10395.43
411893-Sidfnio Frois-2438.27
296968-Delfina Perdigon-18289.09
859076-Emiliana Foquio-6094.30
884950-Quintino Alcantara-2171.28
272949-Anind Zarco-15266.71
190228-Eurico Siqueira-7605.37
465022-Nuno Balsemeo-20159.29
490158-Camila Gabeira-10536.33
26814-Aludsio Sosa-8472.41
310728-Emedlio Pimentel-11818.08
836975-Celeste Duarte-11487.36
16060-Jussara Varanda-12450.33
898589-Sofras Cuaresma-5764.08
138875-Adelino Barra-13872.93
147405-Angilica Galante-2190.83
470713-Camila Gabeira-3702.73
248806-Guida Juca-15797.38
929528-Sara Lameiras-7297.45
457398-Urbano Rodrigues-18197.71
784103-Urbano Rodrigues-20780.82
170391-Eurico Siqueira-15674.35
383365-Adelino Barra-10709.68
504920-Tibofarcio Camacho-9713.83
573005-Sara Lameiras-16605.22
768706-Cleusa Goes-17876.69
151966-Taercio Mafra-14066.56
72184-Esperada Cardoso-2344.21
954284-Eurico Siqueira-9073.51
952667-Anfnia Seixas-13568.08
707915-Andreia Moita-2411.09
787363-Delfina Perdigon-7472.79
602904-Armindo Castalo-9716.62
451505-Tibofarcio Camacho-5956.84
224948-Flor Portella-2287.73
808183-Almerinda Palmeira-880.58
474160-Oliveira Carmona-17002.10
896754-Aludsio Sosa-15307.99
90044-Augusta Paio-15957.53
27836-Odilia Bello-8012.22
253297-Sidfnio Frois-21419.30
560803-Estanislau Beserra-3572.33
336384-Anind Zarco-8908.36
79750-Adelina Quadros-6928.04
205841-Zulmira Becerra-3395.46
369885-Jussara Varanda-12183.54
235639-Quintiliano Sousa de Arronches-14008.28
241114-Tabalipa Duarte-12572.41
184170-Romo Paranage-2198.47
477985-Flor Portella-11658.75
96309-Odilia Camello-16201.29
823245-Micaela Chavez-15132.06
829185-Artur Grillo-2650.58
13845-Neuza Francia-10941.38
882145-Clara Alcantara-6768.60
523444-Armanda Amorim-6737.47
222799-Manuel Capiperibe-7249.82
648528-Moaci Mendoa-897.40
389168-Moaci Mendoa-11499.24
399003-Jussara Varanda-5179.18
114347-Feledcia Peassego-16980.14
792172-Domingos Pas-6363.54
703489-Jussara Varanda-2277.00
451203-Sara Lameiras-14437.14
519523-Honorina Lira-5851.12
133398-Anfnia Seixas-281.52
101010-Judite Damasceno-20083.75
929225-Micaela Chavez-17835.39
482091-Gaudancio Fiees-8844.45
398710-Branco Saraba-9068.44
190565-Gaudancio Fiees-5044.75
627306-Cleusa Goes-18192.67
786088-Spnia ou Sonia Guerreiro-9134.87
3295-Guaraci Damasceno-8254.54
358678-Joaquim Rufino-1004.90
90782-Judite Damasceno-12256.24
569491-Angelica Aranha-11242.41
546797-Estanislau Beserra-11971.70
747462-Feledcia Peassego-5541.69
388360-Fulvio Villegas-15625.67
947478-Adelino Barra-10932.74
37476-Delfina Garcia de Gondim-7664.18
481600-Fulvio Villegas-20952.04
141739-Camila Gabeira-10497.24
515386-Moaci Mendoa-8715.99
1038-Melinda Roserio-902.06
638492-Odilia Bello-15267.75
683251-Leonidas Mafra-16113.22
267490-Emedlia Silvera-4335.86
296731-Oliveira Carmona-12909.74
686329-Domingos Pas-4064.38
550630-Tibefarcio Colao-16254.76
198158-Taercio Mafra-12894.74
848756-Tibofarcio Camacho-17736.15
953626-Odete Vasques-2266.47
548644-Elisa Themes-15286.48
767208-Esperada Cardoso-14128.03
743032-Tabalipa Duarte-18874.86
405342-Joaquim Rufino-4412.70
719877-Delfina Perdigon-1060.83
634403-Sara Lameiras-17887.69
823133-Moaci Mendoa-16988.36
429725-Adelina Quadros-16555.51
272971-Clara Alcantara-4249.16
839815-Elisa Themes-9798.70
5286-Dulce Froes-12734.18
376520-Danilo Olaio-3837.02
39358-Odete Vasques-15824.45
540599-Angilica Galante-17718.50
627703-Delfim Higuera-15060.86
689032-Delfim Higuera-2002.37
704768-Antonio Viegas-10950.60
712386-Honorina Lira-6620.06
193486-Joaquim Rufino-9962.79
806160-Delfim Higuera-10001.19
65794-Zulmira Becerra-15451.25
973425-Quintiliano Sousa de Arronches-5740.17
716603-Eurico Siqueira-17610.57
945875-Taercio Mafra-2751.14
961434-Domingos Pas-8447.41
543661-Neeamia Arruda-4659.47
411589-Trajano Fagundes-16926.52
148551-Flamednia Leiria-18553.64
436354-Micaela Chavez-960.74
640106-Jorgina Bogalho-3358.80
713433-Delfina Garcia de Gondim-6539.46
721331-Clarindo Areosa-4314.35
947360-Delfina Perdigon-10811.52
618200-Elisa Themes-1956.14
655547-Feledcia Peassego-3635.76
779277-Silvio Mata-16911.19
656498-Gaudancio Fiees-16720.47
593991-Fulvio Villegas-20051.96
54187-Domingos Pas-511.49
793704-Oliveira Senchez-5297.89
652357-Mercia Caeira-1260.18
668138-Sidfnio Frois-1132.56
184861-Aludsio Sosa-8752.03
274590-Joaquim Rufino-18468.22
994276-Silvio Mata-5049.94
455269-Delfina Perdigon-5032.89
862955-Moaci Mendoa-20419.46
922102-Jorgina Bogalho-19210.56
377799-Ubaldo Mainha-8026.27
907181-Filomena Barrios-18304.20
316408-Oliveira Senchez-17095.89
671275-Filomena Barrios-19852.57
461559-Camila Gabeira-10839.58
920216-Gaudancio Fiees-7667.49
993120-Celeste Duarte-13087.44
641706-Daniel Vieyra-14071.99
925987-Rebeca Neto-15280.62
773905-Polibe Olivares-12165.00
817659-Lurdes Cotrim-1803.94
526306-Adelino Barra-6633.02
23600-Honorina Lira-8536.18
539327-Estanislau Beserra-14052.89
311170-Feledcia Peassego-6022.67
286488-Elisa Themes-16731.87
116186-Jorgina Bogalho-5186.97
423107-Telma Villalobos-17973.39
535584-Emedlia Silvera-7577.81
110115-Romo Paranage-12195.55
740691-Edgar Carvalheiro-8928.89
514204-Antonio Castelo-19764.15
224358-Zungela Ipiranga-7049.55
39861-Artur Grillo-14994.94
112501-Tabalipa Duarte-1783.22
659842-Dulce Froes-19116.08
472827-Trajano Fagundes-21037.25
29380-Artur Grillo-12596.64
784770-Clara Alcantara-20302.00
634658-Spnia ou Sonia Guerreiro-148.26
984792-Armanda Amorim-14295.67
729325-Taercio Mafra-6345.97
775436-Delfina Perdigon-16078.22
955887-Eurico Siqueira-17638.62
425601-Odilia Bello-9404.90
678842-Fulvio Villegas-2216.67
119473-Almor Caiado-3741.39
773318-Celeste Duarte-5591.69
765732-Clara Alcantara-364.70
55406-Estanislau Beserra-3341.05
416246-Guaraci Damasceno-5210.89
665910-Marilda Leio-7778.19
330704-Esperada Cardoso-17675.94
983286-Clara Alcantara-490.66
613926-Antonio Castelo-13224.92
82850-Filomena Barrios-18951.71
676547-Adelina Quadros-12928.07
511203-Esperada Cardoso-340.96
9924-Zulmira Becerra-20638.62
224646-Branco Saraba-16974.34
781837-Regina Barcellos-1543.66
905836-Basilio Pedroso-4750.32
627200-Eurico Siqueira-3408.79
686638-Joaquim Rufino-4568.63
124012-Camila Gabeira-1749.93
51823-Odilia Camello-18210.76
