129254-Delfina Perdigon-11645.03
961713-Sidfnio Frois-15146.17
955791-Ermelinda Quintela-1588.02
629649-Daniel Vieyra-1819.28
258469-Emiliana Foquio-13578.67
882501-Quintiliano Sousa de Arronches-1497.21
708658-Tarrataca Soares-17862.05
562065-Ubaldo Mainha-6262.44
802436-Telma Villalobos-8112.12
337991-Edgar Carvalheiro-12880.63
993965-Eurico Siqueira-8107.08
417695-Tibofarcio Camacho-10496.70
551731-Henrique Bento-9671.42
841368-Guida Juca-17807.72
736794-Aludsio Sosa-12625.47
955180-Sara Lameiras-3109.46
233657-Branco Saraba-2081.71
395446-Edgar Carvalheiro-15267.33
146593-Tibefarcio Colao-1760.52
527035-Melinda Roserio-8353.90
411868-Taercio Mafra-5169.00
315808-Silvio Mata-3308.34
352751-Odilia Bello-6683.86
191553-Anind Zarco-11222.27
958702-Armindo Castalo-1564.80
109358-Odete Vasques-8554.35
980693-Eurico Siqueira-4191.85
573363-Daniel Vieyra-3050.97
894095-Guaraci Damasceno-1697.60
459939-Antonio Castelo-3372.87
88655-Feledcia Peassego-19446.99
425849-Camila Gabeira-18615.31
949587-Delfim Higuera-16024.00
615660-Jonatas Felgueiras-13261.08
570068-Rebeca Neto-12145.83
71282-Romo Paranage-4782.09
34505-Ubaldo Mainha-14141.90
168397-Liana Cardim-15137.63
551375-Basilio Pedroso-14031.73
469522-Anind Zarco-18936.33
293533-Celeste Duarte-21257.22
533727-Taercio Mafra-7626.64
91445-Camila Gabeira-10016.14
551124-Adelina Quadros-16622.29
237780-Emedlio Pimentel-2303.16
404559-Dulce Froes-1159.03
522994-Carminda Morais-16299.38
826741-Clara Alcantara-6856.23
227600-Odilia Bello-9571.74
388516-Lurdes Cotrim-4731.60
352877-Andreia Moita-689.70
16198-Zulmira Becerra-2615.04
726992-Rebeca Neto-13815.95
354362-Odilia Bello-19501.46
89863-Emiliana Foquio-9419.00
924899-Delfina Perdigon-6608.21
968830-Romo Paranage-19623.44
718701-Elisa Themes-9706.87
747875-Antonio Viegas-1384.31
950447-Antonio Viegas-17828.20
302708-Ubaldo Mainha-19461.73
893313-Angilica Galante-4257.05
664464-Basilio Pedroso-12304.32
49395-Henrique Bento-16677.87
180120-Micaela Chavez-9163.93
110354-Flamednia Leiria-1908.34
460435-Marilda Leio-21168.03
264870-Delfina Garcia de Gondim-16660.38
692055-Taercio Mafra-3523.02
293365-Delfina Perdigon-17262.53
571027-Eurico Siqueira-12390.72
818574-Henrique Bento-10164.81
53381-Almor Caiado-18211.46
915950-Mercia Caeira-3597.12
924700-Zulmira Becerra-4418.92
350117-Delfina Perdigon-1505.18
596760-Filomena Barrios-17489.79
703975-Anind Zarco-4247.60
498504-Henrique Bento-11584.52
240650-Tibefarcio Colao-6122.62
802579-Filomena Barrios-14068.33
53520-Anfnia Seixas-14636.51
526022-Tarrataca Soares-10442.21
430725-Neuza Francia-15301.37
638345-Augusta Paio-5765.78
238743-Neuza Francia-12729.28
673172-Anind Zarco-21325.25
426814-Carminda Morais-8227.45
251075-Sidfnio Frois-4617.60
861125-Carminda Morais-11880.01
240117-Domingos Pas-4893.20
690759-Mercia Caeira-3118.90
655421-Ermelinda Quintela-10814.16
249510-Angelica Aranha-18808.46
587830-Rebeca Neto-830.01
301445-Branco Saraba-8992.40
533413-Neuza Francia-2254.29
260521-Ubaldo Mainha-1783.73
263992-Delfina Perdigon-2766.24
719529-Manuel Capiperibe-8724.85
436848-Delfim Higuera-15447.25
503330-Augusta Paio-13849.32
221197-Oliveira Carmona-14095.87
676535-Antonio Viegas-12923.53
785293-Tibofarcio Camacho-13929.41
472172-Augusta Paio-57.59
603641-Basilio Pedroso-15762.92
260110-Edgar Carvalheiro-14110.69
178257-Clara Alcantara-20823.33
372938-Esperada Cardoso-4535.69
52101-Cleusa Goes-14320.06
567380-Celeste Duarte-21295.09
972295-Spnia ou Sonia Guerreiro-18622.47
309221-Mercia Caeira-16744.40
8883-Daniel Vieyra-9487.41
193274-Regina Barcellos-2617.30
133842-Adelina Quadros-8863.33
503758-Trajano Fagundes-6601.10
246190-Rebeca Neto-4058.05
128565-Taercio Mafra-5851.77
979303-Antonio Viegas-2387.46
587579-Jonatas Felgueiras-20033.13
127800-Honorina Lira-18958.02
255387-Romo Paranage-9976.28
768906-Anfnia Seixas-11896.36
223483-Anfnia Seixas-4073.46
436915-Henrique Bento-16974.80
942615-Andreia Moita-9905.00
550161-Branco Saraba-6122.63
490840-Mercia Caeira-8393.91
516887-Odete Vasques-3968.87
548797-Angelica Aranha-8294.74
606253-Tarrataca Soares-13746.02
426804-Taercio Mafra-12943.74
203338-Emiliana Foquio-18811.43
721148-Guida Juca-2328.83
485109-Letedcia Gago-6503.19
66159-Cleusa Goes-4147.78
789816-Sofras Cuaresma-9373.29
801633-Lina Andrade-53.36
990900-Telma Villalobos-2198.53
442423-Honorina Lira-8654.02
723582-Lurdes Cotrim-19240.08
806671-Marilda Leio-9629.51
33617-Odete Vasques-18041.54
413303-Manuel Capiperibe-11013.92
622652-Neeamia Arruda-12638.77
344561-Flor Portella-10304.59
566437-Dulce Froes-10612.49
50822-Liana Cardim-17620.51
442634-Oliveira Carmona-15705.58
721176-Silvio Mata-7255.17
474028-Almor Caiado-12302.40
345341-Quintiliano Sousa de Arronches-6855.63
590504-Tarrataca Soares-891.13
11127-Heleedsa Marins-6305.27
797990-Nuno Balsemeo-5696.66
420711-Henrique Bento-16040.10
821907-Zulmira Becerra-4290.93
551739-Delfim Higuera-19521.44
617398-Lina Andrade-5701.03
52125-Neeamia Arruda-9748.24
888363-Anind Zarco-18482.98
248719-Odete Vasques-2701.60
559996-Almor Caiado-18297.50
541885-Telma Villalobos-19657.61
915534-Domingos Pas-9110.76
198756-Romo Paranage-14634.96
425006-Odilia Bello-18903.18
416804-Emedlio Pimentel-9813.87
975783-Emiliana Foquio-8895.20
609195-Lurdes Cotrim-18345.72
759465-Melinda Roserio-3869.77
666525-Armindo Castalo-6182.26
137048-Artur Grillo-13437.86
721003-Taercio Mafra-728.44
831694-Branco Saraba-542.76
608124-Zungela Ipiranga-4044.75
427558-Eurico Siqueira-64.16
823730-Odilia Camello-20688.33
396518-Aludsio Sosa-19113.25
555853-Armanda Amorim-11044.51
55614-Sara Lameiras-3737.26
369831-Danilo Olaio-9493.93
843844-Armanda Amorim-13695.30
584510-Emedlio Pimentel-17232.51
602956-Fulvio Villegas-4935.99
697173-Antonio Castelo-3977.23
804224-Emiliana Foquio-8921.51
746017-Artur Grillo-2584.91
590642-Delfina Garcia de Gondim-4488.88
439146-Telma Villalobos-20334.43
892710-Branco Saraba-16920.15
323345-Nuno Balsemeo-12729.02
979771-Clarindo Areosa-10462.62
421984-Rebeca Neto-6943.63
224572-Domingos Pas-354.82
303069-Jonatas Felgueiras-21281.79
856232-Trajano Fagundes-19935.00
