309061-Joaquim Rufino-9844.99
346687-Artur Grillo-1292.36
148421-Dulce Froes-2192.12
430289-Rodolfo Paz-11735.02
311659-Marilda Leio-8398.43
594915-Adelino Barra-11613.78
630474-Honorina Lira-19571.13
112903-Heleedsa Marins-9394.47
576419-Andreia Moita-3056.11
798407-Camila Gabeira-14171.77
422149-Emedlia Silvera-13750.03
206401-Liana Cardim-14533.50
242267-Adelino Barra-5840.14
201750-Angelica Aranha-4089.61
443931-Celeste Duarte-5842.73
25746-Judite Damasceno-12538.68
715747-Heleedsa Marins-19284.98
308050-Zulmira Becerra-5631.27
816500-Ximena Castilho-16537.04
10557-Urbano Rodrigues-1660.18
358727-Lina Andrade-13264.41
206262-Armanda Amorim-10931.63
289521-Sofras Cuaresma-11734.06
584523-Adelina Quadros-12336.07
897981-Daniel Vieyra-8695.68
54603-Artur Grillo-15685.93
105609-Delfina Perdigon-5538.26
786310-Guaraci Damasceno-7351.34
914508-Ermelinda Quintela-17009.50
653805-Emedlia Silvera-2904.77
86953-Elisa Themes-4228.36
39366-Elisa Themes-9350.42
341378-Joaquim Rufino-19563.31
174116-Neeamia Arruda-15584.32
967868-Clara Alcantara-9148.47
34293-Nuno Balsemeo-8654.18
968307-Neeamia Arruda-4240.40
433088-Moaci Mendoa-15478.26
25188-Basilio Pedroso-8812.57
321025-Clara Alcantara-8774.27
151712-Jonatas Felgueiras-8060.30
423046-Almor Caiado-20420.70
374131-Odilia Bello-17439.27
730883-Melinda Roserio-4956.18
211404-Filomena Barrios-8535.86
259627-Clara Alcantara-12546.20
417649-Melinda Roserio-8051.05
401218-Neuza Francia-14335.38
34736-Regina Barcellos-15555.63
618352-Almerinda Palmeira-6774.00
195327-Quintino Alcantara-11125.52
608035-Odete Vasques-20399.75
62738-Ubaldo Mainha-2578.66
365311-Emedlia Silvera-12345.96
616627-Ubaldo Mainha-19088.08
714669-Ximena Castilho-10025.84
230392-Antonio Viegas-845.18
302108-Liana Cardim-18559.19
716128-Heleedsa Marins-6094.70
386960-Melinda Roserio-1936.05
484763-Flamednia Leiria-8988.00
129193-Neeamia Arruda-10004.08
843264-Daniel Vieyra-14334.71
517412-Micaela Chavez-20068.36
809399-Lurdes Cotrim-21314.53
687095-Emedlio Pimentel-5746.84
701144-Lina Andrade-3494.31
819854-Judite Damasceno-18797.33
476313-Sidfnio Frois-2709.65
728414-Carminda Morais-6993.52
380830-Elisa Themes-18948.37
585274-Domingos Pas-3684.82
281143-Camila Gabeira-3098.42
358920-Basilio Pedroso-13153.59
33137-Filomena Barrios-17331.69
515198-Esperada Cardoso-2693.72
613786-Quintiliano Sousa de Arronches-3260.74
713846-Quintiliano Sousa de Arronches-5608.93
249300-Aludsio Sosa-2598.86
771237-Tibefarcio Colao-9786.14
381656-Ubaldo Mainha-12469.95
308590-Tibofarcio Camacho-300.97
160072-Jonatas Felgueiras-15153.78
482490-Regina Barcellos-16657.37
157507-Jonatas Felgueiras-17157.70
801749-Delfim Higuera-14268.02
129887-Filomena Barrios-18014.15
405017-Antonio Castelo-7766.46
412894-Zulmira Becerra-2084.11
902350-Guaraci Damasceno-7061.83
743995-Quintino Alcantara-3160.81
422590-Sidfnio Frois-20843.89
100034-Edgar Carvalheiro-5690.66
619590-Jorgina Bogalho-14985.48
15022-Armanda Amorim-4372.22
579379-Celeste Duarte-16640.24
32458-Melinda Roserio-14586.70
559053-Leonidas Mafra-1705.91
979016-Jorgina Bogalho-18270.04
285014-Sidfnio Frois-2564.23
