374986-Tarrataca Soares-12762.48
478528-Edgar Carvalheiro-9595.50
155069-Flamednia Leiria-4781.29
295744-Branco Saraba-12814.67
855098-Angilica Galante-9647.05
483575-Sidfnio Frois-11268.35
198599-Nuno Balsemeo-4942.67
12521-Fulvio Villegas-214.95
15160-Rebeca Neto-10287.44
495704-Clara Alcantara-3690.83
881542-Neeamia Arruda-5894.58
178983-Cleusa Goes-784.53
16916-Mercia Caeira-19676.08
464211-Heleedsa Marins-214.20
159080-Heleedsa Marins-13712.75
931687-Feledcia Peassego-9792.75
3923-Jussara Varanda-19584.73
896945-Adelino Barra-8480.02
644590-Liana Cardim-1025.34
300622-Quintino Alcantara-3130.29
416796-Sara Lameiras-15119.11
296817-Neeamia Arruda-3806.06
727193-Polibe Olivares-20506.23
286860-Delfim Higuera-9466.04
313109-Delfina Garcia de Gondim-11517.63
77210-Andreia Moita-11362.11
159551-Elisa Themes-9787.31
25558-Emiliana Foquio-5301.45
386711-Urbano Rodrigues-4033.05
8022-Lurdes Cotrim-1571.22
195700-Celeste Duarte-17485.39
357436-Melinda Roserio-113.52
971757-Oliveira Senchez-2000.80
710085-Ximena Castilho-6453.66
351812-Honorina Lira-4811.96
301092-Tibefarcio Colao-6722.73
525150-Lina Andrade-1979.49
738935-Odilia Camello-16999.75
954970-Delfina Garcia de Gondim-9048.78
704766-Leonidas Mafra-9888.86
379-Emedlia Silvera-1735.98
207000-Domingos Pas-11959.55
19964-Branco Saraba-19869.27
972539-Micaela Chavez-2191.53
45288-Danilo Olaio-2090.22
880939-Fulvio Villegas-11803.23
443883-Neuza Francia-19648.48
738043-Almerinda Palmeira-2261.03
693068-Guaraci Damasceno-11070.58
437197-Moaci Mendoa-4152.79
820107-Silvio Mata-6112.79
742242-Filomena Barrios-10594.87
533124-Angilica Galante-21405.06
403594-Letedcia Gago-16099.95
640511-Odete Vasques-4145.57
73337-Domingos Pas-18534.38
779282-Esperada Cardoso-6203.98
950603-Romo Paranage-19891.36
96505-Guida Juca-473.46
636404-Regina Barcellos-16407.83
61970-Tibefarcio Colao-4841.19
85257-Jonatas Felgueiras-4733.78
580051-Sidfnio Frois-16199.11
518111-Joaquim Rufino-19763.15
609520-Lurdes Cotrim-404.71
722444-Lurdes Cotrim-5885.45
674326-Urbano Rodrigues-21453.24
473964-Oliveira Senchez-6137.91
892999-Clarindo Areosa-19888.88
370047-Mercia Caeira-7330.40
126228-Clarindo Areosa-21301.02
678272-Celeste Duarte-20587.04
716828-Ubaldo Mainha-17148.00
778212-Armanda Amorim-9378.35
834965-Tibofarcio Camacho-20944.44
965078-Lina Andrade-10986.83
49491-Antonio Castelo-12783.57
532087-Micaela Chavez-3033.48
183615-Polibe Olivares-5472.41
664438-Tibofarcio Camacho-9696.11
928105-Delfina Garcia de Gondim-19857.37
343780-Oliveira Senchez-20594.15
621001-Daniel Vieyra-1026.48
325597-Esperada Cardoso-4034.27
861161-Carminda Morais-2767.78
868204-Heleedsa Marins-1372.59
420064-Aludsio Sosa-18383.09
812375-Cleusa Goes-17053.57
512092-Flamednia Leiria-17275.41
99368-Antonio Viegas-19522.05
243311-Jonatas Felgueiras-18726.50
5892-Oliveira Senchez-19729.94
988719-Celeste Duarte-5791.31
771844-Edgar Carvalheiro-14584.57
906082-Anind Zarco-1448.34
953-Artur Grillo-9737.02
295254-Marilda Leio-2386.39
946959-Adelina Quadros-849.67
946383-Almor Caiado-11264.79
702879-Fulvio Villegas-10570.95
