545256-Letedcia Gago-1021.07
916459-Filomena Barrios-11417.83
760703-Flamednia Leiria-14028.87
685475-Aludsio Sosa-14906.25
320532-Henrique Bento-7045.18
321846-Guaraci Damasceno-11724.11
253002-Edgar Carvalheiro-5189.10
157572-Oliveira Carmona-18705.52
466732-Rebeca Neto-16435.87
136376-Lina Andrade-18283.12
414642-Telma Villalobos-19448.58
718951-Aludsio Sosa-20767.74
445893-Ubaldo Mainha-16330.51
934337-Cassandra Varejo-6992.53
427741-Oliveira Senchez-19085.74
386844-Rodolfo Paz-7814.12
394091-Nuno Balsemeo-4231.81
749223-Augusta Paio-10993.39
826449-Basilio Pedroso-19088.05
261181-Manuel Capiperibe-13374.58
349441-Micaela Chavez-3193.89
545031-Danilo Olaio-7021.08
39487-Flamednia Leiria-11485.54
420982-Emedlio Pimentel-7580.05
944254-Armindo Castalo-7449.49
985529-Emedlio Pimentel-16693.36
953763-Artur Grillo-7642.46
832433-Basilio Pedroso-6355.12
779800-Henrique Bento-19583.38
830468-Lurdes Cotrim-9121.16
193630-Branco Saraba-20394.65
447247-Odilia Camello-11475.27
475074-Clara Alcantara-15255.66
70517-Armanda Amorim-2815.03
435405-Flamednia Leiria-10534.48
373918-Odete Vasques-2509.49
240607-Tarrataca Soares-11939.03
288473-Emedlia Silvera-1062.52
675089-Domingos Pas-10060.32
899891-Angelica Aranha-12418.62
582904-Oliveira Senchez-4945.72
655122-Oliveira Senchez-7090.20
835495-Augusta Paio-18144.95
86269-Esperada Cardoso-11490.81
341781-Mercia Caeira-15595.17
62476-Daniel Vieyra-6594.07
635199-Guaraci Damasceno-13776.48
937689-Jorgina Bogalho-19899.36
784576-Armanda Amorim-14481.28
969606-Esperada Cardoso-16610.28
270312-Ubaldo Mainha-18186.10
552487-Adelina Quadros-927.82
877514-Domingos Pas-14806.17
284882-Quintino Alcantara-6882.20
195572-Sidfnio Frois-6210.78
553839-Lina Andrade-20241.41
861564-Tibofarcio Camacho-1242.92
588863-Guaraci Damasceno-21282.30
568169-Flor Portella-815.31
95633-Edgar Carvalheiro-2375.00
485371-Odilia Camello-13607.71
447367-Tabalipa Duarte-11958.40
945219-Henrique Bento-8902.33
937649-Rodolfo Paz-19695.18
527880-Ximena Castilho-4202.30
151316-Telma Villalobos-15907.84
181876-Romo Paranage-14371.62
860167-Augusta Paio-11532.67
507366-Cleusa Goes-8453.52
282210-Estanislau Beserra-15194.47
600942-Moaci Mendoa-1224.49
46468-Sidfnio Frois-14438.96
273908-Basilio Pedroso-18978.42
635111-Sara Lameiras-11512.96
216344-Odilia Camello-3533.40
875742-Honorina Lira-10634.91
192132-Ximena Castilho-17936.73
800714-Leonidas Mafra-17740.50
155529-Tarrataca Soares-8470.73
557505-Aludsio Sosa-4608.72
943544-Tibofarcio Camacho-1289.89
616662-Fulvio Villegas-16700.36
645698-Nuno Balsemeo-8818.26
908166-Ximena Castilho-13924.61
688949-Almor Caiado-17426.77
216323-Danilo Olaio-4060.69
44126-Polibe Olivares-15542.62
550275-Gaudancio Fiees-10165.79
323633-Rodolfo Paz-9212.51
448722-Dulce Froes-13498.08
537527-Clarindo Areosa-3922.68
591770-Emedlia Silvera-15568.85
26116-Jussara Varanda-17445.30
334838-Estanislau Beserra-18454.38
939235-Augusta Paio-16816.44
399891-Ermelinda Quintela-16733.77
351769-Estanislau Beserra-12639.37
493097-Liana Cardim-18904.87
684043-Anind Zarco-4113.27
464677-Artur Grillo-19667.76
