352140-Feledcia Peassego-11102.58
406522-Delfina Perdigon-4509.70
936634-Guaraci Damasceno-14662.03
876350-Oliveira Carmona-13444.45
867379-Tabalipa Duarte-3610.05
464520-Nuno Balsemeo-18309.82
842486-Ubaldo Mainha-9151.14
589699-Tarrataca Soares-9179.43
809137-Odilia Bello-19263.26
487533-Sidfnio Frois-14778.58
750860-Armindo Castalo-197.27
860953-Camila Gabeira-2451.33
776882-Emedlia Silvera-17860.70
543529-Almor Caiado-21249.46
726855-Almerinda Palmeira-20843.30
926796-Neeamia Arruda-3643.11
10266-Flamednia Leiria-17531.53
364913-Cassandra Varejo-12692.59
316002-Adelina Quadros-4205.85
69726-Adelino Barra-14960.72
818863-Filomena Barrios-663.40
342228-Andreia Moita-5712.00
319347-Jussara Varanda-13149.77
531734-Judite Damasceno-7760.37
188889-Sofras Cuaresma-14817.64
850592-Emedlio Pimentel-15176.91
10813-Daniel Vieyra-232.18
285056-Artur Grillo-1635.82
19029-Fulvio Villegas-294.15
595381-Jonatas Felgueiras-17974.85
29882-Regina Barcellos-12788.20
707376-Antonio Viegas-17311.62
1682-Nuno Balsemeo-14579.98
398489-Marilda Leio-19255.29
741443-Lina Andrade-1832.35
930628-Andreia Moita-8870.85
946916-Basilio Pedroso-15730.96
116442-Eurico Siqueira-10088.97
61608-Carminda Morais-1124.33
591553-Polibe Olivares-8100.28
710162-Guida Juca-2845.74
168294-Urbano Rodrigues-7032.82
826904-Urbano Rodrigues-1638.00
979226-Delfina Perdigon-4521.98
168790-Joaquim Rufino-15459.40
638802-Mercia Caeira-12343.87
799708-Guaraci Damasceno-20293.34
694476-Emedlio Pimentel-13889.67
655317-Jorgina Bogalho-5825.44
547288-Joaquim Rufino-306.52
923764-Silvio Mata-12293.62
636312-Urbano Rodrigues-20975.31
27160-Tibefarcio Colao-10588.74
415656-Daniel Vieyra-15758.53
366238-Adelino Barra-1295.38
35090-Antonio Viegas-3491.77
305510-Emedlio Pimentel-16049.77
188309-Jussara Varanda-17726.71
968545-Sara Lameiras-10158.43
181599-Branco Saraba-15113.90
939203-Melinda Roserio-7618.30
754889-Judite Damasceno-459.83
368737-Jorgina Bogalho-10950.10
782429-Quintino Alcantara-10719.42
910806-Trajano Fagundes-19023.09
978960-Antonio Viegas-16218.60
433870-Tabalipa Duarte-11176.82
255158-Filomena Barrios-19628.70
42914-Armindo Castalo-8713.55
375097-Cleusa Goes-1030.53
875966-Zungela Ipiranga-4679.92
739331-Esperada Cardoso-1032.63
649837-Tarrataca Soares-18596.32
434390-Ximena Castilho-16059.31
104920-Ubaldo Mainha-19418.42
797513-Emedlio Pimentel-1183.37
667324-Silvio Mata-16647.71
30412-Zulmira Becerra-205.42
581254-Anind Zarco-8695.85
491519-Basilio Pedroso-4994.77
792143-Delfina Garcia de Gondim-10883.53
439594-Romo Paranage-17180.92
553832-Daniel Vieyra-1912.58
194721-Ximena Castilho-18616.93
294271-Delfina Garcia de Gondim-18627.98
702366-Carminda Morais-3241.11
3154-Elisa Themes-18897.79
469441-Andreia Moita-17223.26
838591-Flamednia Leiria-15944.23
562799-Quintino Alcantara-3744.31
340016-Regina Barcellos-17212.23
109444-Micaela Chavez-21016.63
658678-Tabalipa Duarte-15617.33
840103-Jorgina Bogalho-11964.44
468853-Esperada Cardoso-20777.38
455733-Ermelinda Quintela-18129.57
779705-Armanda Amorim-20239.60
390990-Honorina Lira-16809.46
28395-Urbano Rodrigues-5993.01
283890-Lina Andrade-17978.64
