306048-Tibofarcio Camacho-13589.80
572336-Mercia Caeira-18931.67
893889-Quintino Alcantara-21056.55
593311-Sofras Cuaresma-21208.15
906590-Ermelinda Quintela-15712.25
980666-Marilda Leio-7161.48
758136-Carminda Morais-19549.22
830836-Jonatas Felgueiras-10441.39
312838-Edgar Carvalheiro-13040.00
565499-Augusta Paio-18657.96
874874-Adelina Quadros-21261.02
665317-Tibofarcio Camacho-7361.90
916685-Clara Alcantara-9130.84
390015-Eurico Siqueira-2671.94
697300-Eurico Siqueira-7591.00
200090-Filomena Barrios-17520.81
126753-Feledcia Peassego-14243.55
230124-Rodolfo Paz-8857.03
202580-Artur Grillo-4385.32
949064-Delfina Garcia de Gondim-7180.97
162480-Tarrataca Soares-1444.89
871832-Spnia ou Sonia Guerreiro-3511.54
748423-Danilo Olaio-2185.87
312597-Polibe Olivares-8219.77
691937-Branco Saraba-21016.74
328930-Polibe Olivares-4383.91
597672-Cleusa Goes-10595.17
820865-Anind Zarco-14867.48
183098-Romo Paranage-13764.67
545013-Anind Zarco-2489.32
735093-Anind Zarco-13780.94
26682-Danilo Olaio-18279.66
24821-Regina Barcellos-13442.31
107047-Henrique Bento-20325.44
899376-Odilia Camello-17187.52
275693-Ermelinda Quintela-19740.81
765722-Almor Caiado-13671.95
611246-Fulvio Villegas-18530.16
675806-Mercia Caeira-1807.15
755888-Angelica Aranha-19492.60
966049-Quintiliano Sousa de Arronches-4345.12
148457-Regina Barcellos-20575.38
484783-Leonidas Mafra-11120.79
924416-Elisa Themes-6587.03
824666-Gaudancio Fiees-9646.02
431891-Eurico Siqueira-6413.94
429829-Liana Cardim-14411.60
461584-Flor Portella-4932.88
240929-Delfim Higuera-8309.63
3148-Oliveira Senchez-7452.36
697307-Basilio Pedroso-9542.02
2236-Tibofarcio Camacho-16023.50
273417-Tabalipa Duarte-8933.51
291975-Ermelinda Quintela-11932.76
370509-Anfnia Seixas-11766.17
717307-Delfim Higuera-7975.65
661299-Carminda Morais-4945.11
800159-Letedcia Gago-13269.73
471103-Jorgina Bogalho-4867.30
373582-Esperada Cardoso-14977.33
536257-Clarindo Areosa-3139.47
726925-Artur Grillo-4609.49
455916-Trajano Fagundes-16192.23
780757-Emedlia Silvera-8380.31
808494-Guida Juca-1499.18
954855-Jorgina Bogalho-12736.35
495535-Esperada Cardoso-18882.96
196254-Lina Andrade-12136.13
700964-Antonio Viegas-11026.00
685469-Lurdes Cotrim-17359.74
389307-Carminda Morais-7680.26
811231-Artur Grillo-7807.53
99697-Quintiliano Sousa de Arronches-16842.09
739490-Basilio Pedroso-2955.06
171378-Neuza Francia-15683.15
220026-Oliveira Senchez-247.86
350031-Emiliana Foquio-6012.82
991222-Almor Caiado-4439.94
121534-Polibe Olivares-462.12
465544-Romo Paranage-2388.97
575458-Gaudancio Fiees-17672.86
115877-Silvio Mata-12906.14
121743-Tibofarcio Camacho-4112.30
866473-Letedcia Gago-224.86
642041-Micaela Chavez-13176.57
335310-Rodolfo Paz-11783.94
179937-Sara Lameiras-4022.60
320871-Eurico Siqueira-16312.51
590975-Armindo Castalo-18973.73
977703-Jonatas Felgueiras-16873.55
338285-Leonidas Mafra-3514.46
241683-Tibofarcio Camacho-3510.79
898470-Daniel Vieyra-21472.00
280913-Henrique Bento-9165.83
169771-Jorgina Bogalho-17922.25
889888-Spnia ou Sonia Guerreiro-6290.77
396121-Joaquim Rufino-8482.57
184005-Tibofarcio Camacho-430.94
966145-Melinda Roserio-15746.85
959859-Rodolfo Paz-1031.79
