881779-Flamednia Leiria-3282.49
62018-Emiliana Foquio-7498.12
961111-Marilda Leio-12182.92
280510-Jussara Varanda-5102.95
417772-Sidfnio Frois-15680.20
210253-Estanislau Beserra-8253.17
856675-Augusta Paio-4150.05
373642-Trajano Fagundes-4113.74
23016-Jorgina Bogalho-16574.32
245075-Sidfnio Frois-2761.61
347457-Odilia Camello-16410.42
717601-Trajano Fagundes-7936.21
661735-Anfnia Seixas-600.98
154451-Cassandra Varejo-6563.79
55258-Clarindo Areosa-6243.13
343742-Letedcia Gago-5100.39
489281-Armanda Amorim-12138.96
587948-Micaela Chavez-10877.86
150941-Honorina Lira-12818.09
609146-Guida Juca-19690.54
972082-Polibe Olivares-7509.18
67555-Clara Alcantara-1201.52
491048-Dulce Froes-20738.14
722809-Henrique Bento-9094.84
249282-Gaudancio Fiees-13645.40
311857-Taercio Mafra-2394.00
691714-Camila Gabeira-14818.89
77026-Tabalipa Duarte-3109.93
352743-Oliveira Carmona-19251.44
60594-Sidfnio Frois-5832.70
928942-Jonatas Felgueiras-6092.42
355918-Delfina Garcia de Gondim-1838.26
919892-Tabalipa Duarte-568.33
65623-Zungela Ipiranga-14465.56
106326-Cassandra Varejo-5683.22
459772-Sidfnio Frois-11376.33
852566-Rodolfo Paz-18323.25
657736-Danilo Olaio-9199.19
765276-Micaela Chavez-9592.71
681851-Honorina Lira-14603.32
168887-Carminda Morais-5517.77
573843-Taercio Mafra-20221.33
130672-Nuno Balsemeo-2225.69
533812-Anind Zarco-16556.35
905012-Delfim Higuera-5352.58
848584-Jonatas Felgueiras-17807.17
675568-Zulmira Becerra-16070.86
907949-Mercia Caeira-12282.60
650028-Edgar Carvalheiro-17320.26
536393-Estanislau Beserra-1052.24
692544-Eurico Siqueira-4643.93
606915-Armanda Amorim-14129.67
347062-Delfina Perdigon-9236.14
920384-Branco Saraba-10701.48
49692-Emedlia Silvera-6145.69
16972-Odilia Camello-9214.17
617728-Rodolfo Paz-826.09
576378-Quintino Alcantara-17275.17
937246-Joaquim Rufino-18721.67
85778-Polibe Olivares-2942.20
82569-Tabalipa Duarte-18719.12
856561-Flor Portella-7720.36
280026-Oliveira Senchez-14733.83
272855-Mercia Caeira-18853.03
417024-Oliveira Senchez-13068.69
818859-Basilio Pedroso-3064.03
454484-Quintiliano Sousa de Arronches-215.37
176465-Estanislau Beserra-1371.13
191596-Domingos Pas-15730.50
232448-Artur Grillo-9936.53
497224-Taercio Mafra-20067.35
154813-Telma Villalobos-8691.08
295409-Adelina Quadros-17503.88
49684-Ubaldo Mainha-5781.77
467804-Romo Paranage-11555.94
454779-Trajano Fagundes-18704.13
375547-Sidfnio Frois-2083.84
905676-Andreia Moita-20715.60
953116-Celeste Duarte-982.68
684246-Camila Gabeira-3155.01
151812-Sofras Cuaresma-6809.98
532006-Armindo Castalo-16591.53
464449-Carminda Morais-3679.65
779849-Regina Barcellos-20260.14
914944-Branco Saraba-12609.99
435778-Armindo Castalo-8349.70
359323-Trajano Fagundes-16693.45
819659-Telma Villalobos-16992.51
393165-Sidfnio Frois-5047.20
533438-Daniel Vieyra-21054.04
326256-Tibofarcio Camacho-3530.73
370541-Clara Alcantara-14146.05
39206-Manuel Capiperibe-17670.69
95925-Estanislau Beserra-7363.65
846257-Odete Vasques-2077.97
190874-Sara Lameiras-14882.32
464987-Ubaldo Mainha-5891.08
639432-Sara Lameiras-18269.28
374323-Spnia ou Sonia Guerreiro-10438.37
377607-Tarrataca Soares-19603.71
