597685-Flamednia Leiria-5058.91
438405-Anfnia Seixas-9785.50
335293-Emedlio Pimentel-21245.10
360591-Sara Lameiras-14771.49
170253-Liana Cardim-15770.01
583341-Cleusa Goes-13975.57
729066-Sidfnio Frois-11480.77
609255-Aludsio Sosa-21371.65
33813-Delfina Perdigon-3355.40
902418-Delfina Perdigon-12582.15
697393-Henrique Bento-12473.29
250636-Adelina Quadros-62.84
496197-Delfim Higuera-1006.19
618633-Lina Andrade-12129.80
96869-Daniel Vieyra-8586.67
890428-Quintiliano Sousa de Arronches-2057.66
297753-Taercio Mafra-20474.96
477689-Branco Saraba-10076.21
315294-Cleusa Goes-4671.71
146923-Manuel Capiperibe-20800.74
425504-Sofras Cuaresma-6232.87
78755-Micaela Chavez-15105.38
798755-Esperada Cardoso-15510.34
545182-Judite Damasceno-5681.69
957294-Clarindo Areosa-5772.66
370819-Esperada Cardoso-8091.56
857396-Mercia Caeira-5759.71
937342-Jussara Varanda-6854.48
698511-Jonatas Felgueiras-2292.80
483636-Delfim Higuera-20494.27
516850-Tibofarcio Camacho-2683.69
879487-Flor Portella-18344.47
526304-Taercio Mafra-12837.63
792594-Quintiliano Sousa de Arronches-7408.24
38948-Domingos Pas-16827.81
468323-Marilda Leio-13916.69
664062-Heleedsa Marins-12650.42
871581-Cleusa Goes-3034.96
216489-Gaudancio Fiees-6441.94
216245-Filomena Barrios-4751.94
322325-Ubaldo Mainha-10547.11
715768-Honorina Lira-14825.91
163564-Moaci Mendoa-17651.17
645558-Melinda Roserio-20029.10
296736-Anind Zarco-12614.65
730318-Clarindo Areosa-3994.50
836733-Emedlia Silvera-17701.14
397382-Taercio Mafra-9785.02
922658-Armanda Amorim-11797.18
727856-Camila Gabeira-6934.51
476251-Danilo Olaio-15997.73
593346-Neeamia Arruda-2270.05
674250-Neuza Francia-2331.69
517716-Lurdes Cotrim-10218.14
701632-Judite Damasceno-10136.27
183292-Nuno Balsemeo-7858.74
333516-Adelino Barra-11477.11
42403-Armindo Castalo-5276.25
247297-Moaci Mendoa-17585.47
646709-Melinda Roserio-7747.92
756979-Eurico Siqueira-17732.68
578605-Sidfnio Frois-7273.77
507426-Tibefarcio Colao-16190.52
553394-Liana Cardim-14370.86
541807-Moaci Mendoa-9223.04
995261-Tibofarcio Camacho-17574.87
898432-Adelino Barra-10393.37
431733-Trajano Fagundes-328.96
466746-Urbano Rodrigues-11891.43
252664-Jussara Varanda-8573.06
973028-Branco Saraba-16600.63
982868-Daniel Vieyra-3571.58
997952-Emedlio Pimentel-5786.65
698197-Augusta Paio-19422.19
696456-Danilo Olaio-82.77
354875-Romo Paranage-3332.72
371066-Judite Damasceno-11691.71
130820-Romo Paranage-21386.02
998813-Liana Cardim-20725.86
930409-Fulvio Villegas-33.54
169816-Marilda Leio-9193.27
676933-Spnia ou Sonia Guerreiro-21253.10
77811-Tarrataca Soares-17008.25
46699-Sofras Cuaresma-20265.23
101314-Tarrataca Soares-19767.36
975992-Jussara Varanda-4176.07
337675-Joaquim Rufino-2824.94
552581-Emedlia Silvera-5716.25
663115-Augusta Paio-18126.24
916574-Lina Andrade-14690.71
992372-Sofras Cuaresma-3157.57
647487-Quintino Alcantara-1259.50
460526-Cleusa Goes-16270.28
938915-Carminda Morais-21430.75
152401-Clarindo Areosa-9636.92
642790-Adelino Barra-11586.68
405345-Henrique Bento-1905.22
854850-Mercia Caeira-12460.75
423037-Henrique Bento-632.54
576652-Filomena Barrios-21261.71
